uf;nome_uf;regiao_pais;regiao_geografica_intermediaria;nome_regiao_geografica_intermediaria;regiao_geografica_imediata;nome_regiao_geografica_imediata;mesorregiao_geografica;nome_mesorregiao;microrregiao_geografica;nome_microrregiao;municipio;codigo_municipio_completo;nome_municipio;longitude;latitude;codmun6;nome;idhm;grupo_kmeans
11;Rondônia;Norte;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;15;1100015;Alta Floresta D'Oeste;-619.998.238.962.936;-119.355.403.047.646;110001;Alta Floresta D'Oeste;0.641;2
11;Rondônia;Norte;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;379;1100379;Alto Alegre dos Parecis;-61.853.077.168.603;-121.317.772.245.709;110037;Alto Alegre dos Parecis;0.592;3
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;2;Leste Rondoniense;3;Ariquemes;403;1100403;Alto Paraíso;-633.176.294.334.976;-971.666.673.807.728;110040;Alto Paraíso;0.625;3
11;Rondônia;Norte;1102;Ji-Paraná;110004;Ji-Paraná;2;Leste Rondoniense;5;Alvorada D'Oeste;346;1100346;Alvorada D'Oeste;-622.772.748.656.972;-113.441.300.234.334;110034;Alvorada D'Oeste;0.643;2
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;2;Leste Rondoniense;3;Ariquemes;23;1100023;Ariquemes;-630.332.692.780.484;-99.084.628.665.672;110002;Ariquemes;0.702;2
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;1;Madeira-Guaporé;1;Porto Velho;452;1100452;Buritis;-638.296.787.917.565;-102.098.054.072.356;110045;Buritis;0.616;3
11;Rondônia;Norte;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;31;1100031;Cabixi;-605.443.135.812.009;-134.997.634.596.963;110003;Cabixi;0.65;2
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;2;Leste Rondoniense;3;Ariquemes;601;1100601;Cacaulândia;-629.031.899.345.687;-103.388.728.393.928;110060;Cacaulândia;0.646;2
11;Rondônia;Norte;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;49;1100049;Cacoal;-614.429.442.118.224;-114.338.650.286.852;110004;Cacoal;0.718;2
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;1;Madeira-Guaporé;1;Porto Velho;700;1100700;Campo Novo de Rondônia;-636.249.914.265.426;-105.684.164.693.485;110070;Campo Novo de Rondônia;0.593;3
11;Rondônia;Norte;1101;Porto Velho;110001;Porto Velho;1;Madeira-Guaporé;1;Porto Velho;809;1100809;Candeias do Jamari;-637.000.200.718.298;-878.502.070.347.748;110080;Candeias do Jamari;0.649;3
11;Rondônia;Norte;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;908;1100908;Castanheiras;-619.491.611.964.662;-114.268.422.254.625;110090;Castanheiras;0.658;2
11;Rondônia;Norte;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;56;1100056;Cerejeiras;-608.184.261.646.815;-131.950.330.320.399;110005;Cerejeiras;0.692;2
