"codmunres";"ano";"nascidos_vivos_asfixia1";"total_de_nascidos_vivos"
110000;2012;0;1
110000;2013;0;15
110000;2014;0;4
110000;2015;0;4
110000;2016;0;2
110000;2018;0;1
110000;2019;0;1
110000;2021;0;4
110001;2012;3;295
110001;2013;2;303
110001;2014;1;258
110001;2015;0;302
110001;2016;1;269
110001;2017;1;303
110001;2018;0;337
110001;2019;1;304
110001;2020;0;293
110001;2021;1;309
110002;2012;7;629
110002;2013;4;695
110002;2014;9;785
110002;2015;6;855
110002;2016;24;891
110002;2017;8;893
110002;2018;5;1159
110002;2019;9;1143
110002;2020;9;1046
110002;2021;9;1149
110003;2012;1;46
110003;2013;0;57
110003;2014;0;66
110003;2015;1;81
110003;2016;0;65
110003;2017;1;63
110003;2018;0;68
110003;2019;0;76
110003;2020;0;57
110003;2021;0;60
110004;2012;5;715
110004;2013;5;711
110004;2014;3;828
110004;2015;1;868
110004;2016;3;825
110004;2017;6;872
110004;2018;4;889
110004;2019;2;820
110004;2020;7;836
110004;2021;11;1014
110005;2012;2;137
110005;2013;1;182
110005;2014;3;182
110005;2015;0;212
110005;2016;0;213
110005;2017;1;220
110005;2018;1;213
110005;2019;0;191
110005;2020;1;234
110005;2021;0;199
110006;2012;1;137
110006;2013;1;166
110006;2014;2;212
110006;2015;0;207
110006;2016;1;187
110006;2017;1;204
110006;2018;1;187
110006;2019;0;168
110006;2020;0;169
110006;2021;1;195
110007;2012;2;79
110007;2013;0;78
110007;2014;0;109
110007;2015;0;97
110007;2016;0;117
110007;2017;0;77
110007;2018;0;113
110007;2019;0;111
110007;2020;0;95
110007;2021;0;97
110008;2012;3;176
110008;2013;2;194
110008;2014;1;208
110008;2015;5;212
110008;2016;3;186
110008;2017;2;186
110008;2018;2;204
110008;2019;2;211
110008;2020;3;166
110008;2021;2;158
110009;2012;2;396
110009;2013;4;381
110009;2014;1;400
110009;2015;5;447
110009;2016;2;379
110009;2017;1;447
110009;2018;1;401
110009;2019;5;375
110009;2020;1;399
110009;2021;1;382
110010;2012;4;297
110010;2013;5;244
110010;2014;5;254
110010;2015;4;248
110010;2016;1;376
110010;2017;1;444
110010;2018;2;527
110010;2019;1;468
110010;2020;6;495
110010;2021;2;485
110011;2012;3;592
110011;2013;2;595
110011;2014;0;606
110011;2015;1;572
110011;2016;3;576
110011;2017;1;574
110011;2018;0;560
110011;2019;3;551
110011;2020;3;678
110011;2021;0;690
110012;2012;10;946
110012;2013;7;935
110012;2014;8;963
110012;2015;8;956
110012;2016;7;945
110012;2017;12;963
110012;2018;19;1197
110012;2019;15;1047
110012;2020;10;1029
110012;2021;12;1032
110013;2012;1;342
110013;2013;4;317
110013;2014;2;346
110013;2015;4;367
110013;2016;5;340
110013;2017;2;344
110013;2018;8;339
110013;2019;7;369
110013;2020;8;434
110013;2021;11;383
110014;2012;1;122
110014;2013;5;187
110014;2014;1;201
110014;2015;2;212
110014;2016;2;195
110014;2017;1;179
110014;2018;3;208
110014;2019;2;200
110014;2020;1;199
110014;2021;1;198
110015;2012;6;475
110015;2013;4;497
110015;2014;0;512
110015;2015;5;593
110015;2016;5;450
110015;2017;1;473
110015;2018;4;480
110015;2019;3;507
110015;2020;6;484
110015;2021;4;428
110018;2012;5;406
110018;2013;2;459
110018;2014;3;473
110018;2015;7;485
110018;2016;4;482
110018;2017;0;475
110018;2018;1;514
110018;2019;3;491
110018;2020;2;471
110018;2021;0;469
110020;2012;19;3022
110020;2013;14;3403
110020;2014;28;3301
110020;2015;29;3505
110020;2016;26;3462
110020;2017;20;3575
110020;2018;15;3426
110020;2019;24;3127
110020;2020;15;3036
