"codmunres";"ano";"total_de_nascidos_vivos";"nascidos_vivos_asfixia1";"nascidos_vivos_asfixia2"
110001;2015;373;3;3
110001;2016;326;1;1
110001;2017;354;1;1
110001;2018;408;3;3
110001;2019;367;2;2
110001;2020;333;0;0
110001;2021;357;1;1
110002;2015;1783;10;10
110002;2016;1662;32;32
110002;2017;1724;13;13
110002;2018;1682;14;14
110002;2019;1729;15;15
110002;2020;1507;16;16
110002;2021;1545;20;20
110003;2015;86;1;1
110003;2016;73;0;0
110003;2017;67;1;1
110003;2018;82;0;0
110003;2019;80;0;0
110003;2020;69;1;1
110003;2021;68;0;0
110004;2015;1360;5;5
110004;2016;1338;10;10
110004;2017;1452;11;11
110004;2018;1446;6;6
110004;2019;1374;4;4
110004;2020;1325;16;16
110004;2021;1366;17;17
110005;2015;277;1;1
110005;2016;263;0;0
110005;2017;277;1;1
110005;2018;264;1;1
110005;2019;237;2;2
110005;2020;269;1;1
110005;2021;251;2;2
110006;2015;251;0;0
110006;2016;223;1;1
110006;2017;243;1;1
110006;2018;235;1;1
110006;2019;214;0;0
110006;2020;203;0;0
110006;2021;231;1;1
110007;2015;111;0;0
110007;2016;139;0;0
110007;2017;87;2;2
110007;2018;129;0;0
110007;2019;127;0;0
110007;2020;107;1;1
110007;2021;118;0;0
110008;2015;245;7;7
110008;2016;213;6;6
110008;2017;216;6;6
110008;2018;246;3;3
110008;2019;233;3;3
110008;2020;190;4;4
110008;2021;195;3;3
110009;2015;548;6;6
110009;2016;486;3;3
110009;2017;533;2;2
110009;2018;476;2;2
110009;2019;450;8;8
110009;2020;471;2;2
110009;2021;485;4;4
110010;2015;831;6;6
110010;2016;884;4;4
110010;2017;842;1;1
110010;2018;926;4;4
110010;2019;781;3;3
110010;2020;858;9;9
110010;2021;834;2;2
110011;2015;788;2;2
110011;2016;807;5;5
110011;2017;846;4;4
110011;2018;911;2;2
110011;2019;881;7;7
110011;2020;892;5;5
110011;2021;920;1;1
110012;2015;2094;10;10
110012;2016;1976;16;16
110012;2017;2050;20;20
110012;2018;2278;30;30
110012;2019;2182;24;24
110012;2020;2133;17;17
110012;2021;1972;22;22
