CODMUNRES,ANO,Obito_Materno_investigado_com_Ficha_Sintese,Obito_Materno_investigado_sem_Ficha_Sintese,TOTAL_OBITOS_MATERNOS
110001,2015,1,0,1
110002,2012,1,0,1
110002,2013,1,0,1
110002,2014,2,0,2
110002,2015,2,0,2
110002,2016,2,0,2
110002,2017,1,0,1
110002,2019,1,0,1
110002,2020,2,0,2
110004,2014,1,0,1
110004,2016,1,0,1
110004,2020,3,0,3
110005,2016,1,0,1
110006,2016,1,0,1
110006,2017,1,0,1
110006,2019,1,0,1
110009,2012,0,0,1
110009,2018,1,0,1
110010,2014,1,0,1
110010,2017,1,0,1
110010,2020,3,0,3
110011,2017,2,0,2
110011,2018,1,0,1
110011,2020,2,0,2
110012,2014,2,0,2
110012,2017,3,0,3
110012,2018,1,0,1
110012,2019,2,0,2
110013,2013,1,0,1
110015,2014,1,0,1
110015,2017,2,0,2
110018,2013,1,0,1
110020,2012,8,0,8
110020,2013,7,0,7
110020,2014,8,0,8
110020,2015,5,0,5
110020,2016,8,0,8
110020,2017,5,0,5
110020,2018,4,0,4
110020,2019,6,0,6
110020,2020,5,0,5
110025,2014,1,0,1
110028,2012,1,0,1
110028,2015,1,0,1
110028,2016,1,0,1
110030,2012,2,0,2
110030,2013,3,0,3
110030,2014,3,0,3
110030,2015,1,0,1
110030,2018,1,0,1
110030,2020,2,0,2
110032,2016,1,0,1
110033,2012,1,0,1
110033,2020,0,0,1
110034,2015,1,0,1
110034,2018,1,0,1
110037,2017,1,0,1
110040,2013,1,0,1
110045,2014,1,0,1
110045,2018,1,0,1
110070,2017,1,0,1
110080,2012,1,0,1
110080,2019,1,0,1
110092,2013,1,0,1
110092,2017,1,0,1
110094,2014,0,0,1
110094,2017,1,0,1
110110,2013,2,0,2
110145,2015,1,0,1
110149,2012,1,0,1
110149,2013,1,0,1
110149,2014,1,0,1
110150,2015,1,0,1
110150,2019,2,0,2
110170,2012,1,0,1
110170,2015,0,0,1
120010,2015,1,0,1
120010,2017,1,0,1
120013,2014,1,0,1
120013,2016,1,0,1
120017,2020,1,0,1
120020,2013,1,0,2
120020,2014,1,0,1
120020,2015,2,0,2
120020,2017,1,0,1
120020,2020,1,0,1
120030,2012,1,0,1
120030,2013,0,0,1
120030,2017,1,0,1
120030,2018,1,0,1
120032,2015,1,0,1
120032,2019,1,0,1
120033,2015,1,0,1
120034,2014,1,0,1
120034,2016,1,0,1
120034,2019,1,0,1
120035,2016,1,0,1
120035,2017,1,0,1
120035,2020,1,0,1
120038,2013,1,0,1
120039,2016,1,0,1
120040,2012,7,0,7
120040,2013,4,0,4
120040,2014,3,0,3
120040,2015,3,0,3
120040,2016,3,0,3
120040,2017,2,0,2
120040,2018,6,0,6
120040,2019,4,0,4
120040,2020,1,0,1
120042,2014,1,0,1
120043,2012,0,0,1
120043,2014,1,0,1
120043,2015,1,0,1
120043,2017,1,0,1
120045,2015,1,0,1
120045,2018,1,0,1
120050,2019,1,0,1
120050,2020,1,0,1
120060,2013,1,0,2
120060,2016,1,0,1
120060,2018,1,0,1
120060,2019,1,0,1
120070,2017,1,0,1
120080,2016,1,0,1
130002,2013,1,0,1
130006,2012,1,0,1
130006,2020,1,0,1
130008,2014,0,1,1
130008,2016,1,0,1
130010,2016,1,0,1
130010,2018,1,0,1
130014,2020,1,0,1
130020,2012,1,0,1
130020,2014,1,0,1
130020,2017,1,0,1
130020,2018,0,0,1
130020,2020,1,0,1
130030,2014,1,0,1
130030,2015,1,0,1
130030,2020,1,0,1
130040,2012,0,0,1
130040,2013,1,0,1
130040,2016,1,0,1
130050,2013,2,0,2
130050,2016,1,0,1
130050,2019,2,0,2
130060,2012,2,0,2
130060,2014,2,0,2
130060,2015,1,0,1
130060,2019,3,0,3
130060,2020,2,0,3
130063,2012,2,0,2
130063,2013,0,0,1
130063,2018,1,0,1
130063,2019,1,0,1
130068,2015,1,0,1
130068,2017,1,0,1
130068,2018,1,0,1
130068,2019,1,0,1
130070,2019,1,0,1
130070,2020,1,0,1
130080,2015,1,0,1
130080,2018,1,0,1
130083,2013,1,0,1
130083,2016,1,0,1
130083,2020,1,0,1
130090,2014,1,0,1
130090,2015,1,0,1
130090,2018,1,0,1
130100,2013,1,0,1
130100,2014,2,0,2
130100,2015,2,0,2
130100,2018,1,0,1
130110,2019,0,0,1
130110,2020,1,0,1
130115,2012,0,0,1
130115,2014,1,0,1
130120,2012,2,0,2
130120,2014,2,0,2
