CODMUNRES,ANO,Obito_MIF_investigado_com_Ficha_Sintese,Obito_MIF_investigado_sem_Ficha_Sintese,TOTAL_OBITOS_MULHER_IDADE_FERTIL
110000,2013,1,0,1
110000,2014,0,0,2
110000,2015,0,1,1
110000,2016,3,1,4
110000,2018,0,0,1
110000,2019,0,1,2
110000,2020,2,0,3
110001,2012,1,0,5
110001,2013,6,0,6
110001,2014,5,0,5
110001,2015,11,0,11
110001,2016,8,0,8
110001,2017,7,0,7
110001,2018,3,0,3
110001,2019,8,0,9
110001,2020,1,1,5
110002,2012,33,0,33
110002,2013,36,0,36
110002,2014,35,0,35
110002,2015,41,0,41
110002,2016,35,0,35
110002,2017,25,0,25
110002,2018,27,0,27
110002,2019,44,0,44
110002,2020,44,0,44
110003,2012,1,0,2
110003,2013,2,0,3
110003,2014,1,0,1
110003,2015,1,0,1
110003,2016,1,1,3
110003,2017,0,1,1
110003,2018,0,0,1
110003,2019,0,1,2
110003,2020,1,0,1
110004,2012,27,0,27
110004,2013,27,0,27
110004,2014,31,0,32
110004,2015,22,0,22
110004,2016,31,0,31
110004,2017,32,0,32
110004,2018,21,0,21
110004,2019,23,0,23
110004,2020,37,0,37
110005,2012,7,0,7
110005,2013,10,0,10
110005,2014,7,0,7
110005,2015,5,0,5
110005,2016,7,0,7
110005,2017,5,0,5
110005,2018,5,0,5
110005,2019,8,0,8
110005,2020,13,0,13
110006,2012,3,0,5
110006,2013,1,0,5
110006,2014,1,0,3
110006,2015,1,1,5
110006,2016,4,0,5
110006,2017,3,0,6
110006,2018,1,0,5
110006,2019,5,0,5
110006,2020,8,0,8
110007,2012,1,0,1
110007,2013,1,0,2
110007,2016,1,0,1
110007,2017,4,0,4
110007,2018,2,0,2
110007,2019,0,0,1
110007,2020,4,0,4
110008,2012,5,0,6
110008,2013,2,0,3
110008,2014,5,0,5
110008,2015,6,0,6
110008,2016,2,0,2
110008,2017,3,0,3
110008,2018,5,0,5
110008,2019,2,0,3
110008,2020,2,0,2
110009,2012,3,0,7
110009,2013,0,0,1
110009,2014,0,0,5
110009,2015,1,0,9
110009,2016,3,0,9
110009,2017,6,0,7
110009,2018,6,0,6
110009,2019,5,0,5
110009,2020,11,0,11
110010,2012,18,0,19
110010,2013,23,0,23
110010,2014,12,0,12
110010,2015,20,0,20
110010,2016,19,0,19
110010,2017,17,0,18
110010,2018,16,0,16
110010,2019,12,0,12
110010,2020,17,0,17
110011,2012,12,0,12
110011,2013,11,0,12
110011,2014,6,0,9
110011,2015,7,0,19
110011,2016,16,0,16
110011,2017,19,0,19
110011,2018,17,0,17
110011,2019,21,0,21
110011,2020,20,0,20
110012,2012,36,0,44
110012,2013,49,0,53
110012,2014,37,0,37
110012,2015,45,1,46
110012,2016,32,0,32
110012,2017,53,0,54
110012,2018,42,0,42
110012,2019,35,0,36
110012,2020,26,0,26
110013,2012,19,0,19
110013,2013,7,0,8
110013,2014,16,0,16
110013,2015,11,0,11
110013,2016,11,0,11
110013,2017,8,0,8
110013,2018,9,0,9
110013,2019,4,0,4
110013,2020,9,0,9
110014,2012,4,0,4
110014,2013,3,0,3
110014,2014,4,0,4
110014,2015,6,0,6
110014,2016,9,0,9
110014,2017,2,0,2
110014,2018,6,0,6
110014,2019,2,0,2
110014,2020,4,0,4
110015,2012,19,0,20
110015,2013,10,0,10
110015,2014,20,1,21
110015,2015,14,0,14
110015,2016,12,0,12
110015,2017,9,0,9
110015,2018,9,0,9
110015,2019,15,0,15
110015,2020,11,0,12
110018,2012,16,0,16
110018,2013,20,0,20
110018,2014,7,0,7
110018,2015,15,0,15
110018,2016,12,0,12
110018,2017,13,0,13
110018,2018,19,0,19
110018,2019,13,0,13
110018,2020,9,0,9
110020,2012,135,2,187
110020,2013,141,1,176
110020,2014,162,1,185
110020,2015,120,0,167
110020,2016,150,0,181
110020,2017,166,0,167
110020,2018,135,1,142
110020,2019,143,2,150
110020,2020,206,0,220
110025,2012,3,0,7
110025,2013,2,0,6
110025,2014,8,0,11
110025,2015,9,0,9
110025,2016,6,0,6
110025,2017,8,0,8
110025,2018,5,0,5
110025,2019,7,0,7
110025,2020,6,0,6
110026,2012,3,0,3
110026,2013,1,0,1
110026,2014,0,0,1
110026,2016,1,0,2
110026,2017,1,0,1
110026,2018,1,0,1
110026,2020,2,0,2
110028,2012,15,0,15
110028,2013,18,0,18
110028,2014,18,0,19
110028,2015,18,0,18
110028,2016,19,0,19
110028,2017,18,0,18
110028,2018,14,0,14
110028,2019,18,0,18
110028,2020,15,0,15
110029,2012,4,0,4
110029,2013,3,0,3
110029,2014,4,0,4
110029,2015,1,0,1
110029,2016,1,0,1
110029,2018,2,0,2
110029,2019,2,0,4
110029,2020,1,0,3
110030,2012,27,0,27
110030,2013,27,0,27
110030,2014,29,0,29
110030,2015,20,0,20
110030,2016,19,0,19
110030,2017,30,0,30
110030,2018,34,0,34
110030,2019,20,0,20
110030,2020,39,0,40
110032,2012,7,0,7
110032,2013,3,0,3
110032,2014,3,0,3
110032,2015,8,0,8
110032,2016,6,0,6
110032,2017,6,0,6
110032,2018,6,0,6
110032,2019,2,0,2
110032,2020,4,0,5
110033,2012,11,0,11
110033,2013,4,0,4
110033,2014,8,0,8
110033,2015,2,0,2
110033,2016,0,0,7
110033,2017,5,0,6
110033,2018,7,0,7
110033,2019,4,0,4
110033,2020,12,0,13
110034,2012,5,0,5
110034,2013,3,0,4
110034,2014,4,0,4
110034,2015,7,0,7
110034,2016,7,0,7
110034,2017,3,0,4
110034,2018,4,0,4
110034,2019,6,0,6
110034,2020,5,0,5
110037,2012,9,0,9
110037,2013,4,0,4
110037,2014,5,0,5
110037,2015,3,0,3
110037,2016,5,0,5
110037,2017,1,0,1
110037,2018,2,0,2
