"codmunres","ano","nascimentos","partos_na_macro_com_uti","partos_na_macro_sem_uti","partos_fora_macro_com_uti","partos_fora_macro_sem_uti","partos_na_macro_sem_inf","partos_fora_macro_sem_inf"
110001,2023,5,0,2,3,0,0,0
110002,2023,15,9,6,0,0,0,0
110003,2023,0,0,0,0,0,0,0
110004,2023,20,0,14,6,0,0,0
110005,2023,2,0,2,0,0,0,0
110006,2023,3,0,2,1,0,0,0
110007,2023,0,0,0,0,0,0,0
110008,2023,3,0,2,1,0,0,0
110009,2023,5,2,0,3,0,0,0
110010,2023,5,2,0,0,0,3,0
110011,2023,8,5,2,0,1,0,0
110012,2023,16,0,10,6,0,0,0
110013,2023,3,3,0,0,0,0,0
110014,2023,2,0,2,0,0,0,0
110015,2023,4,1,3,0,0,0,0
110018,2023,5,0,3,2,0,0,0
110020,2023,97,87,8,2,0,0,0
110025,2023,3,0,1,2,0,0,0
110026,2023,0,0,0,0,0,0,0
110028,2023,9,0,7,2,0,0,0
110029,2023,1,0,0,1,0,0,0
110030,2023,12,1,3,8,0,0,0
110032,2023,5,0,3,2,0,0,0
110033,2023,4,3,0,0,0,1,0
110034,2023,0,0,0,0,0,0,0
110037,2023,3,0,2,1,0,0,0
110040,2023,5,3,2,0,0,0,0
110045,2023,6,4,2,0,0,0,0
110050,2023,0,0,0,0,0,0,0
110060,2023,1,0,1,0,0,0,0
110070,2023,0,0,0,0,0,0,0
110080,2023,3,3,0,0,0,0,0
110090,2023,0,0,0,0,0,0,0
110092,2023,0,0,0,0,0,0,0
110094,2023,3,0,2,0,1,0,0
110100,2023,1,0,1,0,0,0,0
110110,2023,1,1,0,0,0,0,0
110120,2023,0,0,0,0,0,0,0
110130,2023,2,0,1,1,0,0,0
110140,2023,0,0,0,0,0,0,0
110143,2023,0,0,0,0,0,0,0
110145,2023,0,0,0,0,0,0,0
110146,2023,0,0,0,0,0,0,0
110147,2023,0,0,0,0,0,0,0
110148,2023,2,0,1,1,0,0,0
110149,2023,0,0,0,0,0,0,0
110150,2023,3,0,1,2,0,0,0
110155,2023,0,0,0,0,0,0,0
110160,2023,0,0,0,0,0,0,0
110170,2023,2,1,1,0,0,0,0
110175,2023,0,0,0,0,0,0,0
110180,2023,1,0,1,0,0,0,0
120001,2023,1,0,1,0,0,0,0
120005,2023,3,2,1,0,0,0,0
120010,2023,8,3,5,0,0,0,0
120013,2023,2,2,0,0,0,0,0
120017,2023,2,2,0,0,0,0,0
120020,2023,27,27,0,0,0,0,0
120025,2023,8,7,1,0,0,0,0
120030,2023,8,2,6,0,0,0,0
120032,2023,2,1,1,0,0,0,0
120033,2023,4,2,2,0,0,0,0
120034,2023,4,3,1,0,0,0,0
120035,2023,5,3,2,0,0,0,0
120038,2023,5,4,1,0,0,0,0
120039,2023,3,2,1,0,0,0,0
120040,2023,79,77,1,1,0,0,0
120042,2023,2,2,0,0,0,0,0
120043,2023,3,2,1,0,0,0,0
120045,2023,3,2,1,0,0,0,0
120050,2023,10,4,6,0,0,0,0
120060,2023,11,9,2,0,0,0,0
120070,2023,5,4,1,0,0,0,0
120080,2023,3,3,0,0,0,0,0
130002,2023,1,0,1,0,0,0,0
130006,2023,1,0,1,0,0,0,0
