"ano","codmunres","total_de_nascidos_vivos","nvm_menor_que_20","pop_feminina_10_a_19","mulheres_com_mais_de_tres_partos_anteriores","pop_fem_10_49","abortos_sus_30_a_39","abortos_sus_40_a_49","abortos_sus_menor_30","abortos_ans_30_a_39","abortos_ans_40_a_49","abortos_ans_menor_30","pop_fem_ans_10_49","pop_fem_sus_10_49","total_de_nascidos_vivos_ans","total_de_nascidos_vivos_sus"
2012,110001,386,76,2256,20,7810,0,0,0,0,0,0,625,7185,31,355
2013,110001,382,79,2162,19,7704,0,0,0,0,0,0,616,7088,31,351
2014,110001,341,69,2065,19,7591,0,0,0,0,0,0,622,6969,28,313
2015,110001,373,74,1966,15,7466,5,0,3,4,0,1,650,6816,32,341
2016,110001,326,58,1900,19,7352,3,2,8,2,0,1,669,6683,30,296
2017,110001,354,62,1830,13,7227,1,0,4,5,2,4,585,6642,29,325
2018,110001,408,61,1758,14,7096,4,1,8,4,2,0,553,6543,32,376
2019,110001,367,55,1687,10,6961,8,0,7,3,0,2,501,6460,26,341
2020,110001,333,59,1615,9,6820,1,0,6,4,3,0,477,6343,23,310
2021,110001,357,60,1545,11,6690,8,1,3,2,2,0,421,6269,22,335
2022,110001,368,64,NA,8,NA,0,1,1,5,0,0,NA,NA,NA,NA
2012,110002,1339,301,9407,35,32588,0,0,0,0,0,0,2770,29818,114,1225
2013,110002,1654,365,9448,75,33143,0,0,0,0,0,0,2917,30226,146,1508
2014,110002,1647,387,9481,50,33684,0,0,0,0,0,0,2998,30686,147,1500
2015,110002,1783,385,9510,45,34218,16,3,50,2,2,0,3114,31104,162,1621
2016,110002,1662,344,9450,12,34619,18,0,54,5,0,4,3012,31607,145,1517
2017,110002,1724,340,9373,8,34984,34,3,53,6,0,5,2904,32080,143,1581
2018,110002,1682,304,9298,47,35361,20,3,45,3,1,2,2794,32567,133,1549
2019,110002,1729,334,9211,58,35679,17,2,55,5,5,0,2712,32967,131,1598
2020,110002,1507,266,9135,44,35954,17,6,45,6,2,3,2445,33509,102,1405
2021,110002,1545,265,8927,52,36223,20,4,43,3,0,0,2354,33869,100,1445
2022,110002,1505,210,NA,37,NA,11,2,35,3,0,3,NA,NA,NA,NA
2012,110003,64,17,523,0,1873,0,0,0,0,0,0,67,1806,2,62
2013,110003,74,11,494,2,1835,0,0,0,0,0,0,103,1732,4,70
2014,110003,75,12,460,0,1789,0,0,0,0,0,0,100,1689,4,71
2015,110003,86,15,428,1,1733,0,0,4,0,0,0,102,1631,5,81
2016,110003,73,12,409,1,1690,0,0,2,0,0,1,74,1616,3,70
2017,110003,67,8,388,1,1649,0,1,0,0,0,0,66,1583,3,64
2018,110003,82,7,369,1,1598,0,0,1,0,0,0,61,1537,3,79
2019,110003,80,14,348,2,1549,0,0,0,0,0,0,57,1492,3,77
2020,110003,69,8,328,4,1502,0,0,0,0,0,0,59,1443,3,66
2021,110003,68,15,312,1,1460,0,1,2,0,0,0,54,1406,3,65
2022,110003,64,10,NA,1,NA,0,0,1,0,0,0,NA,NA,NA,NA
2012,110004,1201,227,7515,56,27621,0,0,0,0,0,0,2983,24638,130,1071
2013,110004,1185,225,7379,43,27704,0,0,0,0,0,0,2826,24878,121,1064
2014,110004,1307,222,7211,35,27761,0,0,0,0,0,0,2970,24791,140,1167
2015,110004,1360,215,7045,38,27787,32,3,53,13,3,6,3168,24619,155,1205
2016,110004,1338,213,6920,43,27824,29,3,73,6,2,6,3144,24680,151,1187
2017,110004,1452,199,6778,37,27824,19,5,64,9,2,7,3088,24736,161,1291
2018,110004,1446,200,6628,38,27800,38,6,70,11,2,10,3030,24770,158,1288
2019,110004,1374,174,6479,32,27748,26,2,55,10,0,5,2969,24779,147,1227
2020,110004,1325,161,6332,34,27681,28,5,54,9,1,2,2962,24719,142,1183
2021,110004,1366,148,6188,31,27605,9,3,18,10,0,2,2981,24624,148,1218
2022,110004,1353,157,NA,23,NA,19,5,24,10,2,1,NA,NA,NA,NA
2012,110005,245,49,1564,5,5676,0,0,0,0,0,0,255,5421,11,234
2013,110005,271,61,1491,6,5602,0,0,0,0,0,0,252,5350,12,259
2014,110005,250,53,1422,8,5526,0,0,0,0,0,0,282,5244,13,237
2015,110005,277,41,1354,8,5451,5,2,10,1,0,2,322,5129,16,261
2016,110005,263,43,1309,3,5387,4,1,10,0,0,0,318,5069,16,247
2017,110005,277,46,1261,7,5309,1,0,3,1,0,0,292,5017,15,262
2018,110005,264,39,1212,7,5221,4,0,5,0,0,0,287,4934,15,249
2019,110005,237,27,1162,3,5136,3,1,3,0,0,0,288,4848,13,224
2020,110005,269,35,1113,6,5051,3,1,4,0,0,0,263,4788,14,255
2021,110005,251,39,1074,2,4967,5,1,6,0,0,0,238,4729,12,239
2022,110005,272,43,NA,9,NA,0,0,4,0,1,0,NA,NA,NA,NA
2012,110006,214,49,1588,3,5863,0,0,0,0,0,0,422,5441,15,199
2013,110006,256,41,1502,6,5719,0,0,0,0,0,0,475,5244,21,235
2014,110006,273,46,1414,8,5570,0,0,0,0,0,0,440,5130,22,251
2015,110006,251,44,1323,6,5411,4,0,5,1,0,1,471,4940,22,229
2016,110006,223,33,1264,3,5280,3,0,7,0,0,0,475,4805,20,203
2017,110006,243,31,1202,2,5140,2,0,3,0,0,0,452,4688,21,222
2018,110006,235,41,1138,6,4980,8,1,5,0,0,0,438,4542,21,214
2019,110006,214,31,1075,6,4826,1,0,5,1,0,0,405,4421,18,196
2020,110006,203,26,1012,5,4680,2,1,6,0,0,0,379,4301,16,187
2021,110006,231,27,963,3,4537,2,1,2,0,0,0,367,4170,19,212
2022,110006,205,18,NA,5,NA,3,0,2,0,1,1,NA,NA,NA,NA
2012,110007,116,24,794,1,2698,0,0,0,0,0,0,43,2655,2,114
2013,110007,116,30,744,7,2648,0,0,0,0,0,0,61,2587,3,113
2014,110007,125,22,689,4,2588,0,0,0,0,0,0,62,2526,3,122
2015,110007,111,23,635,2,2530,2,0,8,0,0,0,58,2472,3,108
2016,110007,139,28,597,6,2466,1,0,6,0,0,0,54,2412,3,136
2017,110007,87,18,558,1,2399,0,0,3,0,0,0,43,2356,2,85
2018,110007,129,28,518,3,2330,0,0,1,0,0,0,35,2295,2,127
2019,110007,127,24,477,1,2254,0,0,1,0,0,0,27,2227,2,125
2020,110007,107,16,438,4,2187,0,0,3,0,0,0,26,2161,1,106
2021,110007,118,27,414,1,2118,2,0,3,0,0,0,28,2090,2,116
2022,110007,103,16,NA,2,NA,0,0,1,0,0,0,NA,NA,NA,NA
2012,110008,234,70,1574,21,4643,0,0,0,0,0,0,121,4522,6,228
2013,110008,234,75,1613,18,4816,0,0,0,0,0,0,116,4700,6,228
2014,110008,267,86,1650,28,4983,0,0,0,0,0,0,110,4873,6,261
2015,110008,245,79,1685,19,5146,0,0,4,0,0,0,108,5038,5,240
2016,110008,213,69,1671,18,5291,0,1,2,0,0,0,101,5190,4,209
2017,110008,216,45,1652,9,5428,0,0,3,0,0,1,98,5330,4,212
2018,110008,246,74,1632,17,5560,3,1,4,0,0,0,78,5482,3,243
2019,110008,233,70,1613,18,5689,1,0,4,1,0,0,63,5626,3,230
2020,110008,190,43,1592,12,5813,3,0,2,0,0,0,58,5755,2,188
2021,110008,195,43,1572,15,5922,0,0,1,0,0,0,65,5857,2,193
2022,110008,218,35,NA,18,NA,0,0,1,0,0,0,NA,NA,NA,NA
2012,110009,476,105,2822,34,9816,0,0,0,0,0,0,599,9217,29,447
2013,110009,463,112,2804,20,9917,0,0,0,0,0,0,595,9322,28,435
2014,110009,496,103,2771,34,9995,0,0,0,0,0,0,630,9365,31,465
2015,110009,548,103,2737,22,10068,2,0,6,0,0,3,664,9404,36,512
2016,110009,486,119,2708,21,10147,2,1,4,0,0,1,660,9487,32,454
2017,110009,533,99,2663,33,10210,2,0,6,1,0,0,572,9638,30,503
2018,110009,476,102,2621,18,10263,0,1,4,0,0,2,513,9750,24,452
2019,110009,450,86,2578,26,10307,5,0,12,2,3,0,474,9833,21,429
2020,110009,471,73,2536,26,10341,6,1,9,1,0,3,434,9907,20,451
2021,110009,485,80,2488,28,10371,2,0,7,1,0,1,425,9946,20,465
2022,110009,462,73,NA,18,NA,3,1,12,2,0,1,NA,NA,NA,NA
2012,110010,940,272,4448,158,13994,0,0,0,0,0,0,770,13224,52,888
2013,110010,879,213,4419,156,14113,0,0,0,0,0,0,706,13407,44,835
2014,110010,923,249,4378,127,14210,0,0,0,0,0,0,753,13457,49,874
2015,110010,831,181,4336,149,14297,29,4,56,3,0,0,772,13525,45,786
2016,110010,884,220,4286,119,14372,35,4,57,0,0,1,704,13668,43,841
2017,110010,842,206,4227,139,14429,42,6,60,4,0,0,678,13751,40,802
2018,110010,926,220,4162,108,14464,16,7,55,1,1,0,622,13842,40,886
2019,110010,781,174,4100,89,14496,31,8,62,1,2,0,565,13931,30,751
2020,110010,858,179,4037,121,14516,30,7,42,1,0,0,552,13964,33,825
2021,110010,834,194,3936,98,14521,35,12,51,0,0,0,537,13984,31,803
2022,110010,748,149,NA,99,NA,24,8,57,0,0,1,NA,NA,NA,NA
2012,110011,808,173,5033,14,17746,0,0,0,0,0,0,976,16770,44,764
2013,110011,914,174,4929,26,17712,0,0,0,0,0,0,1045,16667,54,860
2014,110011,867,184,4806,27,17642,0,0,0,0,0,0,1182,16460,58,809
2015,110011,788,126,4685,24,17563,15,6,28,3,1,1,1177,16386,53,735
2016,110011,807,128,4572,15,17455,18,6,39,2,1,4,1169,16286,54,753
2017,110011,846,122,4449,26,17319,13,4,32,1,0,4,1074,16245,52,794
2018,110011,911,135,4322,23,17160,23,6,38,2,0,1,961,16199,51,860
2019,110011,881,139,4194,13,16994,16,6,49,1,0,0,901,16093,47,834
2020,110011,892,139,4067,19,16831,19,8,40,2,1,0,858,15973,45,847
2021,110011,920,147,3911,16,16642,11,5,21,2,0,1,832,15810,46,874
2022,110011,890,145,NA,22,NA,6,1,11,0,0,0,NA,NA,NA,NA
2012,110012,2075,413,11097,75,41137,0,0,0,0,0,0,4402,36735,222,1853
2013,110012,1971,368,10927,71,41326,0,0,0,0,0,0,4711,36615,225,1746
2014,110012,1956,357,10742,56,41460,0,0,0,0,0,0,5058,36402,239,1717
2015,110012,2094,366,10553,60,41569,26,9,73,5,0,5,5238,36331,264,1830
2016,110012,1976,325,10457,63,41689,29,7,65,1,0,1,5044,36645,239,1737
2017,110012,2050,346,10338,57,41751,28,3,65,4,0,3,4801,36950,236,1814
2018,110012,2278,341,10212,58,41793,23,4,56,7,0,0,4806,36987,262,2016
2019,110012,2182,327,10077,62,41777,31,2,66,10,4,1,4679,37098,244,1938
2020,110012,2133,295,9950,60,41744,22,3,43,3,0,8,4717,37027,241,1892
2021,110012,1972,289,9731,51,41696,19,2,27,6,2,5,4712,36984,223,1749
2022,110012,2010,245,NA,63,NA,21,9,49,4,2,4,NA,NA,NA,NA
2012,110013,542,133,3265,31,10539,0,0,0,0,0,0,263,10276,14,528
2013,110013,514,145,3281,34,10828,0,0,0,0,0,0,303,10525,14,500
2014,110013,507,137,3293,18,11104,0,0,0,0,0,0,289,10815,13,494
2015,110013,480,122,3303,23,11373,1,0,11,0,0,0,307,11066,13,467
2016,110013,398,107,3286,16,11644,3,0,7,0,0,0,303,11341,10,388
2017,110013,449,91,3261,23,11898,3,0,7,0,0,0,262,11636,10,439
2018,110013,517,99,3236,31,12152,6,4,16,0,0,0,243,11909,10,507
2019,110013,500,95,3208,21,12384,13,1,17,0,0,3,223,12161,9,491
2020,110013,561,107,3179,24,12603,3,3,15,0,0,0,202,12401,9,552
2021,110013,468,97,3165,21,12822,7,1,19,1,0,0,205,12617,7,461
2022,110013,498,79,NA,22,NA,10,0,12,0,0,0,NA,NA,NA,NA
2012,110014,271,55,1914,7,6499,0,0,0,0,0,0,149,6350,6,265
2013,110014,278,69,1850,3,6516,0,0,0,0,0,0,150,6366,6,272
2014,110014,254,59,1784,4,6527,0,0,0,0,0,0,150,6377,6,248
2015,110014,256,50,1718,4,6535,1,0,0,2,0,0,183,6352,7,249
2016,110014,276,56,1672,6,6528,0,0,1,1,0,0,170,6358,7,269
2017,110014,224,32,1622,4,6512,2,0,2,0,0,0,143,6369,5,219
2018,110014,290,57,1571,1,6490,1,0,1,1,0,0,123,6367,6,284
