uf,cod_uf,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total
Roraima,14,2021,10488,48,620,2745,0,0,138.9928,124.1228,864.1031,0,138.9928,58.6398,3941.4393,0,138.9928,124.1228,864.1031,3413,138.9928,351.4963,138.9928,13901
Roraima,14,2022,9913,44,592,2542,0,0,296.6059,124.1228,864.1031,0,0,169.1685,864.1031,0,296.6059,124.1228,864.1031,3178,138.9928,864.1031,127.2469,13091
Roraima,14,2023,9807,38,564,2597,0,0,138.9928,124.1228,911.3309,0,296.6059,91.3813,2731.6174,0,138.9928,124.1228,887.717,3199,138.9928,864.1031,138.9928,13006
Roraima,14,2024,2638,11,180,793,0,0,138.9928,124.1228,2953.4964,0,0,0,3570.9186,0,138.9928,124.1228,742.2955,984,127.2469,3570.9186,127.2469,3622
Maranhão,21,2021,74461,3175,6630,22765,1635,116.7552,116.532,33.8576,72.3221,323.1095,166.44,30.7115,57.5574,80.7614,100.8205,34.0391,72.3221,34205,51.6264,89.9929,46.3644,108667
Maranhão,21,2022,66621,2766,6271,20682,1624,101.0432,114.2579,39.7408,58.1723,304.7252,157.4044,54.2048,57.5574,75.7975,100.5815,34.8489,72.3221,31343,55.065,69.9723,46.9863,97964
Maranhão,21,2023,65351,2870,6790,20220,1774,102.7266,117.4942,43.336,72.3221,298.1243,156.9019,51.143,72.3221,84.6173,104.7935,38.9182,72.3221,31654,60.1981,69.9723,51.6366,97008
Maranhão,21,2024,19017,922,2236,6294,460,102.7266,117.4942,43.336,72.3221,320.7834,152.7294,51.1155,74.8923,81.8693,104.7935,41.5141,72.3221,9912,62.1298,69.9723,53.2947,28929
Paraíba,25,2021,28027,1075,8482,17070,1395,69.6516,62.3266,30.3351,81.4288,69.6516,62.3266,32.0282,116.0759,223.0068,66.0654,29.7105,74.283,28022,40.5657,44.6279,32.6033,56049
Paraíba,25,2022,25947,821,8107,14804,1213,70.801,63.0561,30.6168,83.0353,69.7499,62.3266,30.6498,112.988,90.7069,68.2646,30.0945,74.283,24945,43.2581,44.8741,36.7573,50892
Paraíba,25,2023,25592,757,8612,15329,1236,71.7394,68.2646,30.3351,85.8776,72.6777,66.2416,30.6498,88.5392,68.4776,69.9737,30.0945,82.7052,25934,44.1645,44.6279,40.0067,51526
Paraíba,25,2024,7849,281,2903,4823,415,69.6516,71.9203,30.3351,83.175,69.6516,71.5095,30.6168,85.8776,101.2811,77.3196,29.7105,79.3148,8422,45.3736,45.3736,43.7765,16271
Bahia,29,2021,126448,4871,9668,37827,6641,142.5351,76.1071,50.1456,92.0187,184.5886,56.5194,43.6777,64.2364,115.9259,100.8179,51.213,92.7576,59007,60.3738,56.5194,60.7365,185459
Bahia,29,2022,116152,4574,10039,36434,6622,135.9732,89.7043,50.1456,84.8575,157.5368,71.0151,50.1456,64.2364,129.4371,100.8179,50.6885,92.7576,57669,61.1665,58.8071,61.6975,173824
Bahia,29,2023,110508,4948,9436,36388,7303,136.987,100.5576,50.6885,84.8575,168.135,90.4189,50.8456,64.2364,124.8091,100.8179,50.6885,91.1973,58075,63.1897,64.2364,62.1917,168584
Bahia,29,2024,33511,1799,3043,11450,2245,125.1799,84.6827,50.1456,81.9549,161.5881,84.6827,50.1456,64.2364,105.2226,87.6713,49.1874,84.8575,18537,61.0848,63.5078,60.3738,52048
São Paulo,35,2021,391781,631,10591,87462,34769,28.4432,57.4901,20.3892,183.7658,28.1097,59.4086,20.3892,165.791,28.684,44.8585,20.3233,228.7896,133453,23.151,23.151,23.151,525239
São Paulo,35,2022,379709,598,10662,87183,34364,28.684,57.2577,20.5188,218.4582,28.1097,58.8481,19.77,211.2408,28.684,40.1564,22.5902,235.7159,132807,23.151,23.151,23.5153,512520
São Paulo,35,2023,371078,586,10944,86228,34923,28.684,57.1976,21.1853,178.6479,28.684,58.8481,21.4769,161.2324,23.2076,39.8643,18.8056,343.6198,132681,23.2076,23.2788,23.2076,503766
São Paulo,35,2024,125571,177,3979,29295,11804,28.0441,57.4901,21.4769,149.4925,28.684,58.125,21.4769,165.6355,24.9602,48.0607,17.3736,74.0322,45255,23.2076,23.4315,23.2076,170827
Mato Grosso do Sul,50,2021,35362,471,0,5915,425,277.7478,0,73.8508,127.8785,332.6854,0,80.8617,132.8518,208.4444,0,73.8508,84.9581,6811,79.0352,94.7829,73.8508,42173
Mato Grosso do Sul,50,2022,33928,414,0,5728,415,291.0565,0,73.8508,132.8518,332.6854,0,78.3812,132.8518,230.4662,0,73.8508,131.1199,6557,88.9061,90.542,75.1694,40485
Mato Grosso do Sul,50,2023,33106,422,0,6350,349,248.9839,0,74.8175,132.8518,285.5656,0,79.0352,132.8518,196.3066,0,73.8508,47.5333,7121,86.4223,90.542,73.8508,40227
