ano,codmunres,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total,total_n_local_mun,codmunnasc1,n_nasc1,x_1,codmunnasc2,n_nasc2,x_2,codmunnasc3,n_nasc3,x_3,cnes,nasc_estab,nome_estabelecimento_fantasia
2021,110000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,110010,2,50,110001,1,25,110004,1,25,2515768,2,HOSPITAL BOM PASTOR GUAJARAMIRIM
2021,110001,151,2,56,132,16,505.8561,81.2011,48.6099,2737.2186,505.8561,130.7705,0,2737.2186,214.1254,81.2011,48.6099,0,206,48.6099,505.8561,48.6099,357,206,110028,132,64.1,110004,38,18.4,110020,15,7.3,2495228,120,HOSPITAL MUNICIPAL JOAO AMELIO DA SILVA
2021,110002,1462,3,56,15,9,137.4697,203.5818,130.9638,3482.3298,345.0042,203.5818,0,3482.3298,137.4697,95.4727,130.9638,0,83,203.5818,203.5818,130.9638,1545,83,110020,52,62.7,110045,13,15.7,110015,5,6,4001303,46,HOSPITAL DE BASE PORTO VELHO
2021,110003,1,1,3,61,2,807.6121,288.7265,100.5868,248.6204,807.6121,0,100.5868,0,0,288.7265,100.5868,248.6204,67,100.5868,100.5868,100.5868,68,67,110030,61,91,110018,3,4.5,110020,2,3,2798484,53,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA
2021,110004,1255,5,17,65,24,480.0495,104.9639,41.4266,2027.0812,480.0495,104.9639,0,2027.0812,0,104.9639,41.4266,0,111,62.5769,480.0495,41.4266,1366,111,110018,42,37.8,110020,24,21.6,110009,23,20.7,2516047,41,HOSPITAL E MATERNIDADE SAO FRANCISCO PIMENTA BUENO
2021,110005,120,2,7,117,5,799.9113,281.0257,94.9454,559.2669,799.9113,320.4296,94.9454,877.6142,0,281.0257,94.9454,240.9196,131,94.9454,94.9454,94.9454,251,131,110030,116,88.5,110020,5,3.8,110018,4,3.1,2798484,97,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA
2021,110006,1,9,12,197,12,761.5987,242.7132,66.3497,202.6071,761.5987,282.142,66.3497,839.3016,0,242.7132,66.3497,202.6071,230,66.3497,66.3497,66.3497,231,230,110030,194,84.3,110020,12,5.2,110018,11,4.8,2798484,170,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA
2021,110007,2,0,14,97,5,721.775,202.8895,108.5863,0,721.775,0,108.5863,0,524.7818,202.8895,36.5631,0,116,108.5863,108.5863,36.5631,118,116,110030,68,58.6,110005,26,22.4,110018,12,10.3,2798484,66,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA
2021,110008,40,0,41,104,10,714.6445,376.3466,85.8202,0,714.6445,391.0627,0,0,517.8802,376.3466,85.8202,0,155,85.8202,714.6445,85.8202,195,155,110149,102,65.8,110012,20,12.9,110020,9,5.8,7218656,102,HOSPITAL REGIONAL DE SAO FRANCISCO
2021,110009,392,0,6,79,8,541.8555,166.7699,62.5769,0,541.8555,166.7699,0,0,0,187.8478,62.5769,0,93,62.5769,541.8555,62.5769,485,93,110004,71,76.3,110018,8,8.6,110020,8,8.6,2496046,50,HOSPITAL MUNICIPAL MATERNO INFANTIL CACOAL
2021,110010,777,3,1,53,0,0,349.6827,331.363,430.9018,0,0,331.363,430.9018,0,349.6827,331.363,536.143,57,331.363,331.363,331.363,834,57,110020,52,91.2,120040,2,3.5,110002,1,1.8,4001303,28,HOSPITAL DE BASE PORTO VELHO
2021,110011,646,2,84,187,1,229.6768,292.0957,43.2556,2886.0099,0,292.0957,87.1502,2886.0099,229.6768,95.4727,43.2556,0,274,43.2556,292.0957,43.2556,920,274,110015,160,58.4,110020,45,16.4,110002,32,11.7,2516276,64,HOSPITAL SAO LUCAS DE OURO PRETO
2021,110012,1724,4,34,174,36,377.224,104.9639,44.2942,1085.1452,377.224,104.9639,0,1085.1452,181.3642,145.9938,44.2942,578.1975,248,44.2942,377.224,44.2942,1972,248,110015,160,64.5,110020,33,13.3,110004,22,8.9,2516276,77,HOSPITAL SAO LUCAS DE OURO PRETO
2021,110013,307,2,17,120,22,186.3899,302.3706,151.1501,2578.708,0,302.3706,151.1501,2997.3284,186.3899,143.0458,151.1501,2160.0876,161,151.1501,151.1501,151.1501,468,161,110002,118,73.3,110015,19,11.8,110020,11,6.8,2494299,37,HOSPITAL REGIONAL DE ARIQUEMES
2021,110014,114,0,69,46,4,481.7105,51.3881,61.2882,0,481.7105,143.1765,0,0,0,51.3881,61.2882,0,119,61.2882,143.1765,61.2882,233,119,110028,45,37.8,110032,41,34.5,110004,9,7.6,2808668,41,HOSPITAL MUNICIPAL MASSAO OKAMOTO
2021,110015,517,0,0,9,12,334.3138,0,44.2942,0,334.3138,0,44.2942,0,259.2834,0,44.2942,0,21,259.2834,334.3138,44.2942,538,21,110020,9,42.9,110012,7,33.3,110045,2,9.5,4001303,9,HOSPITAL DE BASE PORTO VELHO
2021,110018,368,2,21,163,19,521.146,145.9938,31.5083,1783.2657,521.146,186.1847,41.4266,1783.2657,446.1156,106.0366,31.5083,0,205,41.4266,521.146,31.5083,573,205,110009,98,47.8,110004,65,31.7,110020,18,8.8,3049450,89,
2021,110020,7249,311,102,23,18,389.4879,231.375,331.363,510.8572,480.0495,203.5818,0,510.8572,389.4879,231.375,331.363,510.8572,454,510.8572,510.8572,510.8572,7703,454,120040,276,60.8,110045,73,16.1,110002,23,5.1,2000733,227,MATERNIDADE E CLINICAS DE MULHERES BARBARA HELIODORA
2021,110025,160,1,12,74,7,409.766,72.5014,35.0871,2372.6605,409.766,70.7999,35.0871,2372.6605,0,111.8964,35.0871,0,94,35.0871,35.0871,35.0871,254,94,110012,60,63.8,110015,11,11.7,110020,7,7.4,2495279,40,HOSPITAL DR CLAUDIONOR COUTO RORIZ
