ano,codmunres,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total,total_n_local_mun,codmunnasc1,n_nasc1,x_1,codmunnasc2,n_nasc2,x_2,codmunnasc3,n_nasc3,x_3,cnes,nasc_estab,nome_estabelecimento_fantasia
2023,110000,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,120040,2,66.7,110002,1,33.3,,,,2002078,2,HOSPITAL SANTA JULIANA
2023,110001,30,3,58,282,10,505.8561,81.2011,48.6099,2737.2186,505.8561,130.7705,0,2737.2186,0,81.2011,48.6099,0,353,48.6099,505.8561,48.6099,383,353,110028,282,79.9,110004,41,11.6,110020,10,2.8,2495228,264,HOSPITAL MUNICIPAL AMELIO JOAO DA SILVA
2023,110002,1415,1,65,23,10,232.5646,203.5818,130.9638,4514.4626,181.3642,203.5818,0,4514.4626,286.5261,0,130.9638,0,99,203.5818,203.5818,130.9638,1514,99,110020,59,59.6,110045,23,23.2,110011,6,6.1,4001303,54,HOSPITAL DE BASE PORTO VELHO
2023,110003,0,0,8,67,2,807.6121,288.7265,100.5868,0,807.6121,0,100.5868,0,0,288.7265,46.8485,0,77,100.5868,100.5868,288.7265,77,77,110030,66,85.7,110018,7,9.1,110020,2,2.6,2798484,58,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA
2023,110004,1272,5,17,21,28,480.0495,104.9639,41.4266,980.578,480.0495,104.9639,0,980.578,405.0191,147.1197,41.4266,0,71,147.1197,480.0495,62.5769,1343,71,110020,25,35.2,110018,12,16.9,110009,9,12.7,4001303,23,HOSPITAL DE BASE PORTO VELHO
2023,110005,120,3,15,139,3,799.9113,320.4296,94.9454,877.6142,799.9113,424.8257,94.9454,877.6142,0,310.537,94.9454,0,160,94.9454,94.9454,295.7813,280,160,110030,139,86.9,110018,5,3.1,110004,3,1.9,2798484,105,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA
2023,110006,1,2,15,162,8,761.5987,242.7132,66.3497,839.3016,761.5987,0,66.3497,839.3016,0,242.7132,39.1477,0,187,66.3497,66.3497,242.7132,188,187,110030,159,85,110018,13,7,110020,8,4.3,2798484,132,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA
2023,110007,1,0,11,83,2,623.2784,202.8895,108.5863,0,721.775,346.6895,108.5863,0,524.7818,202.8895,36.5631,0,96,108.5863,108.5863,202.8895,97,96,110030,78,81.2,110018,6,6.2,110005,5,5.2,2798484,72,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA
2023,110008,31,0,34,142,12,714.6445,327.9321,85.8202,0,714.6445,376.3466,0,0,0,220.4388,85.8202,0,188,85.8202,645.7107,85.8202,219,188,110149,140,74.5,110032,14,7.4,110020,12,6.4,7218656,140,HOSPITAL REGIONAL DE SAO FRANCISCO
2023,110009,259,0,18,187,15,541.8555,97.2663,62.5769,0,541.8555,191.5158,0,0,541.8555,97.2663,62.5769,0,220,62.5769,541.8555,62.5769,479,220,110004,163,74.1,110018,24,10.9,110020,15,6.8,2496046,144,HOSPITAL MUNICIPAL MATERNO INFANTIL CACOAL
2023,110010,668,0,0,57,5,664.3915,0,331.363,0,0,0,331.363,0,664.3915,0,48.6625,0,62,331.363,331.363,605.653,730,62,110020,54,87.1,110033,3,4.8,110149,2,3.2,4001303,35,HOSPITAL DE BASE PORTO VELHO
2023,110011,662,2,84,145,2,192.312,292.0957,43.2556,1593.4397,0,292.0957,87.1502,2388.1923,192.312,95.4727,43.2556,798.6872,233,43.2556,292.0957,43.2556,895,233,110015,121,51.9,110020,51,21.9,110002,33,14.2,2516292,59,HOSPITAL BOM JESUS OURO PRETO DO OESTE
