ano;codmunres;nascidos_vivos_peso_menor_1500;nascidos_vivos_peso_2000_a_2499;nascidos_vivos_peso_1500_a_1999;nascidos_vivos_menos_de_28_semanas;nascidos_vivos_28_a_32_semanas;nascidos_vivos_33_a_34_semanas;nascidos_vivos_35_a_36_semanas;total_de_nascidos_vivos;nascidos_vivos_com_baixo_peso;nascidos_vivos_prematuros;nascidos_vivos_termo_precoce
2012;110001;0;4;7;0;0;10;19;386;11;29;106
2012;110002;12;17;58;4;21;20;82;1339;87;128;385
2012;110003;1;0;3;0;1;1;4;64;4;6;22
2012;110004;8;17;53;2;11;26;85;1201;78;126;454
2012;110005;0;5;8;0;2;3;11;245;13;21;71
2012;110006;2;3;10;0;1;4;6;214;15;19;39
2012;110007;0;2;7;0;0;5;5;116;9;12;20
2012;110008;1;1;4;0;3;3;6;234;6;19;56
2012;110009;3;3;21;2;3;9;21;476;27;35;107
2012;110010;7;8;49;2;11;28;83;940;64;124;248
2012;110011;6;11;38;3;6;26;54;808;55;89;246
2012;110012;15;14;93;12;22;43;99;2075;122;176;574
2012;110013;2;5;38;1;6;20;32;542;45;60;176
2012;110014;2;7;14;0;4;4;23;271;23;31;89
2012;110015;4;5;26;3;5;9;33;647;35;54;148
2012;110018;6;9;14;1;9;11;31;553;29;52;189
2012;110020;103;118;416;34;131;249;524;8941;637;938;1938
2012;110025;1;1;13;1;2;3;15;243;15;21;54
2012;110026;0;1;2;0;0;0;3;41;3;3;16
2012;110028;10;14;57;2;12;22;70;927;81;106;246
2012;110029;0;0;3;0;1;5;3;118;3;10;36
2012;110030;21;20;67;3;15;27;73;1269;108;133;336
2012;110032;1;2;13;1;2;8;16;313;16;27;73
2012;110033;0;3;23;0;3;17;41;383;26;61;101
2012;110034;0;1;10;0;2;4;8;189;11;15;33
2012;110037;0;1;7;1;1;0;12;189;8;14;42
2012;110040;1;2;12;0;3;3;16;194;15;22;65
2012;110045;4;9;23;2;7;17;32;555;36;58;138
2012;110050;1;1;6;0;2;1;5;125;8;8;43
2012;110060;1;1;3;0;2;0;2;61;5;5;20
2012;110070;1;2;4;0;3;6;9;164;7;18;45
2012;110080;5;6;27;2;6;16;34;430;38;58;89
2012;110090;1;3;0;3;0;2;2;53;4;7;16
2012;110092;2;2;11;1;1;6;6;118;15;14;37
2012;110094;3;2;9;0;0;6;11;161;14;22;38
2012;110100;1;1;3;0;1;2;11;133;5;16;38
2012;110110;0;0;2;0;0;0;8;114;2;9;29
2012;110120;0;0;6;0;1;3;12;100;6;17;29
2012;110130;2;3;6;0;1;3;13;148;11;17;35
2012;110140;1;0;7;1;0;8;6;170;8;15;41
2012;110143;1;4;8;0;3;3;4;99;13;12;18
2012;110145;1;0;5;0;2;2;5;63;6;9;21
2012;110146;0;1;2;0;1;0;1;51;3;2;5
2012;110147;0;0;4;0;0;1;2;43;4;3;13
2012;110148;0;0;3;0;0;0;1;64;3;1;32
2012;110149;0;1;9;0;0;5;10;246;10;16;48
2012;110150;1;1;3;0;1;1;8;190;5;10;50
2012;110155;0;2;4;0;1;2;2;57;6;5;18
2012;110160;1;3;5;0;0;4;7;133;9;12;38
2012;110170;1;2;10;0;2;2;9;146;13;14;26
2012;110175;0;2;5;0;0;2;7;86;7;9;26
2012;110180;0;2;5;1;1;1;4;83;7;7;27
2012;120001;4;2;17;4;8;12;21;253;23;45;49
2012;120005;0;3;6;1;5;2;15;219;9;23;42
2012;120010;8;4;16;2;17;19;37;505;28;75;109
2012;120013;2;3;9;1;2;8;17;198;14;28;43
2012;120017;4;4;15;5;5;10;16;201;23;36;45
2012;120020;16;30;97;7;36;71;125;1741;143;239;369
2012;120025;8;1;13;4;10;5;22;282;22;41;60
2012;120030;3;12;37;5;16;24;74;904;52;119;149
2012;120032;1;0;26;0;4;14;17;269;27;35;33
2012;120033;1;3;17;0;4;10;18;386;21;32;82
2012;120034;0;1;27;1;5;11;31;256;28;48;43
2012;120035;3;2;20;1;6;12;43;474;25;62;68
2012;120038;3;3;13;3;7;12;23;353;19;45;82
2012;120039;2;2;14;1;1;6;20;338;18;28;47
2012;120040;78;132;378;39;146;234;509;6531;588;928;1588
2012;120042;0;5;19;0;7;11;23;390;24;41;73
2012;120043;2;0;7;0;0;5;9;259;9;14;14
2012;120045;6;5;29;1;11;15;29;396;40;56;81
2012;120050;7;10;46;4;14;30;59;929;63;107;208
2012;120060;8;11;34;9;33;26;73;1158;53;141;187
2012;120070;3;1;10;2;5;8;24;311;14;39;68
2012;120080;5;7;18;5;10;9;27;346;30;51;67
2012;130002;0;4;19;0;8;10;22;320;23;40;59
2012;130006;0;2;11;0;4;23;39;242;13;66;43
2012;130008;1;2;9;0;2;3;15;199;12;20;27
2012;130010;0;3;14;0;6;5;21;247;17;32;59
2012;130014;3;3;8;2;5;9;13;195;14;29;32
2012;130020;0;1;23;0;6;11;46;357;24;63;77
2012;130030;2;4;46;0;11;33;68;877;52;112;196
2012;130040;2;6;28;2;14;19;63;469;36;99;161
2012;130050;3;7;28;0;13;22;75;707;38;110;174
2012;130060;10;2;57;2;17;48;91;1053;69;158;181
2012;130063;0;3;15;0;1;12;16;427;18;29;63
2012;130068;1;0;15;0;6;11;13;260;16;30;45
2012;130070;4;5;37;1;5;29;67;741;46;102;157
2012;130080;7;8;36;1;16;11;51;690;51;79;141
2012;130083;1;1;6;0;1;3;13;138;8;17;32
2012;130090;1;4;11;0;2;7;19;213;16;28;48
2012;130100;5;6;36;1;11;15;57;656;47;84;75
2012;130110;3;0;18;1;7;8;22;414;21;38;51
2012;130115;1;2;11;1;4;0;23;171;14;28;22
2012;130120;13;26;75;4;18;53;120;1668;114;195;388
2012;130130;2;6;11;1;7;5;26;432;19;39;138
2012;130140;12;12;54;2;17;10;50;833;78;79;152
2012;130150;0;5;22;0;3;6;25;314;27;34;59
2012;130160;5;8;31;2;11;20;55;520;44;88;115
2012;130165;2;5;20;0;3;11;39;360;27;53;65
2012;130170;6;10;43;0;8;18;55;847;59;81;260
2012;130180;3;6;30;3;9;11;23;439;39;46;95
2012;130185;7;11;39;4;14;21;47;898;57;86;167
2012;130190;17;22;95;10;37;64;168;2019;134;279;387
2012;130195;0;1;10;1;1;0;3;197;11;5;6
2012;130200;2;1;5;1;2;5;14;199;8;22;47
2012;130210;1;2;9;1;0;6;15;142;12;22;33
2012;130220;1;1;8;1;1;12;9;171;10;25;63
2012;130230;1;7;40;0;7;25;47;601;48;79;147
2012;130240;3;5;31;2;10;26;70;682;39;108;145
2012;130250;18;25;97;6;52;50;108;1886;140;216;341
2012;130255;2;5;8;1;4;7;17;250;15;29;53
2012;130260;477;636;2125;225;777;1015;2466;41169;3238;4483;8799
2012;130270;3;8;31;4;6;21;55;810;42;86;153
2012;130280;2;2;16;1;5;7;31;313;20;44;61
2012;130290;12;13;74;1;42;54;105;1311;99;202;248
2012;130300;1;1;4;0;12;11;24;344;6;47;78
2012;130310;2;6;28;1;3;15;53;591;36;72;118
2012;130320;2;5;13;1;3;8;23;257;20;35;54
2012;130330;3;1;14;2;8;10;18;321;18;38;53
2012;130340;10;31;94;2;31;96;205;2021;135;334;524
2012;130350;2;5;13;0;7;8;23;308;20;38;40
2012;130353;4;9;27;0;8;9;25;556;40;42;117
2012;130356;0;4;22;0;3;6;16;361;26;25;41
2012;130360;1;3;26;1;7;13;21;344;30;42;144
2012;130370;4;11;34;3;8;25;48;603;49;84;151
2012;130380;11;12;51;5;29;58;88;1119;74;180;251
2012;130390;10;5;42;3;34;79;153;959;57;270;246
2012;130395;1;2;12;0;5;4;14;178;15;23;45
2012;130400;3;4;8;1;5;2;14;181;15;22;29
2012;130406;20;12;83;4;31;87;179;1632;115;301;368
2012;130410;1;1;20;1;8;16;28;401;22;53;95
2012;130420;14;22;81;3;30;49;133;1558;117;215;398
2012;130423;2;3;19;4;7;10;31;348;24;52;80
2012;130426;1;5;27;0;7;11;34;288;33;52;92
2012;130430;4;4;13;0;5;8;15;298;21;28;80
2012;130440;2;1;12;1;7;16;27;321;15;51;76
2012;140002;0;5;37;2;4;13;36;308;42;55;79
2012;140005;3;12;50;2;20;34;80;600;65;136;111
2012;140010;85;74;290;46;114;203;557;6358;449;920;1877
2012;140015;0;2;11;0;6;9;43;312;13;58;78
2012;140017;1;2;20;0;4;12;34;315;23;50;83
2012;140020;8;9;25;4;9;9;26;425;42;48;116
2012;140023;0;0;8;0;3;6;21;138;8;30;27
2012;140028;2;0;17;1;1;2;14;173;19;18;43
2012;140030;0;5;15;0;5;6;22;270;20;33;58
2012;140040;3;3;18;1;4;11;36;319;24;52;81
2012;140045;2;1;23;0;3;14;37;327;26;54;99
2012;140047;7;5;19;4;11;13;32;422;31;60;89
2012;140050;1;3;6;3;1;2;6;116;10;12;34
2012;140060;0;2;3;0;1;0;6;84;5;7;18
2012;140070;2;3;19;1;0;13;166;432;24;180;77
2012;150010;23;40;150;8;47;71;193;2530;213;319;707
2012;150013;0;1;6;0;1;2;4;114;7;7;33
2012;150020;11;13;53;1;25;10;57;966;77;95;145
2012;150030;10;11;50;5;14;14;43;805;71;90;137
2012;150034;1;4;9;0;2;3;14;164;14;19;46
2012;150040;11;10;43;8;16;9;28;1138;64;62;275
2012;150050;10;4;23;5;17;22;56;693;37;104;163
2012;150060;23;30;98;6;22;33;69;2105;151;187;224
2012;150070;4;4;30;1;14;14;39;751;38;68;126
2012;150080;108;123;516;46;169;251;670;8195;747;1136;2953
2012;150085;6;4;22;0;7;15;24;530;32;58;66
2012;150090;6;14;38;6;13;29;59;965;58;119;130
2012;150095;6;5;14;2;9;9;14;372;25;38;63
2012;150100;2;1;6;2;7;5;18;206;9;32;45
2012;150110;1;3;39;0;4;12;22;465;43;38;78
2012;150120;13;4;25;2;10;23;46;538;42;81;142
2012;150125;0;0;1;0;0;0;2;42;1;2;17
2012;150130;16;25;140;13;57;70;165;2053;181;305;540
2012;150140;332;371;1354;147;506;721;1916;21371;2057;3292;8312
2012;150145;0;4;12;0;6;7;12;243;16;28;56
2012;150150;8;17;59;6;21;40;102;1082;84;170;364
2012;150157;3;2;9;4;1;9;8;229;14;22;64
2012;150160;5;1;8;2;4;6;12;217;14;28;56
2012;150170;24;25;118;6;29;47;146;2148;167;243;349
2012;150172;1;2;13;1;0;1;4;279;16;11;4
2012;150175;1;0;3;0;0;1;6;97;4;7;18
2012;150178;5;12;47;3;15;22;65;799;64;105;204
2012;150180;28;36;160;18;36;68;142;2383;224;264;768
2012;150190;4;5;25;3;4;15;41;508;34;65;98
2012;150195;7;2;16;1;7;15;46;356;25;81;67
2012;150200;3;2;17;2;5;5;17;236;22;29;39
2012;150210;30;42;152;10;41;55;128;2478;224;234;653
2012;150215;11;12;35;1;17;21;62;875;58;101;221
2012;150220;22;9;47;7;15;16;73;1087;78;123;296
2012;150230;5;6;38;3;18;25;68;827;49;114;195
2012;150240;37;39;146;16;44;78;239;3169;222;378;1108
2012;150250;1;4;18;0;6;4;8;283;23;19;49
2012;150260;2;0;11;0;2;2;6;151;13;11;31
2012;150270;10;10;37;4;9;26;50;756;57;89;166
2012;150275;8;4;16;4;12;10;41;498;28;68;99
2012;150276;1;1;10;1;5;3;5;147;12;14;38
2012;150277;3;6;16;0;5;23;30;443;25;58;103
2012;150280;3;5;38;4;10;14;36;631;46;64;111
2012;150285;0;1;7;0;1;6;15;208;8;22;35
2012;150290;3;5;26;3;13;11;37;498;34;73;107
2012;150293;8;6;26;4;12;17;57;700;40;90;178
2012;150295;10;6;20;8;8;9;37;513;36;62;132
2012;150300;1;3;6;1;1;4;9;147;10;15;30
2012;150304;4;1;13;3;1;14;19;298;18;37;59
2012;150307;3;7;20;4;17;20;25;431;30;67;76
2012;150309;4;7;41;0;7;11;36;721;52;54;223
2012;150310;5;7;27;0;5;14;36;647;39;55;112
2012;150320;8;9;30;2;10;22;35;586;47;69;142
2012;150330;5;17;61;5;26;39;92;1156;83;162;330
2012;150340;4;4;9;0;2;9;12;167;17;23;53
2012;150345;0;4;34;4;14;17;41;569;38;76;138
2012;150350;3;6;26;2;1;12;35;480;35;56;127
2012;150360;26;22;73;13;47;63;153;2095;121;284;576
2012;150370;8;9;36;1;20;27;55;898;53;103;215
2012;150375;3;5;38;3;14;18;35;521;46;70;82
2012;150380;9;9;22;5;15;20;49;904;40;89;159
2012;150390;10;12;55;5;19;36;75;966;77;136;232
2012;150400;2;7;26;1;16;18;49;494;35;84;123
2012;150405;7;8;25;3;19;24;44;625;40;90;154
2012;150410;0;2;5;0;5;5;9;127;7;21;40
2012;150420;69;68;275;22;65;111;257;4812;412;456;1142
2012;150430;5;4;21;5;8;9;30;392;30;56;75
2012;150440;5;6;18;3;7;13;29;333;29;56;79
2012;150442;18;17;107;10;25;50;169;1665;142;254;570
2012;150445;5;3;21;2;3;3;24;459;29;37;71
2012;150450;5;7;25;0;9;6;57;586;37;72;62
2012;150460;6;4;19;1;10;12;46;469;29;69;101
2012;150470;11;11;74;7;22;40;101;1174;96;171;281
2012;150475;0;0;0;0;0;0;0;0;0;0;0
2012;150480;5;13;44;3;16;23;87;1044;62;130;244
2012;150490;5;10;19;3;8;15;32;525;34;58;109
2012;150495;1;2;21;1;9;11;45;408;24;66;75
2012;150497;1;4;13;1;1;5;15;194;18;22;36
2012;150500;0;2;4;0;1;5;16;142;6;25;39
2012;150503;3;5;13;3;10;13;46;481;21;72;125
2012;150506;12;6;41;4;25;35;99;1259;59;163;272
2012;150510;8;9;37;1;14;22;39;1001;54;83;206
2012;150520;6;9;34;3;18;29;58;716;49;108;156
2012;150530;14;12;72;13;38;48;106;1283;98;205;296
2012;150540;5;1;5;1;2;10;15;251;11;28;47
2012;150543;7;7;17;3;7;6;18;596;31;34;75
2012;150548;7;5;26;3;4;8;19;681;38;44;53
2012;150549;0;1;4;2;4;2;9;116;5;17;21
2012;150550;33;43;110;13;40;61;152;2093;186;266;485
2012;150553;52;66;251;20;78;161;388;4513;369;647;1582
2012;150555;1;0;4;0;1;7;10;127;5;18;37
2012;150560;0;2;4;0;1;5;2;109;6;9;28
2012;150563;2;3;11;1;4;6;10;174;16;22;39
2012;150565;2;2;6;1;5;2;18;246;10;26;42
2012;150570;7;3;23;4;3;12;32;295;33;67;77
2012;150580;11;6;58;1;7;23;61;1170;75;92;230
2012;150590;5;8;38;0;7;12;24;670;51;94;72
2012;150600;7;7;40;4;6;13;29;734;54;52;129
