"codmunres","ano","total_de_nascidos_vivos","nascidos_vivos_com_baixo_peso","nascidos_vivos_prematuros","nascidos_vivos_termo_precoce","nascidos_vivos_peso_menor_1500","nascidos_vivos_peso_1500_a_1999","nascidos_vivos_peso_2000_a_2499","nascidos_vivos_menos_de_28_semanas","nascidos_vivos_28_a_32_semanas","nascidos_vivos_33_a_34_semanas","nascidos_vivos_35_a_36_semanas","nascidos_condicoes_ameacadoras"
"110001",2012,386,11,29,106,0,4,7,0,0,10,19,3
"110001",2013,382,15,23,106,2,2,11,1,4,3,15,9
"110001",2014,341,28,28,89,5,5,18,0,6,3,19,8
"110001",2015,373,22,36,105,5,2,15,3,5,8,20,6
"110001",2016,326,22,35,96,3,9,10,2,7,5,21,6
"110001",2017,354,23,17,120,3,0,20,0,1,5,10,4
"110001",2018,408,24,40,129,2,7,15,0,4,10,26,5
"110001",2019,367,26,33,126,4,6,16,1,2,10,20,7
"110001",2020,333,14,21,128,1,7,6,0,5,3,13,3
"110001",2021,357,27,37,148,5,8,14,1,1,8,27,7
"110001",2022,368,30,45,137,5,2,23,0,5,12,28,9
"110002",2012,1339,87,128,385,12,17,58,4,21,20,82,31
"110002",2013,1654,129,149,513,21,16,92,4,21,34,90,34
"110002",2014,1647,114,132,631,17,22,75,9,9,32,82,32
"110002",2015,1783,109,130,495,18,21,70,4,12,34,80,28
"110002",2016,1662,121,94,97,16,22,83,0,22,18,54,53
"110002",2017,1724,122,76,74,17,26,79,4,11,14,47,29
"110002",2018,1682,102,102,466,18,20,64,9,5,15,73,27
"110002",2019,1729,93,119,582,15,15,63,6,15,18,80,28
"110002",2020,1507,113,162,516,17,19,77,4,19,32,107,37
"110002",2021,1545,107,158,563,22,23,62,11,23,29,95,45
"110002",2022,1505,127,175,532,25,27,75,14,25,38,98,59
"110003",2012,64,4,6,22,1,0,3,0,1,1,4,2
"110003",2013,74,5,4,30,1,1,3,1,0,0,3,1
"110003",2014,75,7,10,21,0,0,7,0,4,1,5,5
"110003",2015,86,2,4,28,0,1,1,0,0,1,3,1
"110003",2016,73,5,4,22,0,0,5,0,0,1,3,0
"110003",2017,67,3,6,18,0,0,3,0,0,0,6,1
"110003",2018,82,7,7,29,1,0,6,0,1,3,3,1
"110003",2019,80,2,4,24,0,0,2,0,0,0,4,0
"110003",2020,69,7,10,17,0,2,5,0,0,5,5,1
"110003",2021,68,5,7,20,1,1,3,0,0,1,6,1
"110003",2022,64,3,4,19,0,0,3,0,0,1,3,1
"110004",2012,1201,78,126,454,8,17,53,2,11,26,85,17
"110004",2013,1185,76,132,447,9,15,52,2,19,25,86,26
"110004",2014,1307,109,181,451,15,21,73,3,20,45,113,26
"110004",2015,1360,99,157,495,11,17,71,6,13,36,102,21
"110004",2016,1338,76,139,513,13,7,56,8,15,28,88,22
"110004",2017,1452,100,145,518,13,9,78,7,16,38,84,25
"110004",2018,1446,81,139,527,6,14,61,2,16,26,95,21
"110004",2019,1374,76,141,478,11,13,52,4,16,28,93,22
"110004",2020,1325,102,173,495,24,16,62,9,23,29,112,43
"110004",2021,1366,90,174,521,14,19,57,6,29,41,98,42
"110004",2022,1353,105,192,519,8,25,72,5,16,47,124,26
"110005",2012,245,13,21,71,0,5,8,0,2,3,11,3
"110005",2013,271,10,14,79,0,1,9,0,2,0,12,1
"110005",2014,250,16,16,103,1,2,13,0,2,4,10,6
"110005",2015,277,17,14,87,1,0,16,0,1,0,13,2
"110005",2016,263,18,25,71,5,4,9,0,9,1,15,7
"110005",2017,277,24,21,91,3,3,18,0,3,1,17,5
"110005",2018,264,20,24,87,3,3,14,1,2,6,15,4
"110005",2019,237,25,26,70,6,5,14,1,4,5,16,7
"110005",2020,269,9,9,91,1,1,7,0,2,3,4,2
"110005",2021,251,13,20,67,3,1,9,2,2,4,12,4
"110005",2022,272,17,24,73,2,3,12,1,1,2,20,2
"110006",2012,214,15,19,39,2,3,10,0,1,4,6,3
"110006",2013,256,18,23,78,0,3,15,0,2,6,14,3
"110006",2014,273,16,14,122,0,2,14,2,0,5,7,3
"110006",2015,251,20,19,97,4,6,10,0,8,1,10,4
"110006",2016,223,12,11,87,0,3,9,0,0,3,8,1
"110006",2017,243,12,10,78,2,1,9,0,3,2,5,4
"110006",2018,235,19,20,78,2,7,10,0,3,4,13,4
"110006",2019,214,22,12,71,4,5,13,2,0,3,7,4
"110006",2020,203,14,18,71,3,4,7,1,1,1,15,3
"110006",2021,231,18,20,65,2,3,13,0,2,6,12,3
"110006",2022,205,15,22,70,4,2,9,3,1,1,17,4
"110007",2012,116,9,12,20,0,2,7,0,0,5,5,3
"110007",2013,116,9,9,37,3,1,5,1,2,1,5,3
"110007",2014,125,5,5,59,1,1,3,0,0,0,5,1
"110007",2015,111,5,1,33,0,1,4,0,0,0,1,0
"110007",2016,139,9,8,37,2,3,4,2,0,1,5,2
"110007",2017,87,8,4,31,2,1,5,1,1,1,1,2
"110007",2018,129,6,6,30,1,3,2,0,2,1,3,1
"110007",2019,127,4,7,29,2,0,2,0,1,1,5,2
"110007",2020,107,6,5,37,1,2,3,0,2,0,3,2
"110007",2021,118,9,10,24,5,1,3,2,3,3,2,5
"110007",2022,103,9,9,25,1,1,7,0,2,2,5,1
"110008",2012,234,6,19,56,1,1,4,0,3,3,6,6
"110008",2013,234,14,16,55,3,3,8,2,1,4,9,7
"110008",2014,267,21,39,74,2,3,16,0,4,6,29,5
"110008",2015,245,16,29,58,2,2,12,2,2,5,20,8
