"codmunres","ano","total_internacoes_ans","casos_mmg_ans_transfusao","casos_mmg_ans_tmp","casos_mmg_ans_hipertensao","casos_mmg_ans_hemorragia","casos_mmg_ans_infeccoes","casos_mmg_ans_cirurgia","casos_mmg_ans_uti","casos_mmg_ans","total_tipo_obst","cid_ign","total_tipo_obst_2"
"110001",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110001",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110001",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110001",2015,123,0,3,2,3,0,0,2,10,78,27,78
"110001",2016,124,0,0,5,1,0,1,4,11,97,30,97
"110001",2017,153,0,4,6,1,0,1,12,23,108,26,106
"110001",2018,102,0,1,1,0,0,1,5,9,74,21,74
"110001",2019,149,0,1,2,3,0,0,7,14,95,26,95
"110001",2020,32,0,0,0,1,0,0,1,2,26,3,26
"110001",2021,27,0,0,0,0,0,0,0,1,23,5,23
"110001",2022,16,0,0,1,0,0,0,0,1,11,4,11
"110001",2023,22,0,0,0,0,0,0,0,0,16,11,16
"110001",2024,21,0,0,0,0,0,0,0,0,16,15,16
"110002",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110002",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110002",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110002",2015,157,0,3,0,1,0,0,0,6,121,17,121
"110002",2016,148,0,1,0,2,0,0,0,3,123,23,123
"110002",2017,127,0,2,1,2,0,0,1,6,110,16,110
"110002",2018,132,1,0,0,2,0,0,0,3,105,22,105
"110002",2019,155,0,0,0,2,0,0,2,4,129,85,129
"110002",2020,83,0,1,0,0,0,0,1,3,73,62,73
"110002",2021,99,0,2,1,0,0,1,0,4,87,49,87
"110002",2022,103,0,3,3,3,0,1,1,12,89,55,89
"110002",2023,87,0,1,0,0,0,0,0,1,74,43,74
"110002",2024,89,0,0,1,1,0,0,1,3,80,42,80
"110003",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2015,2,0,0,0,0,0,0,0,0,2,0,2
"110003",2016,2,0,0,0,0,0,0,0,0,1,0,1
"110003",2017,2,0,0,0,0,0,0,0,0,2,2,2
"110003",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2019,4,0,0,0,0,0,0,0,0,4,3,4
"110003",2020,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2021,5,0,0,0,0,0,0,0,0,5,4,5
"110003",2022,2,0,0,0,0,0,0,0,0,2,2,2
"110003",2023,4,0,0,0,0,0,0,0,0,4,4,4
"110003",2024,2,0,0,0,0,0,0,0,0,2,2,2
"110004",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110004",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110004",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110004",2015,183,0,8,0,1,1,0,0,10,124,85,124
"110004",2016,136,0,1,0,5,0,0,0,6,97,57,97
"110004",2017,116,0,2,0,0,0,0,1,2,78,53,78
"110004",2018,93,0,3,1,2,0,2,1,9,59,28,59
"110004",2019,214,0,13,0,2,0,0,1,17,149,103,149
"110004",2020,158,0,4,0,1,0,0,0,5,123,80,123
"110004",2021,130,0,5,0,1,0,1,2,7,103,64,102
"110004",2022,156,0,5,1,2,0,1,1,13,110,100,110
"110004",2023,140,0,2,2,0,0,1,0,6,106,78,106
"110004",2024,114,0,0,0,1,0,0,3,4,100,73,100
