"codmunres","municipio","uf","regiao","ano","nascidos","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal"
"110001","Alta Floresta D'Oeste","RO","Norte",2012,386,0,0,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2013,382,0,0,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2014,341,0,0,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2015,373,1,0,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2016,326,0,0,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2017,354,0,0,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2018,408,0,0,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2019,367,0,0,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2020,333,0,0,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2021,357,1,1,1,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte",2022,368,0,0,0,0,0,0
"110002","Ariquemes","RO","Norte",2012,1339,1,0,0,0,0,0
"110002","Ariquemes","RO","Norte",2013,1654,1,0,0,0,0,0
"110002","Ariquemes","RO","Norte",2014,1647,2,1,0,1,0,0
"110002","Ariquemes","RO","Norte",2015,1783,2,1,1,0,0,0
"110002","Ariquemes","RO","Norte",2016,1662,2,1,0,0,1,0
"110002","Ariquemes","RO","Norte",2017,1724,1,1,0,0,1,0
"110002","Ariquemes","RO","Norte",2018,1682,0,0,0,0,0,0
"110002","Ariquemes","RO","Norte",2019,1729,1,1,0,0,1,0
"110002","Ariquemes","RO","Norte",2020,1507,2,1,0,0,0,0
"110002","Ariquemes","RO","Norte",2021,1545,1,0,0,0,0,0
"110002","Ariquemes","RO","Norte",2022,1505,1,1,0,1,0,0
"110003","Cabixi","RO","Norte",2012,64,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2013,74,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2014,75,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2015,86,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2016,73,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2017,67,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2018,82,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2019,80,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2020,69,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2021,68,0,0,0,0,0,0
"110003","Cabixi","RO","Norte",2022,64,0,0,0,0,0,0
"110004","Cacoal","RO","Norte",2012,1201,0,0,0,0,0,0
"110004","Cacoal","RO","Norte",2013,1185,0,0,0,0,0,0
"110004","Cacoal","RO","Norte",2014,1307,1,1,0,1,0,0
"110004","Cacoal","RO","Norte",2015,1360,0,0,0,0,0,0
"110004","Cacoal","RO","Norte",2016,1338,1,1,0,0,1,0
"110004","Cacoal","RO","Norte",2017,1452,0,0,0,0,0,0
"110004","Cacoal","RO","Norte",2018,1446,0,0,0,0,0,0
"110004","Cacoal","RO","Norte",2019,1374,0,0,0,0,0,0
"110004","Cacoal","RO","Norte",2020,1325,3,1,1,0,0,0
"110004","Cacoal","RO","Norte",2021,1366,0,0,0,0,0,0
"110004","Cacoal","RO","Norte",2022,1353,0,0,0,0,0,0
"110005","Cerejeiras","RO","Norte",2012,245,0,0,0,0,0,0
"110005","Cerejeiras","RO","Norte",2013,271,0,0,0,0,0,0
"110005","Cerejeiras","RO","Norte",2014,250,0,0,0,0,0,0
"110005","Cerejeiras","RO","Norte",2015,277,0,0,0,0,0,0
