"codmunres","municipio","uf","regiao","ano","nascidos","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal"
"110001","Alta Floresta D'Oeste","Rondônia","Norte",2023,383,0,0,0,0,0,0
"110002","Ariquemes","Rondônia","Norte",2023,1514,0,0,0,0,0,0
"110003","Cabixi","Rondônia","Norte",2023,77,0,0,0,0,0,0
"110004","Cacoal","Rondônia","Norte",2023,1343,0,0,0,0,0,0
"110005","Cerejeiras","Rondônia","Norte",2023,280,0,0,0,0,0,0
"110006","Colorado do Oeste","Rondônia","Norte",2023,188,0,0,0,0,0,0
"110007","Corumbiara","Rondônia","Norte",2023,97,0,0,0,0,0,0
"110008","Costa Marques","Rondônia","Norte",2023,219,0,0,0,0,0,0
"110009","Espigão D'Oeste","Rondônia","Norte",2023,479,1,1,0,0,0,0
"110010","Guajará-Mirim","Rondônia","Norte",2023,730,0,0,0,0,0,0
"110011","Jaru","Rondônia","Norte",2023,895,0,0,0,0,0,0
"110012","Ji-Paraná","Rondônia","Norte",2023,1914,0,0,0,0,0,0
"110013","Machadinho D'Oeste","Rondônia","Norte",2023,507,0,0,0,0,0,0
"110014","Nova Brasilândia D'Oeste","Rondônia","Norte",2023,228,0,0,0,0,0,0
"110015","Ouro Preto do Oeste","Rondônia","Norte",2023,534,0,0,0,0,0,0
"110018","Pimenta Bueno","Rondônia","Norte",2023,614,0,0,0,0,0,0
"110020","Porto Velho","Rondônia","Norte",2023,6639,4,3,0,1,1,0
"110025","Presidente Médici","Rondônia","Norte",2023,248,0,0,0,0,0,0
"110026","Rio Crespo","Rondônia","Norte",2023,33,0,0,0,0,0,0
"110028","Rolim de Moura","Rondônia","Norte",2023,824,2,2,0,1,0,0
"110029","Santa Luzia D'Oeste","Rondônia","Norte",2023,72,0,0,0,0,0,0
"110030","Vilhena","Rondônia","Norte",2023,1486,0,0,0,0,0,0
"110032","São Miguel do Guaporé","Rondônia","Norte",2023,343,0,0,0,0,0,0
"110033","Nova Mamoré","Rondônia","Norte",2023,464,0,0,0,0,0,0
"110034","Alvorada D'Oeste","Rondônia","Norte",2023,199,0,0,0,0,0,0
"110037","Alto Alegre dos Parecis","Rondônia","Norte",2023,166,0,0,0,0,0,0
"110040","Alto Paraíso","Rondônia","Norte",2023,216,0,0,0,0,0,0
"110045","Buritis","Rondônia","Norte",2023,497,0,0,0,0,0,0
"110050","Novo Horizonte do Oeste","Rondônia","Norte",2023,70,0,0,0,0,0,0
"110060","Cacaulândia","Rondônia","Norte",2023,56,0,0,0,0,0,0
"110070","Campo Novo de Rondônia","Rondônia","Norte",2023,137,0,0,0,0,0,0
"110080","Candeias do Jamari","Rondônia","Norte",2023,339,0,0,0,0,0,0
"110090","Castanheiras","Rondônia","Norte",2023,47,0,0,0,0,0,0
"110092","Chupinguaia","Rondônia","Norte",2023,168,0,0,0,0,0,0
"110094","Cujubim","Rondônia","Norte",2023,208,0,0,0,0,0,0
"110100","Governador Jorge Teixeira","Rondônia","Norte",2023,95,0,0,0,0,0,0
"110110","Itapuã do Oeste","Rondônia","Norte",2023,95,0,0,0,0,0,0
"110120","Ministro Andreazza","Rondônia","Norte",2023,68,0,0,0,0,0,0
"110130","Mirante da Serra","Rondônia","Norte",2023,107,0,0,0,0,0,0
"110140","Monte Negro","Rondônia","Norte",2023,173,0,0,0,0,0,0
"110143","Nova União","Rondônia","Norte",2023,72,0,0,0,0,0,0
"110145","Parecis","Rondônia","Norte",2023,38,1,1,0,1,0,0
"110146","Pimenteiras do Oeste","Rondônia","Norte",2023,47,0,0,0,0,0,0
"110147","Primavera de Rondônia","Rondônia","Norte",2023,41,0,0,0,0,0,0
"110148","São Felipe D'Oeste","Rondônia","Norte",2023,65,0,0,0,0,0,0
"110149","São Francisco do Guaporé","Rondônia","Norte",2023,263,0,0,0,0,0,0
"110150","Seringueiras","Rondônia","Norte",2023,199,1,1,0,1,0,0
"110155","Teixeirópolis","Rondônia","Norte",2023,48,0,0,0,0,0,0
"110160","Theobroma","Rondônia","Norte",2023,73,0,0,0,0,0,0
"110170","Urupá","Rondônia","Norte",2023,168,0,0,0,0,0,0
"110175","Vale do Anari","Rondônia","Norte",2023,68,0,0,0,0,0,0
"110180","Vale do Paraíso","Rondônia","Norte",2023,69,0,0,0,0,0,0
"120001","Acrelândia","Acre","Norte",2023,248,1,1,1,0,0,0
"120005","Assis Brasil","Acre","Norte",2023,231,0,0,0,0,0,0
"120010","Brasiléia","Acre","Norte",2023,519,0,0,0,0,0,0
"120013","Bujari","Acre","Norte",2023,256,1,1,0,1,0,0
"120017","Capixaba","Acre","Norte",2023,180,0,0,0,0,0,0
"120020","Cruzeiro do Sul","Acre","Norte",2023,1540,0,0,0,0,0,0
"120025","Epitaciolândia","Acre","Norte",2023,281,0,0,0,0,0,0
"120030","Feijó","Acre","Norte",2023,745,1,1,0,0,1,0
"120032","Jordão","Acre","Norte",2023,273,0,0,0,0,0,0
"120033","Mâncio Lima","Acre","Norte",2023,354,0,0,0,0,0,0
"120034","Manoel Urbano","Acre","Norte",2023,284,0,0,0,0,0,0
"120035","Marechal Thaumaturgo","Acre","Norte",2023,404,0,0,0,0,0,0
"120038","Plácido de Castro","Acre","Norte",2023,249,0,0,0,0,0,0
"120039","Porto Walter","Acre","Norte",2023,226,0,0,0,0,0,0
"120040","Rio Branco","Acre","Norte",2023,5148,1,1,0,0,0,0
"120042","Rodrigues Alves","Acre","Norte",2023,279,0,0,0,0,0,0
"120043","Santa Rosa do Purus","Acre","Norte",2023,201,0,0,0,0,0,0
"120045","Senador Guiomard","Acre","Norte",2023,345,0,0,0,0,0,0
"120050","Sena Madureira","Acre","Norte",2023,783,1,1,0,1,0,0
"120060","Tarauacá","Acre","Norte",2023,1124,1,1,0,1,0,0
"120070","Xapuri","Acre","Norte",2023,303,0,0,0,0,0,0
"120080","Porto Acre","Acre","Norte",2023,343,0,0,0,0,0,0
"130002","Alvarães","Amazonas","Norte",2023,305,0,0,0,0,0,0
"130006","Amaturá","Amazonas","Norte",2023,240,1,1,0,0,1,0
"130008","Anamã","Amazonas","Norte",2023,192,0,0,0,0,0,0
"130010","Anori","Amazonas","Norte",2023,207,0,0,0,0,0,0
"130014","Apuí","Amazonas","Norte",2023,273,0,0,0,0,0,0
"130020","Atalaia do Norte","Amazonas","Norte",2023,294,0,0,0,0,0,0
"130030","Autazes","Amazonas","Norte",2023,816,1,0,0,0,0,0
"130040","Barcelos","Amazonas","Norte",2023,466,0,0,0,0,0,0
"130050","Barreirinha","Amazonas","Norte",2023,785,0,0,0,0,0,0
"130060","Benjamin Constant","Amazonas","Norte",2023,978,1,1,0,0,0,0
"130063","Beruri","Amazonas","Norte",2023,431,1,1,0,1,0,0
"130068","Boa Vista do Ramos","Amazonas","Norte",2023,264,0,0,0,0,0,0
