"codmunres","municipio","uf","regiao","ano","nascidos","obitos_fetais_totais","obitos_fetais_mais_22sem"
"110001","Alta Floresta D'Oeste","RO","Norte",2012,"386",4,3
"110001","Alta Floresta D'Oeste","RO","Norte",2013,"382",4,3
"110001","Alta Floresta D'Oeste","RO","Norte",2014,"341",2,2
"110001","Alta Floresta D'Oeste","RO","Norte",2015,"373",5,5
"110001","Alta Floresta D'Oeste","RO","Norte",2016,"326",3,2
"110001","Alta Floresta D'Oeste","RO","Norte",2017,"354",3,2
"110001","Alta Floresta D'Oeste","RO","Norte",2018,"408",4,3
"110001","Alta Floresta D'Oeste","RO","Norte",2019,"367",4,2
"110001","Alta Floresta D'Oeste","RO","Norte",2020,"333",2,2
"110002","Ariquemes","RO","Norte",2012,"1339",11,7
"110002","Ariquemes","RO","Norte",2013,"1654",23,20
"110002","Ariquemes","RO","Norte",2014,"1647",18,16
"110002","Ariquemes","RO","Norte",2015,"1783",14,9
"110002","Ariquemes","RO","Norte",2016,"1662",17,15
"110002","Ariquemes","RO","Norte",2017,"1724",16,15
"110002","Ariquemes","RO","Norte",2018,"1682",9,9
"110002","Ariquemes","RO","Norte",2019,"1729",16,16
"110002","Ariquemes","RO","Norte",2020,"1507",18,17
"110003","Cabixi","RO","Norte",2012,"64",0,0
"110003","Cabixi","RO","Norte",2013,"74",0,0
"110003","Cabixi","RO","Norte",2014,"75",1,1
"110003","Cabixi","RO","Norte",2015,"86",0,0
"110003","Cabixi","RO","Norte",2016,"73",0,0
"110003","Cabixi","RO","Norte",2017,"67",1,1
"110003","Cabixi","RO","Norte",2018,"82",3,3
"110003","Cabixi","RO","Norte",2019,"80",1,1
"110003","Cabixi","RO","Norte",2020,"69",1,1
"110004","Cacoal","RO","Norte",2012,"1201",11,9
"110004","Cacoal","RO","Norte",2013,"1185",12,10
"110004","Cacoal","RO","Norte",2014,"1307",17,14
"110004","Cacoal","RO","Norte",2015,"1360",12,12
"110004","Cacoal","RO","Norte",2016,"1338",8,8
"110004","Cacoal","RO","Norte",2017,"1452",10,10
"110004","Cacoal","RO","Norte",2018,"1446",11,10
"110004","Cacoal","RO","Norte",2019,"1374",5,5
"110004","Cacoal","RO","Norte",2020,"1325",9,7
"110005","Cerejeiras","RO","Norte",2012,"245",0,0
"110005","Cerejeiras","RO","Norte",2013,"271",6,4
"110005","Cerejeiras","RO","Norte",2014,"250",5,5
"110005","Cerejeiras","RO","Norte",2015,"277",2,2
"110005","Cerejeiras","RO","Norte",2016,"263",3,2
"110005","Cerejeiras","RO","Norte",2017,"277",2,2
"110005","Cerejeiras","RO","Norte",2018,"264",5,4
"110005","Cerejeiras","RO","Norte",2019,"237",4,4
"110005","Cerejeiras","RO","Norte",2020,"269",1,1
"110006","Colorado do Oeste","RO","Norte",2012,"214",1,1
"110006","Colorado do Oeste","RO","Norte",2013,"256",3,3
"110006","Colorado do Oeste","RO","Norte",2014,"273",1,1
"110006","Colorado do Oeste","RO","Norte",2015,"251",2,2
"110006","Colorado do Oeste","RO","Norte",2016,"223",4,4
"110006","Colorado do Oeste","RO","Norte",2017,"243",2,1
"110006","Colorado do Oeste","RO","Norte",2018,"235",4,4
"110006","Colorado do Oeste","RO","Norte",2019,"214",0,0
"110006","Colorado do Oeste","RO","Norte",2020,"203",2,2
"110007","Corumbiara","RO","Norte",2012,"116",0,0
"110007","Corumbiara","RO","Norte",2013,"116",0,0
"110007","Corumbiara","RO","Norte",2014,"125",1,1
"110007","Corumbiara","RO","Norte",2015,"111",1,1
"110007","Corumbiara","RO","Norte",2016,"139",0,0
"110007","Corumbiara","RO","Norte",2017,"87",1,1
"110007","Corumbiara","RO","Norte",2018,"129",1,1
"110007","Corumbiara","RO","Norte",2019,"127",0,0
"110007","Corumbiara","RO","Norte",2020,"107",2,2
"110008","Costa Marques","RO","Norte",2012,"234",3,3
"110008","Costa Marques","RO","Norte",2013,"234",0,0
"110008","Costa Marques","RO","Norte",2014,"267",0,0
"110008","Costa Marques","RO","Norte",2015,"245",2,2
