"","codmunres","ano","obitos_fetais_mais_22sem","fetal_peso_menos_1500","fetal_peso_1500_1999","fetal_peso_2000_2499","fetal_peso_mais_2500","fetal_antes","fetal_durante","fetal_depois","fetal_antes_peso_menos_1500","fetal_antes_peso_1500_1999","fetal_antes_peso_2000_2499","fetal_antes_peso_mais_2500","fetal_durante_peso_menos_1500","fetal_durante_peso_1500_1999","fetal_durante_peso_2000_2499","fetal_durante_peso_mais_2500","fetal_depois_peso_menos_1500","fetal_depois_peso_1500_1999","fetal_depois_peso_2000_2499","fetal_depois_peso_mais_2500"
"1",110001,2012,3,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2",110001,2013,3,2,0,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0
"3",110001,2014,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"4",110001,2015,5,2,2,0,1,5,0,0,2,2,0,1,0,0,0,0,0,0,0,0
"5",110001,2016,3,1,0,0,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"6",110001,2017,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"7",110001,2018,3,2,0,1,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0
"8",110001,2019,4,1,1,1,1,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"9",110001,2020,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"10",110002,2012,8,3,2,1,2,8,0,0,3,2,1,2,0,0,0,0,0,0,0,0
"11",110002,2013,23,12,3,2,5,22,1,0,11,3,2,5,1,0,0,0,0,0,0,0
"12",110002,2014,17,7,4,3,2,16,1,0,6,4,3,2,1,0,0,0,0,0,0,0
"13",110002,2015,12,4,2,1,1,12,0,0,4,2,1,1,0,0,0,0,0,0,0,0
"14",110002,2016,16,11,1,1,2,15,1,0,10,1,1,2,1,0,0,0,0,0,0,0
"15",110002,2017,16,6,0,3,6,16,0,0,6,0,3,6,0,0,0,0,0,0,0,0
"16",110002,2018,9,8,0,1,0,9,0,0,8,0,1,0,0,0,0,0,0,0,0,0
"17",110002,2019,16,6,5,3,2,16,0,0,6,5,3,2,0,0,0,0,0,0,0,0
"18",110002,2020,17,5,5,1,5,17,0,0,5,5,1,5,0,0,0,0,0,0,0,0
"19",110003,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",110003,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",110003,2014,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"22",110003,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",110003,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",110003,2017,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"25",110003,2018,3,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"26",110003,2019,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"27",110003,2020,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"28",110004,2012,11,6,2,0,3,10,1,0,6,2,0,2,0,0,0,1,0,0,0,0
"29",110004,2013,12,4,2,1,5,11,1,0,3,2,1,5,1,0,0,0,0,0,0,0
"30",110004,2014,16,6,1,2,7,15,0,0,6,1,2,6,0,0,0,0,0,0,0,0
"31",110004,2015,12,7,3,2,0,11,1,0,6,3,2,0,1,0,0,0,0,0,0,0
"32",110004,2016,8,4,2,2,0,8,0,0,4,2,2,0,0,0,0,0,0,0,0,0
"33",110004,2017,10,7,1,1,1,9,1,0,6,1,1,1,1,0,0,0,0,0,0,0
"34",110004,2018,11,7,0,0,4,11,0,0,7,0,0,4,0,0,0,0,0,0,0,0
"35",110004,2019,5,1,2,0,2,4,1,0,1,1,0,2,0,1,0,0,0,0,0,0
"36",110004,2020,9,3,2,1,3,8,1,0,2,2,1,3,1,0,0,0,0,0,0,0
"37",110005,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",110005,2013,6,5,0,0,1,5,1,0,4,0,0,1,1,0,0,0,0,0,0,0
"39",110005,2014,5,0,1,1,3,5,0,0,0,1,1,3,0,0,0,0,0,0,0,0
"40",110005,2015,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"41",110005,2016,3,1,1,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"42",110005,2017,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"43",110005,2018,5,1,1,2,1,5,0,0,1,1,2,1,0,0,0,0,0,0,0,0
"44",110005,2019,4,1,0,1,2,4,0,0,1,0,1,2,0,0,0,0,0,0,0,0
"45",110005,2020,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"46",110006,2012,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"47",110006,2013,3,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"48",110006,2014,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"49",110006,2015,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"50",110006,2016,4,2,1,0,1,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"51",110006,2017,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"52",110006,2018,4,2,1,0,1,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"53",110006,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",110006,2020,2,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"55",110007,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",110007,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",110007,2014,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"58",110007,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"59",110007,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",110007,2017,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"61",110007,2018,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"62",110007,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",110007,2020,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"64",110008,2012,3,0,0,2,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"65",110008,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",110008,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",110008,2015,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"68",110008,2016,4,1,0,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"69",110008,2017,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"70",110008,2018,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"71",110008,2019,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"72",110008,2020,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
