"codmunres","ano","obitos_fetais_mais_22sem","fetal_peso_menos_1000","fetal_peso_1000_1499","fetal_peso_1500_2499","fetal_peso_mais_2500","fetal_antes","fetal_durante","fetal_depois","fetal_antes_peso_menos_1000","fetal_antes_peso_1000_1499","fetal_antes_peso_1500_2499","fetal_antes_peso_mais_2500","fetal_durante_peso_menos_1000","fetal_durante_peso_1000_1499","fetal_durante_peso_1500_2499","fetal_durante_peso_mais_2500","fetal_depois_peso_menos_1000","fetal_depois_peso_1000_1499","fetal_depois_peso_1500_2499","fetal_depois_peso_mais_2500"
"110001",2012,3,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"110001",2013,3,1,1,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"110001",2014,2,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"110001",2015,5,2,0,2,1,5,0,0,2,0,2,1,0,0,0,0,0,0,0,0
"110001",2016,3,0,1,0,2,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"110001",2017,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"110001",2018,3,1,1,1,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"110001",2019,4,1,0,2,1,3,1,0,0,0,2,1,1,0,0,0,0,0,0,0
"110002",2012,8,2,1,3,2,8,0,0,2,1,3,2,0,0,0,0,0,0,0,0
"110002",2013,23,5,7,5,5,22,1,0,4,7,5,5,1,0,0,0,0,0,0,0
"110002",2014,17,6,1,7,2,16,1,0,5,1,7,2,1,0,0,0,0,0,0,0
"110002",2015,12,1,3,3,1,12,0,0,1,3,3,1,0,0,0,0,0,0,0,0
"110002",2016,16,7,4,2,2,15,1,0,6,4,2,2,1,0,0,0,0,0,0,0
"110002",2017,16,4,2,3,6,16,0,0,4,2,3,6,0,0,0,0,0,0,0,0
"110002",2018,9,2,6,1,0,9,0,0,2,6,1,0,0,0,0,0,0,0,0,0
"110002",2019,16,4,2,8,2,16,0,0,4,2,8,2,0,0,0,0,0,0,0,0
"110003",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2014,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110003",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2017,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110003",2018,3,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"110003",2019,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"110004",2012,11,4,2,2,3,10,1,0,4,2,2,2,0,0,0,1,0,0,0,0
"110004",2013,12,4,0,3,5,11,1,0,3,0,3,5,1,0,0,0,0,0,0,0
"110004",2014,16,3,3,3,7,15,0,0,3,3,3,6,0,0,0,0,0,0,0,0
"110004",2015,12,6,1,5,0,11,1,0,5,1,5,0,1,0,0,0,0,0,0,0
"110004",2016,8,2,2,4,0,8,0,0,2,2,4,0,0,0,0,0,0,0,0,0
"110004",2017,10,2,5,2,1,9,1,0,2,4,2,1,0,1,0,0,0,0,0,0
"110004",2018,11,5,2,0,4,11,0,0,5,2,0,4,0,0,0,0,0,0,0,0
"110004",2019,5,1,0,2,2,4,1,0,1,0,1,2,0,0,1,0,0,0,0,0
"110005",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110005",2013,6,5,0,0,1,5,1,0,4,0,0,1,1,0,0,0,0,0,0,0
"110005",2014,5,0,0,2,3,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0
"110005",2015,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"110005",2016,3,1,0,2,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"110005",2017,2,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"110005",2018,5,1,0,3,1,5,0,0,1,0,3,1,0,0,0,0,0,0,0,0
"110005",2019,4,0,1,1,2,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0
"110006",2012,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110006",2013,3,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"110006",2014,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110006",2015,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110006",2016,4,1,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"110006",2017,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"110006",2018,4,0,2,1,1,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0
"110006",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110007",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110007",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110007",2014,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"110007",2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110007",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110007",2017,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
