"codmunres","municipio","uf","regiao","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
"110001","Alta Floresta D'Oeste","RO","Norte","2012",3,0,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte","2013",4,1,0,0,3
"110001","Alta Floresta D'Oeste","RO","Norte","2014",2,1,1,0,0
"110001","Alta Floresta D'Oeste","RO","Norte","2015",5,0,2,0,3
"110001","Alta Floresta D'Oeste","RO","Norte","2016",3,1,0,0,2
"110001","Alta Floresta D'Oeste","RO","Norte","2017",2,2,0,0,0
"110001","Alta Floresta D'Oeste","RO","Norte","2018",3,1,0,1,1
"110001","Alta Floresta D'Oeste","RO","Norte","2019",4,0,1,1,2
"110001","Alta Floresta D'Oeste","RO","Norte","2020",2,1,0,0,1
"110001","Alta Floresta D'Oeste","RO","Norte","2021",3,1,0,1,1
"110002","Ariquemes","RO","Norte","2012",8,1,2,1,4
"110002","Ariquemes","RO","Norte","2013",23,0,0,0,0
"110002","Ariquemes","RO","Norte","2014",17,0,0,0,0
"110002","Ariquemes","RO","Norte","2015",12,0,0,0,0
"110002","Ariquemes","RO","Norte","2016",16,0,0,0,0
"110002","Ariquemes","RO","Norte","2017",16,0,0,0,0
"110002","Ariquemes","RO","Norte","2018",9,6,0,1,2
"110002","Ariquemes","RO","Norte","2019",16,2,5,3,6
"110002","Ariquemes","RO","Norte","2020",18,0,0,0,0
"110002","Ariquemes","RO","Norte","2021",12,1,1,0,10
"110003","Cabixi","RO","Norte","2014",1,0,1,0,0
"110003","Cabixi","RO","Norte","2017",1,0,0,0,1
"110003","Cabixi","RO","Norte","2018",3,0,0,0,0
"110003","Cabixi","RO","Norte","2019",1,0,0,0,1
"110003","Cabixi","RO","Norte","2020",1,0,0,0,1
"110003","Cabixi","RO","Norte","2021",1,0,0,0,1
"110004","Cacoal","RO","Norte","2012",11,2,2,0,7
"110004","Cacoal","RO","Norte","2013",12,0,2,1,9
"110004","Cacoal","RO","Norte","2014",17,3,1,2,11
"110004","Cacoal","RO","Norte","2015",12,1,3,2,6
"110004","Cacoal","RO","Norte","2016",8,2,2,2,2
"110004","Cacoal","RO","Norte","2017",10,5,1,1,3
"110004","Cacoal","RO","Norte","2018",11,2,0,0,9
"110004","Cacoal","RO","Norte","2019",5,0,2,0,3
"110004","Cacoal","RO","Norte","2020",9,0,2,1,6
"110004","Cacoal","RO","Norte","2021",7,2,0,3,2
"110005","Cerejeiras","RO","Norte","2013",6,0,0,0,6
"110005","Cerejeiras","RO","Norte","2014",5,0,1,1,3
"110005","Cerejeiras","RO","Norte","2015",2,0,2,0,0
"110005","Cerejeiras","RO","Norte","2016",3,0,1,1,1
"110005","Cerejeiras","RO","Norte","2017",2,1,0,0,1
"110005","Cerejeiras","RO","Norte","2018",5,0,1,2,2
"110005","Cerejeiras","RO","Norte","2019",4,1,0,1,2
"110005","Cerejeiras","RO","Norte","2020",1,0,0,0,1
"110005","Cerejeiras","RO","Norte","2021",2,0,0,0,2
"110006","Colorado do Oeste","RO","Norte","2012",1,0,1,0,0
"110006","Colorado do Oeste","RO","Norte","2013",3,0,0,0,3
"110006","Colorado do Oeste","RO","Norte","2014",1,0,1,0,0
"110006","Colorado do Oeste","RO","Norte","2015",2,1,0,1,0
"110006","Colorado do Oeste","RO","Norte","2016",4,1,1,0,2
"110006","Colorado do Oeste","RO","Norte","2017",2,0,0,0,2
"110006","Colorado do Oeste","RO","Norte","2018",4,2,1,0,1
"110006","Colorado do Oeste","RO","Norte","2020",2,0,0,1,1
"110006","Colorado do Oeste","RO","Norte","2021",1,0,0,0,1
"110007","Corumbiara","RO","Norte","2014",1,0,0,0,1
"110007","Corumbiara","RO","Norte","2015",1,0,0,0,1
"110007","Corumbiara","RO","Norte","2017",1,0,0,0,1
"110007","Corumbiara","RO","Norte","2018",1,1,0,0,0
"110007","Corumbiara","RO","Norte","2020",2,0,0,2,0
"110007","Corumbiara","RO","Norte","2021",1,0,0,0,1
"110008","Costa Marques","RO","Norte","2012",3,0,0,2,1
"110008","Costa Marques","RO","Norte","2015",2,0,0,0,2
"110008","Costa Marques","RO","Norte","2016",4,0,0,0,0
"110008","Costa Marques","RO","Norte","2017",1,0,0,1,0
"110008","Costa Marques","RO","Norte","2018",2,0,0,0,2
"110008","Costa Marques","RO","Norte","2019",2,0,1,0,1
"110008","Costa Marques","RO","Norte","2020",2,0,1,0,1
"110008","Costa Marques","RO","Norte","2021",1,0,0,1,0
"110009","Espigão D'Oeste","RO","Norte","2012",6,0,0,0,6
"110009","Espigão D'Oeste","RO","Norte","2013",2,0,0,0,2
"110009","Espigão D'Oeste","RO","Norte","2014",2,0,0,0,2
"110009","Espigão D'Oeste","RO","Norte","2015",4,0,0,0,0
"110009","Espigão D'Oeste","RO","Norte","2016",4,1,2,0,1
"110009","Espigão D'Oeste","RO","Norte","2017",5,2,0,1,2
"110009","Espigão D'Oeste","RO","Norte","2018",6,0,1,1,4
"110009","Espigão D'Oeste","RO","Norte","2020",4,1,1,0,2
"110009","Espigão D'Oeste","RO","Norte","2021",5,1,0,1,3
"110010","Guajará-Mirim","RO","Norte","2012",12,1,3,2,6
"110010","Guajará-Mirim","RO","Norte","2013",12,0,2,2,8
"110010","Guajará-Mirim","RO","Norte","2014",10,0,0,0,0
"110010","Guajará-Mirim","RO","Norte","2015",4,0,1,0,3
