"codmunres","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
110001,2012,3,2,0,0,0
110001,2013,2,1,0,0,1
110001,2014,2,1,1,0,0
110001,2015,3,0,2,0,1
110001,2016,3,1,0,0,2
110001,2017,2,2,0,0,0
110001,2018,2,1,0,1,0
110001,2019,3,0,1,1,1
110001,2020,1,1,0,0,0
110002,2012,6,1,2,1,2
110002,2013,19,8,3,2,5
110002,2014,12,2,4,3,2
110002,2015,11,3,2,1,1
110002,2016,9,4,1,1,2
110002,2017,12,2,0,3,6
110002,2018,9,8,0,1,0
110002,2019,13,3,5,3,2
110002,2020,15,3,5,1,5
110003,2014,1,0,1,0,0
110003,2018,3,2,0,0,0
110003,2019,1,0,0,0,1
110003,2020,1,0,0,0,1
110004,2012,7,2,2,0,3
110004,2013,8,0,2,1,5
110004,2014,14,4,1,2,7
110004,2015,6,1,3,2,0
110004,2016,6,2,2,2,0
110004,2017,10,7,1,1,1
110004,2018,8,4,0,0,4
110004,2019,4,0,2,0,2
110004,2020,6,0,2,1,3
110005,2013,2,1,0,0,1
110005,2014,5,0,1,1,3
110005,2015,2,0,2,0,0
110005,2016,2,0,1,1,0
110005,2017,2,1,0,0,1
110005,2018,4,0,1,2,1
110005,2019,4,1,0,1,2
110005,2020,1,0,0,0,1
110006,2012,1,0,1,0,0
110006,2013,3,0,0,0,3
110006,2014,1,0,1,0,0
110006,2015,2,1,0,1,0
110006,2016,3,1,1,0,1
110006,2017,1,0,0,0,1
110006,2018,4,2,1,0,1
110006,2020,1,0,0,1,0
110007,2014,1,0,0,0,1
110007,2015,1,1,0,0,0
110007,2018,1,1,0,0,0
110007,2020,2,0,0,2,0
110008,2012,3,0,0,2,1
110008,2015,1,0,0,0,1
110008,2016,3,0,0,1,1
110008,2017,1,0,0,1,0
110008,2018,2,1,0,0,1
110008,2019,1,0,1,0,0
110008,2020,1,0,1,0,0
110009,2012,2,0,0,0,2
110009,2014,1,0,0,0,1
110009,2015,2,0,1,0,0
110009,2016,3,1,2,0,0
110009,2017,4,2,0,1,1
110009,2018,3,1,1,1,0
110009,2020,4,1,1,0,2
110010,2012,9,2,3,2,2
110010,2013,11,1,2,2,6
