"","codmunres","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
"1",110001,2012,3,2,0,0,0
"2",110001,2013,2,1,0,0,1
"3",110001,2014,2,1,1,0,0
"4",110001,2015,3,0,2,0,1
"5",110001,2016,3,1,0,0,2
"6",110001,2017,2,2,0,0,0
"7",110001,2018,2,1,0,1,0
"8",110001,2019,3,0,1,1,1
"9",110001,2020,1,1,0,0,0
"10",110002,2012,6,1,2,1,2
"11",110002,2013,19,8,3,2,5
"12",110002,2014,12,2,4,3,2
"13",110002,2015,11,3,2,1,1
"14",110002,2016,9,4,1,1,2
"15",110002,2017,12,2,0,3,6
"16",110002,2018,9,8,0,1,0
"17",110002,2019,13,3,5,3,2
"18",110002,2020,15,3,5,1,5
"19",110003,2014,1,0,1,0,0
"20",110003,2018,3,2,0,0,0
"21",110003,2019,1,0,0,0,1
"22",110003,2020,1,0,0,0,1
"23",110004,2012,7,2,2,0,3
"24",110004,2013,8,0,2,1,5
"25",110004,2014,14,4,1,2,7
"26",110004,2015,6,1,3,2,0
"27",110004,2016,6,2,2,2,0
"28",110004,2017,10,7,1,1,1
"29",110004,2018,8,4,0,0,4
"30",110004,2019,4,0,2,0,2
"31",110004,2020,6,0,2,1,3
"32",110005,2013,2,1,0,0,1
"33",110005,2014,5,0,1,1,3
"34",110005,2015,2,0,2,0,0
"35",110005,2016,2,0,1,1,0
"36",110005,2017,2,1,0,0,1
"37",110005,2018,4,0,1,2,1
"38",110005,2019,4,1,0,1,2
"39",110005,2020,1,0,0,0,1
"40",110006,2012,1,0,1,0,0
"41",110006,2013,3,0,0,0,3
"42",110006,2014,1,0,1,0,0
"43",110006,2015,2,1,0,1,0
"44",110006,2016,3,1,1,0,1
"45",110006,2017,1,0,0,0,1
"46",110006,2018,4,2,1,0,1
"47",110006,2020,1,0,0,1,0
"48",110007,2014,1,0,0,0,1
"49",110007,2015,1,1,0,0,0
"50",110007,2018,1,1,0,0,0
"51",110007,2020,2,0,0,2,0
"52",110008,2012,3,0,0,2,1
"53",110008,2015,1,0,0,0,1
"54",110008,2016,3,0,0,1,1
"55",110008,2017,1,0,0,1,0
"56",110008,2018,2,1,0,0,1
"57",110008,2019,1,0,1,0,0
"58",110008,2020,1,0,1,0,0
"59",110009,2012,2,0,0,0,2
"60",110009,2014,1,0,0,0,1
"61",110009,2015,2,0,1,0,0
"62",110009,2016,3,1,2,0,0
"63",110009,2017,4,2,0,1,1
"64",110009,2018,3,1,1,1,0
"65",110009,2020,4,1,1,0,2
"66",110010,2012,9,2,3,2,2
"67",110010,2013,11,1,2,2,6
"68",110010,2014,8,1,1,0,4
"69",110010,2015,2,0,1,0,1
"70",110010,2016,3,1,0,0,2
"71",110010,2017,6,0,0,2,4
"72",110010,2018,8,3,1,2,2
"73",110010,2019,5,1,2,1,1
"74",110010,2020,8,0,1,1,6
"75",110011,2012,3,1,1,0,1
"76",110011,2013,7,3,1,1,1
"77",110011,2014,9,3,1,2,2
"78",110011,2015,8,0,1,2,5
"79",110011,2016,7,1,1,2,3
"80",110011,2017,4,1,1,2,0
"81",110011,2018,8,1,2,2,3
"82",110011,2019,4,1,0,0,2
"83",110011,2020,11,5,0,2,4
"84",110012,2012,10,4,0,3,3
"85",110012,2013,7,5,1,0,1
"86",110012,2014,12,2,1,4,3
"87",110012,2015,13,3,2,2,5
"88",110012,2016,11,1,2,0,6
"89",110012,2017,13,2,2,4,4
"90",110012,2018,11,5,1,2,2
"91",110012,2019,14,3,3,2,4
"92",110012,2020,12,1,6,1,3
"93",110013,2012,4,0,1,0,2
"94",110013,2013,5,0,0,0,3
"95",110013,2014,3,0,1,2,0
"96",110013,2015,5,1,1,0,2
"97",110013,2016,5,2,0,1,1
"98",110013,2017,3,0,2,1,0
"99",110013,2018,3,1,0,2,0
"100",110013,2019,2,0,1,0,1
"101",110013,2020,6,0,2,0,3
"102",110014,2012,7,1,1,1,2
"103",110014,2014,2,0,0,1,1
"104",110014,2015,1,0,1,0,0
"105",110014,2016,3,2,0,0,1
"106",110014,2017,2,0,0,0,2
"107",110014,2018,3,1,0,0,2
"108",110014,2019,2,1,0,0,1
"109",110014,2020,2,0,0,0,1
"110",110015,2012,3,1,2,0,0
"111",110015,2013,4,2,1,0,1
"112",110015,2014,5,1,2,1,1
"113",110015,2015,4,1,1,0,1
"114",110015,2016,5,2,1,2,0
"115",110015,2017,4,0,1,0,3
"116",110015,2018,6,1,0,3,2
"117",110015,2019,5,2,1,0,2
"118",110015,2020,7,0,2,2,1
"119",110018,2012,3,0,1,0,2
"120",110018,2013,1,1,0,0,0
"121",110018,2014,3,1,0,1,1
"122",110018,2015,2,0,0,0,2
"123",110018,2016,6,2,2,0,1
"124",110018,2017,1,0,1,0,0
"125",110018,2018,3,0,1,2,0
"126",110018,2020,2,2,0,0,0
"127",110020,2012,69,18,12,6,29
"128",110020,2013,45,12,9,7,15
"129",110020,2014,67,20,9,13,18
"130",110020,2015,68,22,10,10,22
"131",110020,2016,56,27,8,3,18
"132",110020,2017,60,20,12,8,18
"133",110020,2018,63,20,11,12,20
"134",110020,2019,69,23,14,11,21
"135",110020,2020,56,22,11,12,11
"136",110025,2012,1,0,0,0,1
"137",110025,2013,1,0,0,0,0
"138",110025,2014,3,0,0,0,2
"139",110025,2015,1,0,0,0,1
"140",110025,2017,3,0,0,3,0
"141",110025,2018,1,0,0,1,0
"142",110025,2020,1,0,0,0,1
"143",110026,2013,1,1,0,0,0
"144",110026,2020,1,0,0,0,1
"145",110028,2012,7,1,3,1,2
"146",110028,2013,12,4,3,2,3
"147",110028,2014,5,2,0,1,2
"148",110028,2015,6,2,2,0,2
"149",110028,2016,10,2,2,2,3
"150",110028,2017,9,2,1,2,4
"151",110028,2018,6,1,1,1,3
"152",110028,2019,7,1,4,0,2
"153",110028,2020,4,0,1,1,2
"154",110029,2015,2,0,0,2,0
"155",110030,2012,4,1,2,0,1
"156",110030,2013,7,2,1,3,1
"157",110030,2014,12,6,2,1,3
"158",110030,2015,20,5,4,2,8
"159",110030,2016,5,2,1,0,2
"160",110030,2017,12,5,0,3,4
"161",110030,2018,9,2,1,1,5
"162",110030,2019,7,2,2,2,1
"163",110030,2020,11,2,3,1,4
"164",110032,2012,1,0,0,0,1
"165",110032,2013,1,0,0,0,0
"166",110032,2014,2,0,0,0,1
"167",110032,2015,3,1,0,1,1
"168",110032,2016,3,2,1,0,0
"169",110032,2017,3,0,3,0,0
"170",110032,2018,2,0,0,0,2
"171",110032,2019,1,1,0,0,0
"172",110033,2012,1,1,0,0,0
"173",110033,2013,2,1,0,0,0
"174",110033,2014,2,0,0,1,0
"175",110033,2015,3,2,1,0,0
"176",110033,2016,3,0,2,0,1
"177",110033,2017,4,2,1,1,0
"178",110033,2018,4,1,0,0,2
"179",110033,2019,4,0,0,1,3
"180",110033,2020,3,1,0,0,1
"181",110034,2016,4,1,1,0,1
"182",110034,2017,1,0,1,0,0
"183",110034,2018,2,1,0,0,1
"184",110034,2019,3,1,0,0,1
"185",110034,2020,3,1,1,0,1
"186",110037,2015,1,1,0,0,0
"187",110037,2016,2,0,1,0,1
"188",110037,2019,2,0,0,0,2
"189",110040,2012,1,0,1,0,0
"190",110040,2013,2,0,1,1,0
"191",110040,2014,8,4,0,3,1
"192",110040,2015,1,0,0,0,1
"193",110040,2016,1,0,0,1,0
"194",110040,2017,3,2,0,0,1
"195",110040,2019,2,1,0,0,1
"196",110040,2020,1,0,0,0,1
"197",110045,2012,5,0,0,1,4
"198",110045,2013,9,6,0,0,2
"199",110045,2014,5,1,3,0,0
"200",110045,2015,4,0,1,1,1
"201",110045,2016,5,1,0,0,4
"202",110045,2017,2,0,1,0,1
"203",110045,2018,2,2,0,0,0
"204",110045,2019,3,1,1,1,0
"205",110050,2013,1,0,0,0,1
"206",110050,2015,1,0,1,0,0
"207",110050,2016,1,0,0,0,1
"208",110050,2020,1,0,0,0,0
"209",110060,2014,1,1,0,0,0
"210",110060,2018,1,0,0,0,1
"211",110070,2013,5,1,1,1,2
"212",110070,2015,1,0,0,0,0
"213",110070,2016,1,1,0,0,0
"214",110070,2017,1,0,1,0,0
"215",110070,2018,1,0,1,0,0
"216",110070,2019,2,0,1,1,0
"217",110070,2020,1,1,0,0,0
"218",110080,2012,2,2,0,0,0
"219",110080,2013,3,2,0,0,1
"220",110080,2014,5,2,1,1,1
"221",110080,2015,7,0,1,1,5
"222",110080,2017,5,0,1,1,3
"223",110080,2019,3,2,0,0,1
"224",110080,2020,5,2,0,1,2
"225",110090,2012,1,0,0,0,1
"226",110090,2014,1,0,0,0,1
"227",110090,2016,1,0,0,0,1
"228",110092,2014,1,0,0,0,0
"229",110092,2015,1,1,0,0,0
"230",110092,2016,3,1,0,1,1
"231",110092,2017,1,0,0,1,0
"232",110092,2018,3,1,1,0,1
"233",110092,2019,2,0,2,0,0
"234",110092,2020,3,0,0,1,2
"235",110094,2013,4,0,2,0,1
"236",110094,2014,2,2,0,0,0
"237",110094,2015,4,0,2,0,1
"238",110094,2016,3,0,0,1,2
"239",110094,2017,6,3,0,2,1
"240",110094,2020,1,0,0,0,1
"241",110100,2014,1,0,1,0,0
"242",110100,2015,1,0,0,0,1
"243",110100,2016,2,0,0,0,2
"244",110110,2013,4,3,0,0,1
"245",110110,2014,2,1,0,0,1
"246",110110,2017,2,1,0,0,1
"247",110110,2019,1,0,0,0,1
"248",110120,2012,1,0,1,0,0
"249",110120,2014,1,0,0,0,1
"250",110120,2015,1,0,0,0,1
"251",110120,2016,1,0,0,0,1
"252",110120,2018,2,0,1,0,1
"253",110120,2019,2,0,0,0,1
"254",110120,2020,2,0,1,1,0
"255",110130,2012,5,2,1,1,1
"256",110130,2013,3,2,0,1,0
"257",110130,2014,2,0,1,0,1
"258",110130,2017,3,0,0,2,1
"259",110130,2019,1,0,1,0,0
"260",110140,2012,3,2,0,0,1
"261",110140,2013,2,0,0,0,2
"262",110140,2017,2,0,1,0,1
"263",110140,2018,2,0,1,0,1
"264",110140,2019,2,1,0,0,1
"265",110140,2020,1,1,0,0,0
"266",110143,2013,1,1,0,0,0
"267",110143,2016,1,1,0,0,0
"268",110143,2020,1,1,0,0,0
"269",110145,2014,1,0,0,0,1
"270",110145,2016,1,0,0,0,1
"271",110145,2019,1,0,0,0,0
"272",110146,2013,2,2,0,0,0
"273",110146,2015,1,0,0,0,1
"274",110146,2017,1,0,0,0,1
"275",110147,2020,2,0,0,2,0
"276",110148,2018,1,0,0,1,0
"277",110148,2019,2,1,1,0,0
"278",110149,2012,4,0,1,1,2
"279",110149,2013,4,0,1,1,2
"280",110149,2014,2,1,0,0,0
"281",110149,2016,1,0,1,0,0
"282",110149,2017,2,0,1,0,1
"283",110149,2018,3,2,0,0,0
"284",110149,2019,3,3,0,0,0
"285",110149,2020,2,0,1,0,1
"286",110150,2012,1,0,0,1,0
"287",110150,2013,1,1,0,0,0
"288",110150,2014,1,0,0,0,1
"289",110150,2015,1,0,0,1,0
"290",110150,2019,1,0,1,0,0
"291",110155,2012,1,0,0,0,1
"292",110160,2013,1,0,0,1,0
"293",110160,2014,2,0,1,0,0
"294",110160,2015,2,0,0,1,1
"295",110160,2016,2,1,1,0,0
"296",110160,2017,1,1,0,0,0
"297",110160,2018,2,0,0,0,2
"298",110160,2019,3,1,0,0,2
"299",110160,2020,3,0,2,1,0
"300",110170,2012,1,0,0,0,1
"301",110170,2015,3,0,2,0,1
"302",110170,2017,1,1,0,0,0
"303",110170,2019,3,0,0,2,1
"304",110175,2013,1,0,0,0,1
"305",110175,2014,1,0,1,0,0
"306",110175,2017,1,0,0,0,1
"307",110175,2018,1,0,0,1,0
"308",110175,2019,2,0,0,1,1
"309",110180,2012,1,0,1,0,0
"310",110180,2013,2,1,0,0,1
"311",110180,2016,1,0,0,0,1
"312",110180,2017,1,1,0,0,0
"313",110180,2019,1,0,0,0,1
"314",110180,2020,1,0,0,1,0
"315",120001,2012,5,0,0,2,1
"316",120001,2013,1,0,0,0,0
"317",120001,2014,4,0,1,0,3
"318",120001,2018,2,1,0,0,1
"319",120001,2019,3,0,0,1,2
"320",120005,2013,3,2,1,0,0
"321",120005,2014,2,1,0,1,0
"322",120005,2015,2,0,0,0,1
"323",120005,2016,4,1,1,0,2
"324",120005,2017,1,0,0,0,1
"325",120005,2018,3,0,0,0,3
"326",120005,2019,4,0,0,0,4
"327",120005,2020,3,0,0,1,2
"328",120010,2012,5,2,0,1,2
"329",120010,2013,6,2,1,0,3
"330",120010,2014,7,0,2,0,0
"331",120010,2015,6,1,0,1,3
"332",120010,2016,5,1,3,0,0
"333",120010,2017,3,1,0,1,1
"334",120010,2018,4,0,1,2,1
"335",120010,2019,7,0,1,4,2
"336",120010,2020,3,0,2,0,1
"337",120013,2014,3,1,1,0,1
"338",120013,2015,4,2,0,2,0
"339",120013,2016,3,0,1,0,2
"340",120013,2018,1,0,0,0,1
"341",120013,2019,2,1,0,0,1
"342",120013,2020,1,0,0,1,0
"343",120017,2013,3,1,1,0,1
"344",120017,2015,2,0,0,1,1
"345",120017,2016,4,1,2,0,1
"346",120017,2017,5,0,4,0,1
"347",120017,2018,4,1,1,0,1
"348",120017,2019,2,0,0,1,1
"349",120017,2020,2,0,0,0,2
"350",120020,2012,20,1,4,7,8
"351",120020,2013,17,4,2,2,7
"352",120020,2014,13,4,3,1,5
"353",120020,2015,11,3,1,2,5
"354",120020,2016,11,1,2,2,5
"355",120020,2017,11,3,4,1,2
"356",120020,2018,15,1,4,6,3
"357",120020,2019,9,4,0,4,1
"358",120020,2020,17,4,2,5,6
"359",120025,2014,2,1,0,0,1
"360",120025,2015,3,0,1,1,1
"361",120025,2016,2,0,0,1,0
"362",120025,2017,2,1,0,0,1
"363",120025,2018,4,0,1,1,2
"364",120025,2019,1,1,0,0,0
"365",120025,2020,7,3,0,1,3
"366",120030,2012,8,1,1,1,5
"367",120030,2013,5,1,1,1,1
"368",120030,2014,9,3,0,2,4
"369",120030,2015,14,3,1,4,5
"370",120030,2016,10,2,1,1,5
"371",120030,2017,10,2,3,1,4
"372",120030,2018,14,5,0,5,4
"373",120030,2019,11,4,1,1,5
"374",120030,2020,12,1,2,3,5
"375",120032,2012,1,0,0,0,1
"376",120032,2013,2,1,1,0,0
"377",120032,2014,6,0,1,2,3
"378",120032,2015,2,0,1,0,0
"379",120032,2016,2,0,0,0,2
"380",120032,2017,5,0,1,0,4
"381",120032,2018,6,0,1,1,3
"382",120032,2019,3,1,0,0,2
"383",120032,2020,1,0,0,0,1
"384",120033,2012,3,0,1,1,1
"385",120033,2013,1,0,0,1,0
"386",120033,2014,2,1,1,0,0
"387",120033,2015,6,0,3,1,2
"388",120033,2016,1,0,1,0,0
"389",120033,2017,4,0,0,1,3
"390",120033,2018,2,0,0,0,2
"391",120033,2019,6,1,2,1,2
"392",120033,2020,4,2,0,2,0
"393",120034,2013,3,0,0,0,3
"394",120034,2014,2,0,1,0,0
"395",120034,2015,1,0,0,1,0
"396",120034,2016,2,0,1,0,1
"397",120034,2017,6,1,0,1,4
"398",120034,2018,1,1,0,0,0
"399",120034,2019,2,0,1,0,1
"400",120034,2020,2,0,0,0,2
"401",120035,2012,4,2,2,0,0
"402",120035,2013,3,1,0,0,2
"403",120035,2014,7,1,1,2,3
"404",120035,2015,3,0,1,1,1
"405",120035,2016,2,0,0,1,1
"406",120035,2017,6,2,0,1,3
"407",120035,2018,4,0,1,1,2
"408",120035,2019,2,0,1,0,1
"409",120035,2020,3,0,0,0,3
"410",120038,2012,2,0,1,0,1
"411",120038,2013,5,0,1,1,3
"412",120038,2014,2,0,0,1,1
"413",120038,2015,4,1,1,0,1
"414",120038,2016,2,2,0,0,0
"415",120038,2017,1,0,0,0,1
"416",120038,2018,2,0,0,2,0
"417",120038,2019,1,0,0,0,1
"418",120038,2020,2,2,0,0,0
"419",120039,2012,5,0,0,0,5
"420",120039,2013,3,0,0,1,1
"421",120039,2014,3,0,0,0,3
"422",120039,2015,4,0,0,0,4
"423",120039,2016,2,2,0,0,0
"424",120039,2017,7,3,1,0,3
"425",120039,2018,2,1,0,0,1
"426",120039,2019,4,1,0,1,2
"427",120039,2020,5,0,0,1,4
"428",120040,2012,35,7,7,5,13
"429",120040,2013,59,13,8,20,15
"430",120040,2014,47,15,3,10,18
"431",120040,2015,48,11,7,6,22
"432",120040,2016,44,16,4,9,14
"433",120040,2017,37,9,7,5,16
"434",120040,2018,46,13,10,13,10
"435",120040,2019,51,11,10,8,20
"436",120040,2020,50,21,7,9,13
"437",120042,2012,2,0,0,0,2
"438",120042,2013,4,0,0,0,3
"439",120042,2014,4,2,1,0,1
"440",120042,2015,1,0,0,0,1
"441",120042,2016,1,0,0,0,1
"442",120042,2017,2,0,0,0,2
"443",120042,2018,4,2,0,1,1
"444",120042,2019,4,1,1,1,1
"445",120042,2020,4,1,2,0,1
"446",120043,2013,1,0,0,0,1
"447",120043,2014,1,0,0,0,1
"448",120043,2016,3,0,0,1,2
"449",120043,2017,1,0,0,0,1
"450",120043,2018,1,0,0,1,0
"451",120043,2020,5,0,1,0,4
"452",120045,2012,3,0,0,2,1
"453",120045,2014,4,0,2,0,1
"454",120045,2015,6,2,1,1,2
"455",120045,2016,8,1,1,0,6
"456",120045,2017,2,0,0,1,1
"457",120045,2018,7,1,1,2,3
"458",120045,2019,3,0,1,2,0
"459",120045,2020,5,4,1,0,0
"460",120050,2012,6,0,2,1,2
"461",120050,2013,13,3,1,1,8
"462",120050,2014,5,3,0,0,2
"463",120050,2015,8,1,0,0,7
"464",120050,2016,10,3,1,2,4
"465",120050,2017,8,3,1,0,4
"466",120050,2018,3,2,0,1,0
"467",120050,2019,5,2,1,0,2
"468",120050,2020,5,0,0,0,5
"469",120060,2012,8,1,2,3,2
"470",120060,2013,8,1,4,1,2
"471",120060,2014,15,3,4,2,5
"472",120060,2015,11,2,1,0,8
"473",120060,2016,18,7,5,1,5
"474",120060,2017,13,3,2,1,6
"475",120060,2018,14,3,2,2,6
"476",120060,2019,10,1,3,2,4
"477",120060,2020,13,2,3,2,5
"478",120070,2012,1,0,0,0,1
"479",120070,2013,4,1,2,1,0
"480",120070,2014,6,3,0,0,2
"481",120070,2015,3,1,0,0,2
"482",120070,2016,1,1,0,0,0
"483",120070,2017,2,0,0,1,1
"484",120070,2018,4,0,1,1,2
"485",120070,2019,2,0,1,1,0
"486",120070,2020,3,1,0,0,2
"487",120080,2012,2,0,0,1,1
"488",120080,2013,5,0,1,0,3
"489",120080,2014,1,0,0,0,1
"490",120080,2015,7,2,1,3,1
"491",120080,2016,3,1,1,0,1
"492",120080,2017,2,1,0,0,0
"493",120080,2018,2,0,1,0,1
"494",120080,2019,3,1,0,0,2
"495",120080,2020,2,0,0,1,1
"496",130002,2013,3,0,0,0,3
"497",130002,2015,4,0,1,0,3
"498",130002,2016,4,1,1,0,2
"499",130002,2017,3,1,1,0,1
"500",130002,2018,4,0,1,0,3
"501",130002,2019,2,0,0,1,1
"502",130002,2020,3,0,0,1,2
"503",130006,2012,4,0,1,1,2
"504",130006,2013,1,0,1,0,0
"505",130006,2014,2,0,1,1,0
"506",130006,2015,4,0,1,1,2
"507",130006,2017,5,1,1,2,1
"508",130006,2019,5,1,0,3,1
"509",130006,2020,5,0,1,1,3
"510",130008,2013,2,0,0,1,1
"511",130008,2014,1,0,0,0,1
"512",130008,2015,4,0,2,0,2
"513",130008,2016,2,1,0,0,1
"514",130008,2017,4,0,2,0,2
"515",130008,2018,2,1,1,0,0
