"codmunres","ano","faixa_de_peso","evitaveis_neonatal_outros","evitaveis_neonatal_recem_nascido","evitaveis_neonatal_mulher_gestacao","evitaveis_neonatal_parto","evitaveis_neonatal_mal_definidas","evitaveis_neonatal_saude","evitaveis_neonatal_tratamento","evitaveis_neonatal_imunoprevencao","obitos_neonatais_totais"
"110001",2012,"> 1500 g",1,2,0,0,0,0,0,0,3
"110001",2012,"outros",1,0,0,0,0,0,0,0,1
"110001",2013,"> 1500 g",0,0,3,0,0,0,0,0,3
"110001",2013,"outros",0,1,0,0,0,0,0,0,1
"110001",2014,"outros",0,0,1,0,0,0,0,0,1
"110001",2015,"outros",0,0,1,2,0,0,0,0,3
"110001",2015,"> 1000 g",0,1,0,0,0,0,0,0,1
"110001",2015,"> 1500 g",0,1,0,0,0,0,0,0,1
"110001",2016,"outros",0,0,1,0,0,0,0,0,1
"110001",2016,"> 1000 g",1,0,0,0,0,0,0,0,1
"110001",2016,"> 1500 g",0,2,0,0,0,0,0,0,2
"110001",2017,"> 1500 g",1,0,0,0,0,0,0,0,1
"110001",2018,"> 1500 g",1,0,0,0,0,0,0,0,1
"110001",2018,"> 1000 g",0,0,0,1,0,0,0,0,1
"110001",2019,"> 1500 g",0,0,1,0,0,0,0,0,1
"110001",2020,"> 1500 g",0,0,0,0,1,0,0,0,1
"110001",2020,"outros",0,0,1,0,0,0,0,0,1
"110001",2021,"> 1500 g",1,0,0,0,0,0,0,0,1
"110001",2021,"> 1000 g",0,1,0,0,0,0,0,0,1
"110001",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"110002",2012,"> 1000 g",0,1,1,0,0,0,0,0,2
"110002",2012,"> 1500 g",2,2,1,2,0,1,0,0,8
"110002",2012,"outros",0,0,2,1,0,0,0,0,3
"110002",2013,"> 1000 g",1,1,4,0,0,0,0,0,6
"110002",2013,"> 1500 g",1,1,1,1,0,0,0,0,4
"110002",2013,"outros",1,0,0,1,0,0,0,0,2
"110002",2014,"> 1500 g",1,4,1,1,0,0,0,0,7
"110002",2014,"outros",1,3,2,1,0,0,0,0,7
"110002",2015,"> 1000 g",1,0,1,0,0,0,0,0,2
