"codmunres","ano","faixa_de_peso","evitaveis_neonatal_outros","evitaveis_neonatal_recem_nascido","evitaveis_neonatal_mulher_gestacao","evitaveis_neonatal_parto","evitaveis_neonatal_tratamento","evitaveis_neonatal_saude","evitaveis_neonatal_mal_definidas","evitaveis_neonatal_imunoprevencao","obitos_neonatais_totais"
"110001",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"110001",2023,"> 1000 g",1,0,1,0,0,0,0,0,2
"110001",2023,"> 1500 g",1,1,0,0,0,0,0,0,2
"110002",2022,"> 1000 g",0,0,1,1,1,0,0,0,3
"110002",2022,"> 1500 g",4,2,1,1,0,0,0,0,8
"110002",2022,"outros",0,4,5,5,0,0,0,0,14
"110002",2023,"> 1000 g",0,0,2,0,0,0,0,0,2
"110002",2023,"> 1500 g",1,1,3,0,0,0,0,0,5
"110002",2023,"outros",1,0,3,0,0,0,0,0,4
"110003",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110003",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110004",2022,"outros",0,0,1,0,0,0,0,0,1
"110004",2022,"> 1500 g",3,2,0,1,0,0,0,0,6
"110004",2023,"outros",0,1,1,0,0,1,0,0,3
"110004",2023,"> 1500 g",2,2,0,0,0,0,0,0,4
"110004",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"110005",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"110005",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110006",2022,"outros",0,2,0,0,0,0,0,0,2
"110006",2023,"outros",0,1,0,0,0,0,0,0,1
"110007",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"110007",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"110008",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"110008",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"110008",2022,"outros",0,1,0,0,0,0,0,0,1
"110008",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"110008",2023,"outros",0,1,0,0,0,0,0,0,1
"110009",2022,"> 1500 g",1,0,1,0,0,0,1,0,3
"110009",2022,"outros",1,0,0,0,0,0,0,0,1
"110009",2023,"outros",0,1,0,1,0,0,0,0,2
"110009",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"110010",2022,"outros",1,1,1,0,0,0,0,0,3
"110010",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"110010",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"110010",2023,"> 1500 g",2,1,3,0,0,0,1,0,7
"110010",2023,"> 1000 g",0,1,1,0,0,0,0,0,2
"110010",2023,"outros",1,1,1,0,0,0,0,0,3
"110011",2022,"> 1000 g",1,1,1,0,0,0,0,0,3
"110011",2022,"> 1500 g",3,0,0,1,0,0,0,0,4
"110011",2022,"outros",0,1,0,0,0,0,0,0,1
"110011",2023,"> 1500 g",2,0,1,0,0,0,0,0,3
"110011",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"110011",2023,"outros",0,2,0,0,0,0,0,0,2
"110012",2022,"> 1500 g",1,1,1,1,0,1,0,0,5
"110012",2022,"outros",1,0,5,0,0,0,0,0,6
"110012",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"110012",2023,"> 1000 g",0,0,2,0,0,0,0,0,2
"110012",2023,"> 1500 g",1,1,5,1,0,0,0,0,8
"110012",2023,"outros",0,0,1,0,0,0,0,0,1
"110013",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"110013",2022,"> 1500 g",2,1,1,1,0,0,0,0,5
"110013",2022,"outros",0,2,2,0,0,0,0,0,4
"110013",2023,"> 1500 g",0,3,1,0,0,0,0,0,4
"110014",2022,"outros",0,1,1,0,0,0,0,0,2
"110014",2023,"outros",1,0,1,1,0,0,0,0,3
"110015",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"110015",2023,"> 1500 g",2,0,0,0,0,0,0,0,2
"110018",2022,"> 1500 g",1,1,1,0,0,0,1,0,4
"110018",2022,"outros",0,2,2,0,0,0,0,0,4
"110018",2023,"> 1500 g",2,1,0,0,0,0,0,0,3
"110018",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"110020",2022,"> 1000 g",1,1,7,1,0,0,0,0,10
"110020",2022,"> 1500 g",9,5,6,0,1,1,0,0,22
"110020",2022,"outros",1,4,23,3,0,0,0,0,31
"110020",2023,"> 1500 g",7,2,5,2,0,0,1,0,17
"110020",2023,"> 1000 g",2,1,2,0,0,0,0,0,5
"110020",2023,"outros",2,3,18,1,0,0,0,0,24
