"codmunres","ano","garbage_materno_o95","garbage_materno_o94","garbage_materno_f53","garbage_materno_d39","garbage_materno_o08","obitos_maternos_totais","garbage_fetal_p90_p96","garbage_fetal_q80_q89","garbage_fetal_q90_q99","garbage_fetal_q35_q37","garbage_fetal_q10_q18","obitos_fetais_totais"
"110001",2012,0,0,0,0,0,0,1,0,0,0,0,3
"110001",2013,0,0,0,0,0,0,2,0,0,0,0,3
"110001",2014,0,0,0,0,0,0,2,0,0,0,0,2
"110001",2015,0,0,0,0,0,1,3,0,0,0,0,5
"110001",2016,0,0,0,0,0,0,2,0,0,0,0,3
"110001",2017,0,0,0,0,0,0,2,0,0,0,0,2
"110001",2018,0,0,0,0,0,0,2,0,0,0,0,3
"110001",2019,0,0,0,0,0,0,2,0,0,0,0,4
"110001",2020,0,0,0,0,0,0,1,0,0,0,0,2
"110001",2021,0,0,0,0,0,1,0,0,0,0,0,3
"110001",2022,0,0,0,0,0,0,1,0,0,0,0,1
"110002",2012,0,0,0,0,0,1,1,0,0,0,0,8
"110002",2013,0,0,0,0,0,1,6,0,0,0,0,23
"110002",2014,0,0,0,0,0,2,1,0,0,0,0,17
"110002",2015,0,0,0,0,0,2,2,0,0,0,0,12
"110002",2016,0,0,0,0,0,2,3,0,0,0,0,16
"110002",2017,0,0,0,0,0,1,5,0,0,0,0,16
"110002",2018,0,0,0,0,0,0,1,0,0,0,0,9
"110002",2019,0,0,0,0,0,1,1,0,0,0,0,16
"110002",2020,1,0,0,0,0,2,2,2,0,0,0,17
"110002",2021,0,0,0,0,0,1,0,1,0,0,0,12
"110002",2022,0,0,0,0,0,1,0,0,0,0,0,12
"110003",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2014,0,0,0,0,0,0,0,0,0,0,0,1
"110003",2015,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2016,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2017,0,0,0,0,0,0,1,0,0,0,0,1
"110003",2018,0,0,0,0,0,0,2,0,0,0,0,3
"110003",2019,0,0,0,0,0,0,1,0,0,0,0,1
