"codmunres","ano","garbage_morbidade_neonatal_i_algumas_doencas_infecciosas_e_parasitarias","garbage_morbidade_neonatal_vi_doencas_do_sistema_nervoso","garbage_morbidade_neonatal_x_doencas_do_aparelho_respiratorio","garbage_morbidade_neonatal_ii_neoplasias_tumores","garbage_morbidade_neonatal_xvii_malformacoes_congenitas_deformidades_e_anomalias_cromossomicas","garbage_morbidade_neonatal_xviii_sintomas_sinais_e_achados_anormais_de_exames_clinicos_e_de_laboratorio_nao_classificados_em_outra_parte","garbage_morbidade_neonatal_ix_doencas_do_aparelho_circulatorio","garbage_morbidade_neonatal_xiv_doencas_do_aparelho_geniturinario","garbage_morbidade_neonatal_xix_lesoes_envenenamento_e_algumas_outras_consequencias_de_causas_externas","garbage_morbidade_neonatal_iv_doencas_endocrinas_nutricionais_e_metabolicas","garbage_morbidade_neonatal_iii_doencas_do_sangue_e_dos_orgaos_hematopoeticos_e_alguns_transtornos_imunitarios","garbage_morbidade_neonatal_xii_doencas_da_pele_e_do_tecido_subcutaneo","garbage_morbidade_neonatal_xi_doencas_do_aparelho_digestivo","garbage_morbidade_neonatal_xvi_algumas_afeccoes_originadas_no_periodo_perinatal","garbage_morbidade_neonatal_xiii_doencas_do_sistema_osteomuscular_e_do_tecido_conjuntivo","garbage_morbidade_neonatal_v_transtornos_mentais_e_comportamentais","garbage_morbidade_neonatal_viii_doencas_do_ouvido_e_da_apofise_mastoide","garbage_morbidade_neonatal_vii_doencas_do_olho_e_anexos","garbage_morbidade_neonatal_na","garbage_morbidade_neonatal_xv_gravidez_parto_e_puerperio","garbage_morbidade_neonatal_xx_causas_externas_de_morbidade_e_de_mortalidade","internacoes_neonatais_totais"
"110001",2012,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"110001",2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"110001",2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"110001",2016,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"110001",2017,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"110001",2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"110001",2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"110001",2020,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"110001",2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"110001",2023,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
"110001",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"110001",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"110002",2012,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65
"110002",2013,4,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,73
"110002",2014,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
"110002",2015,18,1,6,0,0,3,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,113
"110002",2016,11,1,10,0,0,5,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,147
"110002",2017,10,0,7,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155
"110002",2018,10,2,2,0,0,6,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,143
"110002",2019,11,0,9,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,144
