"codmunres","ano","garbage_morbidade_neonatal_i_algumas_doencas_infecciosas_e_parasitarias","garbage_morbidade_neonatal_x_doencas_do_aparelho_respiratorio","garbage_morbidade_neonatal_xiv_doencas_do_aparelho_geniturinario","garbage_morbidade_neonatal_xi_doencas_do_aparelho_digestivo","garbage_morbidade_neonatal_xii_doencas_da_pele_e_do_tecido_subcutaneo","garbage_morbidade_neonatal_xix_lesoes_envenenamento_e_algumas_outras_consequencias_de_causas_externas","garbage_morbidade_neonatal_iii_doencas_do_sangue_e_dos_orgaos_hematopoeticos_e_alguns_transtornos_imunitarios","garbage_morbidade_neonatal_vi_doencas_do_sistema_nervoso","garbage_morbidade_neonatal_ix_doencas_do_aparelho_circulatorio","garbage_morbidade_neonatal_xviii_sintomas_sinais_e_achados_anormais_de_exames_clinicos_e_de_laboratorio_nao_classificados_em_outra_parte","garbage_morbidade_neonatal_xvi_algumas_afeccoes_originadas_no_periodo_perinatal","garbage_morbidade_neonatal_vii_doencas_do_olho_e_anexos","garbage_morbidade_neonatal_xiii_doencas_do_sistema_osteomuscular_e_do_tecido_conjuntivo","garbage_morbidade_neonatal_na","garbage_morbidade_neonatal_iv_doencas_endocrinas_nutricionais_e_metabolicas","garbage_morbidade_neonatal_xvii_malformacoes_congenitas_deformidades_e_anomalias_cromossomicas","garbage_morbidade_neonatal_viii_doencas_do_ouvido_e_da_apofise_mastoide","garbage_morbidade_neonatal_xv_gravidez_parto_e_puerperio","garbage_morbidade_neonatal_ii_neoplasias_tumores","garbage_morbidade_neonatal_v_transtornos_mentais_e_comportamentais","internacoes_neonatais_totais"
"110001",2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"110002",2024,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
"110003",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"110004",2024,18,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
"110005",2024,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"110006",2024,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"110007",2024,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"110008",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"110009",2024,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"110010",2024,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"110011",2024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
"110012",2024,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,80
"110013",2024,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24
"110014",2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"110015",2024,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
"110018",2024,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,37
