CODMUNRES,ANO,subregistro_SINASC,subregistro_SIM
110001,2015,1.8346,6.3846
110001,2016,0.3235,0.0637
110001,2017,0.5673,0.7999
110001,2018,0.7439,5.3014
110001,2019,0.5201,1.4212
110002,2015,1.4661,2.7631
110002,2016,0.262,1.3643
110002,2017,0.0621,0.2155
110002,2018,0.0618,0.3947
110002,2019,0.1175,0.4062
110003,2015,1.1954,6.9943
110003,2016,0.0299,0.0462
110003,2017,0.007,0.028
110003,2018,0.0028,0.0315
110003,2019,1.253,0.0225
110004,2015,0.1312,1.3984
110004,2016,0.228,0.0282
110004,2017,0.412,0.7994
110004,2018,0.4134,0.2329
110004,2019,0.3636,0.4367
110005,2015,0.0769,0.1001
110005,2016,0.3914,0.0442
110005,2017,2.1886,0.0251
110005,2018,0.0046,0.9121
110005,2019,0.0033,0.0214
110006,2015,0.4679,1.259
110006,2016,0.0094,0.038
110006,2017,0.4401,0.0248
110006,2018,0.0037,1.8823
110006,2019,0.0029,2.291
110007,2015,0.1138,2.4548
110007,2016,0.0255,0.0706
110007,2017,2.3365,2.9791
110007,2018,0.0046,6.501
110007,2019,0.0051,0.0312
110008,2015,4.2621,0.1595
110008,2016,1.448,14.3472
110008,2017,0.4784,2.9404
110008,2018,0.4016,1.4924
110008,2019,1.7146,5.0234
110009,2015,1.1538,3.8371
110009,2016,2.2845,3.2267
110009,2017,0.0092,3.5045
110009,2018,1.4931,7.5505
110009,2019,1.352,1.2147
110010,2015,1.7354,1.055
110010,2016,1.1596,1.5307
110010,2017,1.0695,0.4619
110010,2018,0.3324,2.1889
110010,2019,0.502,1.3538
110011,2015,3.5693,3.9931
110011,2016,1.5581,4.1367
110011,2017,1.0222,5.2153
110011,2018,0.1124,4.5732
110011,2019,0.4547,1.4224
110012,2015,3.8712,3.9784
110012,2016,0.5216,1.5596
110012,2017,0.442,0.4736
110012,2018,0.1818,2.3591
110012,2019,0.3326,8.163
110013,2015,2.7122,4.5041
110013,2016,4.6234,4.6873
110013,2017,0.2259,2.0646
110013,2018,0.3932,0.8991
110013,2019,0.6039,3.6255
110014,2015,0.5348,0.1103
110014,2016,0.0186,0.0344
110014,2017,0.0084,1.2156
110014,2018,0.7174,0.0317
110014,2019,0.0038,0.9838
110015,2015,1.1152,6.8735
110015,2016,2.0159,1.7842
110015,2017,1.4099,0.8794
110015,2018,0.3282,0.9892
110015,2019,0.3226,0.0186
110018,2015,0.999,1.0965
110018,2016,0.5108,2.864
110018,2017,0.3216,3.0516
110018,2018,1.0816,0.4969
110018,2019,1.5005,0.4775
110020,2015,1.2063,2.2521
110020,2016,0.4625,1.2421
110020,2017,0.2456,0.7251
110020,2018,0.3006,2.0093
110020,2019,0.2412,1.6611
110025,2015,1.6019,5.7021
110025,2016,1.0508,2.3196
110025,2017,0.7076,3.936
110025,2018,0.003,0.8533
110025,2019,0.0038,8.7517
110026,2015,0.1315,33.4423
110026,2016,2.4625,24.1925
110026,2017,0.0093,0.0285
110026,2018,0.006,0.0483
110026,2019,0.0037,15.4003
110028,2015,2.5198,5.762
110028,2016,1.0155,2.0057
110028,2017,0.7358,0.7453
110028,2018,1.4303,2.6095
110028,2019,0.3343,0.9519
110029,2015,3.7878,0.1027
110029,2016,0.8913,0.048
110029,2017,1.7463,2.4155
110029,2018,1.742,0.0386
110029,2019,0.003,1.7159
110030,2015,0.4694,0.509
110030,2016,0.2197,0.4586
110030,2017,0.204,0.4588
110030,2018,0.1304,0.588
110030,2019,0.0643,1.0391
110032,2015,1.3551,2.0184
110032,2016,0.9103,0.0571
110032,2017,1.0636,1.1955
110032,2018,0.0046,6.5817
110032,2019,0.5425,3.1489
110033,2015,1.8505,7.14
110033,2016,0.7567,3.6066
110033,2017,0.6456,3.9479
110033,2018,0.0059,0.0847
110033,2019,0.0064,1.7083
110034,2015,1.6928,3.0946
110034,2016,0.0291,0.0562
110034,2017,0.5707,2.3649
110034,2018,1.643,4.7449
110034,2019,0.4732,7.1627
110037,2015,2.6265,4.0746
110037,2016,0.6243,0.0644
110037,2017,1.1737,0.0494
110037,2018,2.3713,0.0774
110037,2019,0.0051,0.0251
110040,2015,1.9962,0.1595
110040,2016,2.3731,1.4688
110040,2017,1.1263,1.3021
110040,2018,0.8243,4.0004
110040,2019,1.2148,5.2906
110045,2015,3.7518,6.2294
110045,2016,1.09,1.2604
110045,2017,0.4725,3.1353
110045,2018,0.3333,1.5797
110045,2019,0.3491,3.1913
110050,2015,1.0635,4.7092
110050,2016,2.265,4.2205
110050,2017,0.0085,4.3771
110050,2018,1.8897,4.2018
110050,2019,0.0037,17.8738
110060,2015,1.4456,28.7689
110060,2016,1.3771,23.1254
110060,2017,2.7508,25.0241
110060,2018,0.0046,9.129
110060,2019,2.5366,13.3527
110070,2015,4.703,2.6671
110070,2016,0.0271,5.1876
110070,2017,0.6246,6.8504
110070,2018,0.0046,6.0993
110070,2019,0.0051,0.0242
110080,2015,2.0248,11.7042
110080,2016,0.0262,5.628
110080,2017,0.2473,1.4762
110080,2018,0.0044,4.6929
110080,2019,0.004,2.3854
110090,2015,5.2958,15.1269
110090,2016,0.0224,5.0607
110090,2017,0.0068,5.0388
110090,2018,1.8547,5.3566
110090,2019,2.567,35.3121
110092,2015,0.1155,5.0607
110092,2016,0.6667,0.1199
110092,2017,0.6134,10.8427
110092,2018,0.0053,6.105
110092,2019,0.639,2.5998
110094,2015,1.7074,30.7063
110094,2016,0.3916,19.4988
110094,2017,0.4063,16.452
110094,2018,0.0051,35.328
110094,2019,0.0057,6.2738
110100,2015,2.1828,8.7325
110100,2016,0.0304,0.0696
110100,2017,4.2477,5.1735
110100,2018,0.6895,0.0523
110100,2019,0.0052,3.4172
110110,2015,2.2513,5.1291
110110,2016,0.7146,2.9162
110110,2017,0.012,5.1721
110110,2018,0.0039,0.0368
110110,2019,0.7974,2.7952
110120,2015,1.2189,2.1617
110120,2016,0.0187,0.0611
110120,2017,0.0096,0.0391
110120,2018,0.0049,2.1746
110120,2019,3.3013,2.5566
110130,2015,1.1878,1.6563
110130,2016,3.336,5.3378
110130,2017,0.0106,1.4916
110130,2018,0.0046,0.055
110130,2019,0.6146,1.6428
110140,2015,0.9461,12.6338
110140,2016,0.0263,14.5781
110140,2017,0.0109,7.3877
110140,2018,0.0047,7.8861
110140,2019,0.4951,0.0242
110143,2015,0.1146,9.2461
110143,2016,5.343,4.7155
110143,2017,0.9911,4.0392
110143,2018,0.0045,2.9058
110143,2019,0.0061,0.0367
110145,2015,0.1113,5.6954
110145,2016,3.6608,8.3908
110145,2017,0.0114,6.7172
110145,2018,3.5757,0.0725
110145,2019,0.0049,0.0266
110146,2015,0.0822,23.1557
110146,2016,0.0222,5.9258
110146,2017,1.8937,22.2506
110146,2018,1.8567,23.1127
110146,2019,2.442,0.016
110147,2015,0.1106,0.1377
110147,2016,0.0265,0.0435
110147,2017,0.0109,5.3087
110147,2018,0.0048,5.9165
110147,2019,0.0049,0.0247
110148,2015,0.1667,0.1266
110148,2016,1.6906,4.0541
110148,2017,0.0089,0.0349
110148,2018,3.3932,3.7378
110148,2019,0.0037,2.5909
110149,2015,1.2731,6.0244
110149,2016,0.0257,1.9104
110149,2017,0.3112,2.3882
110149,2018,1.2241,7.2987
110149,2019,0.9825,7.4692
110150,2015,1.5784,4.484
110150,2016,0.5843,0.0527
110150,2017,1.0927,0.0404
110150,2018,0.0047,3.4886
110150,2019,0.0051,1.848
110155,2015,0.1251,8.489
110155,2016,3.3035,0.0698
110155,2017,0.0091,10.7602
110155,2018,0.0037,8.6241
110155,2019,1.4742,6.7065
110160,2015,4.3077,26.3193
110160,2016,0.7818,14.6298
110160,2017,0.673,5.2145
110160,2018,0.0046,2.9781
110160,2019,0.9225,9.118
110170,2015,3.7326,12.8294
110170,2016,5.2511,1.7942
110170,2017,1.2442,4.1574
110170,2018,1.3209,14.5467
110170,2019,2.2148,3.3567
110175,2015,2.7864,5.8958
110175,2016,0.943,5.5223
110175,2017,1.098,0.0383
110175,2018,0.0046,2.8108
110175,2019,0.0049,2.6548
110180,2015,1.5114,7.5654
110180,2016,1.0658,8.3999
110180,2017,3.9045,5.0314
110180,2018,0.0038,7.7386
110180,2019,0.0038,0.029
120001,2015,0.7011,3.7764
120001,2016,1.5652,2.1808
120001,2017,0.4815,0.3309
120001,2018,0.5204,1.6793
120001,2019,0.4534,0.1061
120005,2015,5.9851,6.5626
120005,2016,6.1392,2.3604
120005,2017,2.7841,12.3413
120005,2018,6.7121,2.6384
120005,2019,7.0974,4.756
120010,2015,1.8296,3.0106
120010,2016,0.6004,0.1815
120010,2017,0.2422,6.146
120010,2018,0.6355,0.1145
120010,2019,0.4539,2.0539
120013,2015,2.3172,5.2491
120013,2016,0.6226,0.1525
120013,2017,0.445,9.9674
120013,2018,0.768,0.2096
120013,2019,0.4256,6.7736
120017,2015,1.6936,3.9567
120017,2016,0.7219,2.8081
120017,2017,2.1811,3.239
120017,2018,0.0774,1.8564
120017,2019,1.5522,6.1053
120020,2015,1.9957,5.9363
120020,2016,0.8185,0.6479
120020,2017,0.9342,0.8425
120020,2018,2.2144,1.6309
120020,2019,1.983,0.9684
120025,2015,1.5771,6.189
120025,2016,1.958,1.4495
120025,2017,1.0425,4.3768
120025,2018,0.7491,2.5557
120025,2019,2.4308,2.3218
120030,2015,1.7599,1.1355
120030,2016,1.3995,3.2262
120030,2017,1.384,2.4087
120030,2018,1.9315,0.8793
120030,2019,1.9479,0.7576
120032,2015,6.9034,0.4545
120032,2016,4.2387,0.1499
120032,2017,8.3028,14.5684
120032,2018,7.0659,0.248
120032,2019,5.2239,23.1952
120033,2015,1.5422,3.2369
120033,2016,1.4422,2.7522
120033,2017,0.889,0.1974
120033,2018,2.883,5.5152
120033,2019,1.9532,4.785
120034,2015,5.8416,8.7687
120034,2016,8.4888,2.7605
120034,2017,1.6922,7.6706
120034,2018,4.9295,14.8168
120034,2019,10.0104,3.8785
120035,2015,3.0615,15.6349
120035,2016,4.6317,0.2905
120035,2017,4.6147,6.6614
120035,2018,3.9477,0.2234
120035,2019,7.8707,5.0097
120038,2015,3.8342,3.0546
120038,2016,2.5556,2.6874
120038,2017,3.3971,5.5307
120038,2018,2.6113,3.1781
120038,2019,1.38,0.1091
120039,2015,6.3297,5.2452
120039,2016,2.6109,4.546
120039,2017,2.3514,0.4581
120039,2018,5.1554,0.2049
120039,2019,3.2667,0.1305
120040,2015,0.9683,2.1535
120040,2016,1.1103,1.5037
120040,2017,0.8825,4.1513
120040,2018,0.7333,1.8505
120040,2019,0.3422,1.1825
120042,2015,5.4685,0.4455
120042,2016,2.3712,2.6315
120042,2017,1.9755,6.6581
120042,2018,1.8337,4.8816
120042,2019,2.3892,6.2017
120043,2015,23.6356,7.6531
120043,2016,45.9075,0.3023
120043,2017,4.942,0.4054
120043,2018,2.2719,9.7448
120043,2019,21.0356,11.2747
120045,2015,0.7174,1.2138
120045,2016,0.4165,0.2031
120045,2017,0.3221,10.2213
120045,2018,0.2716,0.118
120045,2019,0.3137,0.7842
120050,2015,1.6973,3.267
120050,2016,0.3439,2.7396
120050,2017,0.3551,3.5867
120050,2018,0.0856,1.5072
120050,2019,0.6185,0.5867
120060,2015,1.2671,21.9595
120060,2016,1.9202,14.4585
120060,2017,0.7406,6.7739
120060,2018,1.2352,2.8905
120060,2019,0.6254,1.5749
120070,2015,3.4429,4.6509
120070,2016,0.4964,3.4985
120070,2017,6.0169,13.9396
120070,2018,0.0738,0.1034
120070,2019,1.1273,1.9859
120080,2015,2.2647,3.4514
120080,2016,2.2208,1.4288
120080,2017,0.8422,1.5533
120080,2018,0.3523,1.4708
