"ano","codmunres","locnasc_incompletos","locnasc_totais","tpnascassi_incompletos","tpnascassi_totais"
2013,"110000",0,10,0,10
2013,"110001",0,108,5,108
2013,"110002",0,454,18,454
2013,"110003",0,11,0,11
2013,"110004",0,227,0,227
2013,"110005",0,41,0,41
2013,"110006",0,53,5,53
2013,"110007",0,29,0,29
2013,"110008",0,86,0,86
2013,"110009",0,100,0,100
2013,"110010",0,484,0,484
2013,"110011",0,221,0,221
2013,"110012",0,719,0,719
2013,"110013",0,224,7,224
2013,"110014",0,25,0,25
2013,"110015",0,145,0,145
2013,"110018",0,86,0,86
2013,"110020",0,4185,26,4185
2013,"110025",0,88,0,88
2013,"110026",0,10,0,10
2013,"110028",0,106,0,106
2013,"110029",0,12,0,12
2013,"110030",0,314,0,314
2013,"110032",0,64,1,64
2013,"110033",0,194,0,194
2013,"110034",0,85,8,85
2013,"110037",0,30,0,30
2013,"110040",0,52,1,52
2013,"110045",0,86,2,86
2013,"110050",0,13,0,13
2013,"110060",0,13,1,13
2013,"110070",0,38,2,38
2013,"110080",0,215,0,215
2013,"110090",0,8,0,8
2013,"110092",0,38,2,38
2013,"110094",0,85,8,85
2013,"110100",0,34,4,34
2013,"110110",0,68,6,68
2013,"110120",0,23,1,23
2013,"110130",0,37,0,37
2013,"110140",0,65,1,65
2013,"110143",0,23,0,23
2013,"110145",0,8,0,8
2013,"110146",0,16,2,16
2013,"110147",0,7,0,7
2013,"110148",0,10,0,10
2013,"110149",0,54,0,54
2013,"110150",0,41,0,41
2013,"110155",0,14,0,14
2013,"110160",0,34,0,34
2013,"110170",0,49,2,49
2013,"110175",0,29,1,29
2013,"110180",0,26,0,26
2013,"120001",0,149,35,149
2013,"120005",0,160,10,160
2013,"120010",0,315,12,315
2013,"120013",0,126,28,126
2013,"120017",0,119,32,119
2013,"120020",0,998,4,998
2013,"120025",0,155,6,155
2013,"120030",0,661,7,661
2013,"120032",0,257,7,257
2013,"120033",0,271,4,271
2013,"120034",0,173,6,173
2013,"120035",0,412,1,412
2013,"120038",0,208,42,208
2013,"120039",0,253,0,253
2013,"120040",0,3774,927,3774
2013,"120042",0,257,8,257
2013,"120043",0,196,18,196
2013,"120045",0,268,58,268
2013,"120050",0,565,19,565
2013,"120060",0,872,102,872
2013,"120070",0,206,12,206
2013,"120080",0,218,61,218
2013,"130000",0,6,0,6
2013,"130002",0,247,2,247
2013,"130006",0,236,0,236
2013,"130008",0,146,0,146
2013,"130010",0,205,0,205
2013,"130014",0,139,0,139
2013,"130020",0,323,0,323
2013,"130030",0,608,0,608
2013,"130040",0,386,56,386
2013,"130050",0,640,0,640
2013,"130060",0,884,0,884
2013,"130063",0,351,0,351
2013,"130068",0,242,0,242
2013,"130070",0,452,16,452
2013,"130080",0,572,1,572
2013,"130083",0,149,2,149
2013,"130090",0,134,0,134
2013,"130100",0,510,6,510
2013,"130110",0,314,2,314
2013,"130115",0,112,0,112
2013,"130120",0,1224,7,1224
2013,"130130",0,294,2,294
2013,"130140",0,540,0,540
2013,"130150",0,235,3,235
2013,"130160",0,320,0,320
2013,"130165",0,211,1,211
2013,"130170",0,572,0,572
2013,"130180",0,343,0,343
2013,"130185",0,556,2,556
2013,"130190",0,1536,0,1536
2013,"130195",0,215,1,215
2013,"130200",0,152,0,152
2013,"130210",0,117,2,117
2013,"130220",0,162,0,162
2013,"130230",0,572,35,572
2013,"130240",0,569,0,569
2013,"130250",0,1440,0,1440
2013,"130255",0,172,0,172
2013,"130260",0,20661,22,20661
2013,"130270",0,642,30,642
2013,"130280",0,236,1,236
2013,"130290",0,1058,7,1058
2013,"130300",0,236,0,236
2013,"130310",0,474,0,474
2013,"130320",0,201,0,201
