"codmunres","ano","incompletude_fetal_peso_ig","incompletude_fetal_momento","incompletude_fetal_peso","total_dofet","incompletude_neonatal_idade","incompletude_neonatal_peso","total_doinf"
"110001",2012,1,0,2,4,0,2,5
"110001",2013,0,0,0,4,0,4,7
"110001",2014,0,0,0,2,0,1,2
"110001",2015,0,0,0,5,0,1,7
"110001",2016,0,0,0,3,0,1,5
"110001",2017,1,1,1,3,0,0,5
"110001",2018,1,1,1,4,0,0,3
"110001",2019,0,0,0,4,0,1,3
"110001",2020,0,0,0,2,0,0,2
"110001",2021,0,0,0,3,0,0,2
"110001",2022,0,0,0,1,0,0,2
"110001",2023,NA,NA,NA,NA,0,0,4
"110001",2024,NA,NA,NA,NA,0,0,2
"110002",2012,3,2,3,11,0,0,15
"110002",2013,0,0,1,23,0,5,19
"110002",2014,1,0,2,18,0,3,23
"110002",2015,2,1,6,14,0,6,18
"110002",2016,1,0,2,17,0,5,26
"110002",2017,0,0,1,16,0,3,23
"110002",2018,0,0,0,9,0,5,26
"110002",2019,0,0,0,16,0,2,18
"110002",2020,0,0,1,18,0,0,11
"110002",2021,0,1,0,12,0,2,18
"110002",2022,0,0,0,12,0,3,32
"110002",2023,0,1,0,12,0,1,19
"110002",2024,NA,NA,NA,NA,0,3,8
"110003",2012,NA,NA,NA,NA,0,0,1
"110003",2013,NA,NA,NA,NA,0,0,1
"110003",2014,0,0,0,1,0,0,2
"110003",2015,NA,NA,NA,NA,0,1,3
"110003",2016,NA,NA,NA,NA,NA,NA,NA
"110003",2017,0,0,0,1,NA,NA,NA
"110003",2018,0,0,1,3,0,0,1
"110003",2019,0,0,0,1,0,0,2
"110003",2020,0,0,0,1,0,0,2
"110003",2021,0,0,0,1,0,0,1
"110003",2022,NA,NA,NA,NA,NA,NA,NA
"110003",2023,0,0,0,1,NA,NA,NA
"110003",2024,NA,NA,NA,NA,NA,NA,NA
"110004",2012,0,0,0,11,0,2,17
"110004",2013,0,0,0,12,0,0,18
"110004",2014,0,1,0,17,0,2,23
"110004",2015,0,0,0,12,0,0,25
"110004",2016,0,0,0,8,0,2,17
"110004",2017,0,0,0,10,0,0,14
"110004",2018,0,0,0,11,0,0,19
"110004",2019,0,0,0,5,0,0,7
