"ano","codmunres","condicoes_ameacadoras_totais","condicoes_ameacadoras_incompletos_intersecao","condicoes_ameacadoras_incompletos_uniao"
2012,"110001",386,0,10
2013,"110001",382,0,6
2014,"110001",341,0,4
2015,"110001",373,0,4
2016,"110001",326,0,7
2017,"110001",354,0,21
2018,"110001",408,0,1
2019,"110001",367,0,5
2020,"110001",333,0,4
2021,"110001",357,0,5
2022,"110001",368,0,21
2023,"110001",383,0,20
2012,"110002",1339,0,194
2013,"110002",1654,0,194
2014,"110002",1647,0,64
2015,"110002",1783,0,18
2016,"110002",1662,0,13
2017,"110002",1724,0,16
2018,"110002",1682,0,8
2019,"110002",1729,0,6
2020,"110002",1507,0,6
2021,"110002",1545,0,3
2022,"110002",1505,0,4
2023,"110002",1515,0,2
2012,"110003",64,0,12
2013,"110003",74,0,4
2014,"110003",75,0,2
2015,"110003",86,0,2
2016,"110003",73,0,1
2017,"110003",67,0,0
2018,"110003",82,0,3
2019,"110003",80,0,0
2020,"110003",69,0,1
2021,"110003",68,0,0
2022,"110003",64,0,2
2023,"110003",77,0,1
2012,"110004",1201,0,42
2013,"110004",1185,0,22
2014,"110004",1307,0,23
2015,"110004",1360,0,33
2016,"110004",1338,0,19
2017,"110004",1452,0,5
2018,"110004",1446,0,9
2019,"110004",1374,0,3
2020,"110004",1325,0,1
2021,"110004",1366,0,4
2022,"110004",1353,0,3
2023,"110004",1343,0,1
2012,"110005",245,0,88
2013,"110005",271,0,52
2014,"110005",250,0,1
2015,"110005",277,0,10
2016,"110005",263,0,3
2017,"110005",277,0,2
2018,"110005",264,0,2
2019,"110005",237,0,5
2020,"110005",269,0,5
2021,"110005",251,0,4
2022,"110005",272,0,1
2023,"110005",280,0,5
2012,"110006",214,0,136
2013,"110006",256,0,51
2014,"110006",273,0,3
2015,"110006",251,0,1
2016,"110006",223,0,1
2017,"110006",243,0,3
2018,"110006",235,0,1
2019,"110006",214,0,0
2020,"110006",203,0,4
2021,"110006",231,0,5
2022,"110006",205,0,2
2023,"110006",188,0,1
2012,"110007",116,0,45
2013,"110007",116,0,26
2014,"110007",125,0,2
2015,"110007",111,0,4
2016,"110007",139,0,0
2017,"110007",87,0,0
2018,"110007",129,0,2
2019,"110007",127,0,0
2020,"110007",107,0,0
2021,"110007",118,0,4
2022,"110007",103,0,2
2023,"110007",97,0,2
2012,"110008",234,0,29
2013,"110008",234,0,4
2014,"110008",267,0,2
2015,"110008",245,0,3
2016,"110008",213,0,7
2017,"110008",216,0,9
2018,"110008",246,0,5
2019,"110008",233,0,11
2020,"110008",190,0,11
