"codmunres";"ano";"anomalia";"grupo_de_anomalias_congenitas";"descricao";"nascidos_vivos_anomalia"
110001;2012;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110001;2013;"Q019";"Defeitos de tubo neural";"Encefalocele";1
110001;2013;"Q690";"Defeitos de membros";"Polidactilia";1
110001;2014;"Q02X";"Microcefalia";"Microcefalia";1
110001;2014;"Q731";"Defeitos de membros";"Defeitos por redução de membro não especificado";1
110001;2015;"Q548";"Defeitos de órgãos genitais";"Hipospadia";1
110001;2015;"Q661";"Defeitos de membros";"Deformidades congênitas do pé";1
110001;2016;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110001;2016;"Q02X";"Microcefalia";"Microcefalia";1
110001;2016;"Q661";"Defeitos de membros";"Deformidades congênitas do pé";1
110001;2017;"Q564";"Defeitos de órgãos genitais";"Sexo indeterminado e pseudo-hermafroditismo";1
110001;2018;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110001;2018;"Q909";"Síndrome de Down";"Síndrome de Down";1
110001;2018;"Q001";"Defeitos de tubo neural";"Craniorraquisquise";1
110001;2019;"Q02X";"Microcefalia";"Microcefalia";1
110001;2019;"Q699";"Defeitos de membros";"Polidactilia";1
110001;2019;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110001;2021;"Q211";"Cardiopatias congênitas";"Malformações congênitas dos septos cardíacos";1
110001;2021;"Q224";"Cardiopatias congênitas";"Malformações congênitas das valvas pulmonar e tricúspide";1
110001;2023;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110001;2023;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110001;2023;"Q234";"Cardiopatias congênitas";"Malformações congênitas das valvas aórtica e mitral";1
110001;2024;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110002;2012;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2012;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110002;2012;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2012;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2012;"Q729";"Defeitos de membros";"Defeitos por redução do membro inferior";1
110002;2012;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110002;2012;"Q690";"Defeitos de membros";"Polidactilia";1
110002;2012;"Q690";"Defeitos de membros";"Polidactilia";1
110002;2012;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2013;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110002;2013;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110002;2013;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110002;2013;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2013;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110002;2013;"Q792";"Defeitos da parede abdominal";"Exonfalia";1
110002;2013;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2013;"Q690";"Defeitos de membros";"Polidactilia";1
110002;2013;"Q690";"Defeitos de membros";"Polidactilia";1
110002;2013;"Q792";"Defeitos da parede abdominal";"Exonfalia";1
110002;2014;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110002;2014;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2014;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110002;2014;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110002;2014;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2014;"Q713";"Defeitos de membros";"Defeitos por redução do membro superior";1
110002;2014;"Q690";"Defeitos de membros";"Polidactilia";1
110002;2015;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2015;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2016;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110002;2016;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2016;"Q248";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110002;2016;"Q248";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110002;2016;"Q02X";"Microcefalia";"Microcefalia";1
110002;2016;"Q234";"Cardiopatias congênitas";"Malformações congênitas das valvas aórtica e mitral";1
110002;2016;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2016;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2016;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2016;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2016;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2016;"Q02X";"Microcefalia";"Microcefalia";1
110002;2017;"Q02X";"Microcefalia";"Microcefalia";1
110002;2017;"Q359";"Fendas orais";"Fenda palatina";1
110002;2017;"Q212";"Cardiopatias congênitas";"Malformações congênitas dos septos cardíacos";1
110002;2017;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2017;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2017;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110002;2018;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110002;2018;"Q02X";"Microcefalia";"Microcefalia";1
110002;2018;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110002;2018;"Q359";"Fendas orais";"Fenda palatina";1
110002;2018;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2018;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110002;2018;"Q792";"Defeitos da parede abdominal";"Exonfalia";1
110002;2018;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2018;"Q713";"Defeitos de membros";"Defeitos por redução do membro superior";1
110002;2018;"Q369";"Fendas orais";"Fenda labial";1
110002;2018;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2018;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110002;2019;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2019;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2019;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2019;"Q359";"Fendas orais";"Fenda palatina";1
110002;2019;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110002;2019;"Q224";"Cardiopatias congênitas";"Malformações congênitas das valvas pulmonar e tricúspide";1
110002;2019;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2019;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110002;2019;"Q359";"Fendas orais";"Fenda palatina";1
110002;2019;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2020;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110002;2020;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110002;2020;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2020;"Q548";"Defeitos de órgãos genitais";"Hipospadia";1
110002;2020;"Q699";"Defeitos de membros";"Polidactilia";1
