Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade
Brasil,,"0,727",,,,,,
Distrito Federal,1,"0,824",1,"0,873",1,"0,742",1,"0,863"
São Paulo,2,"0,783",3,"0,845",2,"0,719",2,"0,789"
Santa Catarina,3,"0,774",2,"0,86",3,"0,697",4,"0,773"
Rio de Janeiro,4,"0,761",6,"0,835",4,"0,675",3,"0,782"
Paraná,5,"0,749",8,"0,83",5,"0,668",6,"0,757"
Rio Grande do Sul,6,"0,746",4,"0,84",8,"0,642",5,"0,769"
Espírito Santo,7,"0,74",6,"0,835",6,"0,653",7,"0,743"
Goiás,8,"0,735",9,"0,827",7,"0,646",8,"0,742"
Minas Gerais,9,"0,731",5,"0,838",9,"0,638",11,"0,73"
Mato Grosso do Sul,10,"0,729",7,"0,833",11,"0,629",9,"0,74"
Mato Grosso,11,"0,725",10,"0,821",10,"0,635",10,"0,732"
Amapá,12,"0,708",11,"0,813",11,"0,629",14,"0,694"
Roraima,13,"0,707",12,"0,809",12,"0,628",13,"0,695"
Tocantins,14,"0,699",15,"0,793",13,"0,624",15,"0,69"
Rondônia,15,"0,69",14,"0,8",16,"0,577",12,"0,712"
Rio Grande do Norte,16,"0,684",16,"0,792",15,"0,597",16,"0,678"
Ceará,17,"0,682",15,"0,793",14,"0,615",23,"0,651"
Amazonas,18,"0,674",13,"0,805",19,"0,561",17,"0,677"
Pernambuco,19,"0,673",17,"0,789",17,"0,574",18,"0,673"
Sergipe,20,"0,665",19,"0,781",20,"0,56",19,"0,672"
Acre,21,"0,663",20,"0,777",21,"0,559",20,"0,671"
Bahia,22,"0,66",18,"0,783",22,"0,555",21,"0,663"
Paraíba,23,"0,658",18,"0,783",22,"0,555",22,"0,656"
Piauí,24,"0,646",20,"0,777",23,"0,547",26,"0,635"
Pará,24,"0,646",17,"0,789",24,"0,528",24,"0,646"
Maranhão,25,"0,639",21,"0,757",18,"0,562",27,"0,612"
Alagoas,26,"0,631",22,"0,755",25,"0,52",25,"0,641"
