uf,nome_uf,regiao_pais,regiao_geografica_intermediaria,nome_regiao_geografica_intermediaria,regiao_geografica_imediata,nome_regiao_geografica_imediata,mesorregiao_geografica,nome_mesorregiao,microrregiao_geografica,nome_microrregiao,municipio,codigo_municipio_completo,nome_municipio,longitude,latitude,CODMUN6,NOME,IDHM,
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,00015,1100015,Alta Floresta D'Oeste,"-61,9998239","-11,9355403",110001,Alta Floresta D'Oeste,"0,641",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,00379,1100379,Alto Alegre dos Parecis,"-61,85307717","-12,13177722",110037,Alto Alegre dos Parecis,"0,592",
11,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,02,Leste Rondoniense,003,Ariquemes,00403,1100403,Alto Paraíso,"-63,31762943","-9,716666738",110040,Alto Paraíso,"0,625",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,005,Alvorada D'Oeste,00346,1100346,Alvorada D'Oeste,"-62,27727487","-11,34413002",110034,Alvorada D'Oeste,"0,643",
11,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,02,Leste Rondoniense,003,Ariquemes,00023,1100023,Ariquemes,"-63,03326928","-9,908462867",110002,Ariquemes,"0,702",
11,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,01,Madeira-Guaporé,001,Porto Velho,00452,1100452,Buritis,"-63,82967879","-10,20980541",110045,Buritis,"0,616",
11,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,008,Colorado do Oeste,00031,1100031,Cabixi,"-60,54431358","-13,49976346",110003,Cabixi,"0,65",
11,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,02,Leste Rondoniense,003,Ariquemes,00601,1100601,Cacaulândia,"-62,90318993","-10,33887284",110060,Cacaulândia,"0,646",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,00049,1100049,Cacoal,"-61,44294421","-11,43386503",110004,Cacoal,"0,718",
11,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,01,Madeira-Guaporé,001,Porto Velho,00700,1100700,Campo Novo de Rondônia,"-63,62499143","-10,56841647",110070,Campo Novo de Rondônia,"0,593",
11,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,01,Madeira-Guaporé,001,Porto Velho,00809,1100809,Candeias do Jamari,"-63,70002007","-8,785020703",110080,Candeias do Jamari,"0,649",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,00908,1100908,Castanheiras,"-61,9491612","-11,42684223",110090,Castanheiras,"0,658",
11,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,008,Colorado do Oeste,00056,1100056,Cerejeiras,"-60,81842616","-13,19503303",110005,Cerejeiras,"0,692",
11,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,007,Vilhena,00924,1100924,Chupinguaia,"-60,90184775","-12,55684076",110092,Chupinguaia,"0,652",
11,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,008,Colorado do Oeste,00064,1100064,Colorado do Oeste,"-60,55506746","-13,13056384",110006,Colorado do Oeste,"0,685",
11,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,008,Colorado do Oeste,00072,1100072,Corumbiara,"-60,94870117","-12,99752024",110007,Corumbiara,"0,613",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,01,Madeira-Guaporé,002,Guajará-Mirim,00080,1100080,Costa Marques,"-64,23165394","-12,43601388",110008,Costa Marques,"0,611",
11,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,01,Madeira-Guaporé,001,Porto Velho,00940,1100940,Cujubim,"-62,58717453","-9,378193399",110094,Cujubim,"0,612",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,00098,1100098,Espigão D'Oeste,"-61,02017311","-11,52855463",110009,Espigão D'Oeste,"0,672",
11,Rondônia,Norte,1101,Porto Velho,110003,Jaru,02,Leste Rondoniense,004,Ji-Paraná,01005,1101005,Governador Jorge Teixeira,"-62,74045764","-10,61207177",110100,Governador Jorge Teixeira,"0,596",
11,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,01,Madeira-Guaporé,002,Guajará-Mirim,00106,1100106,Guajará-Mirim,"-65,32395182","-10,77388374",110010,Guajará-Mirim,"0,657",
11,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,01,Madeira-Guaporé,001,Porto Velho,01104,1101104,Itapuã do Oeste,"-63,18233702","-9,191871675",110110,Itapuã do Oeste,"0,614",
11,Rondônia,Norte,1101,Porto Velho,110003,Jaru,02,Leste Rondoniense,004,Ji-Paraná,00114,1100114,Jaru,"-62,47623071","-10,43594877",110011,Jaru,"0,689",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,00122,1100122,Ji-Paraná,"-61,94509458","-10,88205132",110012,Ji-Paraná,"0,714",
11,Rondônia,Norte,1101,Porto Velho,110003,Jaru,02,Leste Rondoniense,003,Ariquemes,00130,1100130,Machadinho D'Oeste,"-61,99959257","-9,42556248",110013,Machadinho D'Oeste,"0,596",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,01203,1101203,Ministro Andreazza,"-61,51892193","-11,19623798",110120,Ministro Andreazza,"0,638",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,01302,1101302,Mirante da Serra,"-62,6694271","-11,04560929",110130,Mirante da Serra,"0,643",
11,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,02,Leste Rondoniense,003,Ariquemes,01401,1101401,Monte Negro,"-63,29555917","-10,26309776",110140,Monte Negro,"0,607",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,005,Alvorada D'Oeste,00148,1100148,Nova Brasilândia D'Oeste,"-62,30823016","-11,72132541",110014,Nova Brasilândia D'Oeste,"0,643",
11,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,01,Madeira-Guaporé,001,Porto Velho,00338,1100338,Nova Mamoré,"-65,32914902","-10,41177129",110033,Nova Mamoré,"0,587",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,01435,1101435,Nova União,"-62,5550894","-10,91553204",110143,Nova União,"0,587",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,00502,1100502,Novo Horizonte do Oeste,"-61,99438766","-11,70974292",110050,Novo Horizonte do Oeste,"0,634",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,00155,1100155,Ouro Preto do Oeste,"-62,26105519","-10,7235739",110015,Ouro Preto do Oeste,"0,682",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,007,Vilhena,01450,1101450,Parecis,"-61,59799797","-12,17982705",110145,Parecis,"0,617",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,007,Vilhena,00189,1100189,Pimenta Bueno,"-61,18366567","-11,67753699",110018,Pimenta Bueno,"0,71",
11,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,008,Colorado do Oeste,01468,1101468,Pimenteiras do Oeste,"-61,044379","-13,476562",110146,Pimenteiras do Oeste,"0,665",
11,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,01,Madeira-Guaporé,001,Porto Velho,00205,1100205,Porto Velho,"-63,83144565","-8,76889179",110020,Porto Velho,"0,736",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,00254,1100254,Presidente Médici,"-61,90943868","-11,17320502",110025,Presidente Médici,"0,664",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,007,Vilhena,01476,1101476,Primavera de Rondônia,"-61,31654624","-11,82570695",110147,Primavera de Rondônia,"0,641",
11,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,02,Leste Rondoniense,003,Ariquemes,00262,1100262,Rio Crespo,"-62,90001037","-9,70553671",110026,Rio Crespo,"0,643",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,00288,1100288,Rolim de Moura,"-61,78578094","-11,72225891",110028,Rolim de Moura,"0,7",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,006,Cacoal,00296,1100296,Santa Luzia D'Oeste,"-61,77330546","-11,90842333",110029,Santa Luzia D'Oeste,"0,67",
11,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,02,Leste Rondoniense,007,Vilhena,01484,1101484,São Felipe D'Oeste,"-61,51250811","-11,91438935",110148,São Felipe D'Oeste,"0,649",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,01,Madeira-Guaporé,002,Guajará-Mirim,01492,1101492,São Francisco do Guaporé,"-63,57086471","-12,06379841",110149,São Francisco do Guaporé,"0,611",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,005,Alvorada D'Oeste,00320,1100320,São Miguel do Guaporé,"-62,72006348","-11,69948974",110032,São Miguel do Guaporé,"0,646",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,005,Alvorada D'Oeste,01500,1101500,Seringueiras,"-63,038761","-11,76711664",110150,Seringueiras,"0,598",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,01559,1101559,Teixeirópolis,"-62,25592225","-10,93216929",110155,Teixeirópolis,"0,643",
11,Rondônia,Norte,1101,Porto Velho,110003,Jaru,02,Leste Rondoniense,004,Ji-Paraná,01609,1101609,Theobroma,"-62,34514553","-10,24873055",110160,Theobroma,"0,589",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,01708,1101708,Urupá,"-62,37063245","-11,12854528",110170,Urupá,"0,609",
11,Rondônia,Norte,1101,Porto Velho,110003,Jaru,02,Leste Rondoniense,003,Ariquemes,01757,1101757,Vale do Anari,"-62,17682344","-9,851392708",110175,Vale do Anari,"0,584",
11,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,02,Leste Rondoniense,004,Ji-Paraná,01807,1101807,Vale do Paraíso,"-62,13439036","-10,43105268",110180,Vale do Paraíso,"0,627",
11,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,02,Leste Rondoniense,007,Vilhena,00304,1100304,Vilhena,"-60,13858387","-12,74137347",110030,Vilhena,"0,731",
12,Acre,Norte,1201,Rio Branco,120001,Rio Branco,02,Vale do Acre,004,Rio Branco,00013,1200013,Acrelândia,"-67,05231658","-10,07379389",120001,Acrelândia,"0,604",
12,Acre,Norte,1201,Rio Branco,120002,Brasiléia,02,Vale do Acre,005,Brasiléia,00054,1200054,Assis Brasil,"-69,56345917","-10,94286568",120005,Assis Brasil,"0,588",
12,Acre,Norte,1201,Rio Branco,120002,Brasiléia,02,Vale do Acre,005,Brasiléia,00104,1200104,Brasiléia,"-68,74794343","-11,01641102",120010,Brasiléia,"0,614",
12,Acre,Norte,1201,Rio Branco,120001,Rio Branco,02,Vale do Acre,004,Rio Branco,00138,1200138,Bujari,"-67,95185928","-9,820019627",120013,Bujari,"0,589",
12,Acre,Norte,1201,Rio Branco,120001,Rio Branco,02,Vale do Acre,004,Rio Branco,00179,1200179,Capixaba,"-67,67350797","-10,56976771",120017,Capixaba,"0,575",
12,Acre,Norte,1202,Cruzeiro do Sul,120004,Cruzeiro do Sul,01,Vale do Juruá,001,Cruzeiro do Sul,00203,1200203,Cruzeiro do Sul,"-72,67253132","-7,630690005",120020,Cruzeiro do Sul,"0,664",
12,Acre,Norte,1201,Rio Branco,120002,Brasiléia,02,Vale do Acre,005,Brasiléia,00252,1200252,Epitaciolândia,"-68,74486807","-11,02823983",120025,Epitaciolândia,"0,653",
12,Acre,Norte,1202,Cruzeiro do Sul,120005,Tarauacá,01,Vale do Juruá,002,Tarauacá,00302,1200302,Feijó,"-70,35398361","-8,16024753",120030,Feijó,"0,539",
12,Acre,Norte,1202,Cruzeiro do Sul,120005,Tarauacá,01,Vale do Juruá,002,Tarauacá,00328,1200328,Jordão,"-71,95087512","-9,19335786",120032,Jordão,"0,469",
12,Acre,Norte,1202,Cruzeiro do Sul,120004,Cruzeiro do Sul,01,Vale do Juruá,001,Cruzeiro do Sul,00336,1200336,Mâncio Lima,"-72,91650103","-7,593222594",120033,Mâncio Lima,"0,625",
12,Acre,Norte,1201,Rio Branco,120003,Sena Madureira,02,Vale do Acre,003,Sena Madureira,00344,1200344,Manoel Urbano,"-69,25994458","-8,836317737",120034,Manoel Urbano,"0,551",
12,Acre,Norte,1202,Cruzeiro do Sul,120004,Cruzeiro do Sul,01,Vale do Juruá,001,Cruzeiro do Sul,00351,1200351,Marechal Thaumaturgo,"-72,79026591","-8,953591123",120035,Marechal Thaumaturgo,"0,501",
12,Acre,Norte,1201,Rio Branco,120001,Rio Branco,02,Vale do Acre,004,Rio Branco,00385,1200385,Plácido de Castro,"-67,18826009","-10,33513328",120038,Plácido de Castro,"0,622",
12,Acre,Norte,1201,Rio Branco,120001,Rio Branco,02,Vale do Acre,004,Rio Branco,00807,1200807,Porto Acre,"-67,54059008","-9,600858231",120080,Porto Acre,"0,576",
