uf;nome_uf;regiao_pais;regiao_geografica_intermediaria;nome_regiao_geografica_intermediaria;regiao_geografica_imediata;nome_regiao_geografica_imediata;mesorregiao_geografica;nome_mesorregiao;microrregiao_geografica;nome_microrregiao;municipio;codigo_municipio_completo;nome_municipio;longitude;latitude;CODMUN6;NOME;IDHM;
11;Rondônia;Norte;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;15;1100015;Alta Floresta D'Oeste;-619,998,239;-119,355,403;110001;Alta Floresta D'Oeste;0.641;
11;Rondônia;Norte;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;379;1100379;Alto Alegre dos Parecis;-6,185,307,717;-1,213,177,722;110037;Alto Alegre dos Parecis;0.592;
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;2;Leste Rondoniense;3;Ariquemes;403;1100403;Alto Paraíso;-6,331,762,943;-9,716,666,738;110040;Alto Paraíso;0.625;
11;Rondônia;Norte;1102;Ji-Paraná;110004;Ji-Paraná;2;Leste Rondoniense;5;Alvorada D'Oeste;346;1100346;Alvorada D'Oeste;-6,227,727,487;-1,134,413,002;110034;Alvorada D'Oeste;0.643;
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;2;Leste Rondoniense;3;Ariquemes;23;1100023;Ariquemes;-6,303,326,928;-9,908,462,867;110002;Ariquemes;0.702;
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;1;Madeira-Guaporé;1;Porto Velho;452;1100452;Buritis;-6,382,967,879;-1,020,980,541;110045;Buritis;0.616;
11;Rondônia;Norte;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;31;1100031;Cabixi;-6,054,431,358;-1,349,976,346;110003;Cabixi;0.65;
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;2;Leste Rondoniense;3;Ariquemes;601;1100601;Cacaulândia;-6,290,318,993;-1,033,887,284;110060;Cacaulândia;0.646;
11;Rondônia;Norte;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;49;1100049;Cacoal;-6,144,294,421;-1,143,386,503;110004;Cacoal;0.718;
11;Rondônia;Norte;1101;Porto Velho;110002;Ariquemes;1;Madeira-Guaporé;1;Porto Velho;700;1100700;Campo Novo de Rondônia;-6,362,499,143;-1,056,841,647;110070;Campo Novo de Rondônia;0.593;
11;Rondônia;Norte;1101;Porto Velho;110001;Porto Velho;1;Madeira-Guaporé;1;Porto Velho;809;1100809;Candeias do Jamari;-6,370,002,007;-8,785,020,703;110080;Candeias do Jamari;0.649;
11;Rondônia;Norte;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;908;1100908;Castanheiras;-619,491,612;-1,142,684,223;110090;Castanheiras;0.658;
11;Rondônia;Norte;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;56;1100056;Cerejeiras;-6,081,842,616;-1,319,503,303;110005;Cerejeiras;0.692;
11;Rondônia;Norte;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;7;Vilhena;924;1100924;Chupinguaia;-6,090,184,775;-1,255,684,076;110092;Chupinguaia;0.652;
11;Rondônia;Norte;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;64;1100064;Colorado do Oeste;-6,055,506,746;-1,313,056,384;110006;Colorado do Oeste;0.685;
11;Rondônia;Norte;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;72;1100072;Corumbiara;-6,094,870,117;-1,299,752,024;110007;Corumbiara;0.613;
11;Rondônia;Norte;1102;Ji-Paraná;110004;Ji-Paraná;1;Madeira-Guaporé;2;Guajará-Mirim;80;1100080;Costa Marques;-6,423,165,394;-1,243,601,388;110008;Costa Marques;0.611;
