"CD_MUNICIPIO_BENEFICIARIO","ano","ans_30_a_39","ans_40_a_49","ans_menor_30","ans_total"
110000,2017,1,0,0,1
110000,2021,0,1,0,1
110001,2015,4,0,1,5
110001,2016,2,0,1,3
110001,2017,5,2,4,11
110001,2018,4,2,0,6
110001,2019,3,0,2,5
110001,2020,4,3,0,7
110001,2021,2,2,0,4
110001,2022,5,0,0,5
110002,2015,2,2,0,4
110002,2016,5,0,4,9
110002,2017,6,0,5,11
110002,2018,3,1,2,6
110002,2019,5,5,0,10
110002,2020,6,2,3,11
110002,2021,3,0,0,3
110002,2022,3,0,3,6
110003,2016,0,0,1,1
110004,2015,13,3,6,22
110004,2016,6,2,6,14
110004,2017,9,2,7,18
110004,2018,11,2,10,23
110004,2019,10,0,5,15
110004,2020,9,1,2,12
110004,2021,10,0,2,12
110004,2022,10,2,1,13
110005,2015,1,0,2,3
110005,2017,1,0,0,1
110005,2022,0,1,0,1
110006,2015,1,0,1,2
110006,2019,1,0,0,1
110006,2022,0,1,1,2
110008,2017,0,0,1,1
110008,2019,1,0,0,1
110009,2015,0,0,3,3
110009,2016,0,0,1,1
110009,2017,1,0,0,1
110009,2018,0,0,2,2
110009,2019,2,3,0,5
110009,2020,1,0,3,4
110009,2021,1,0,1,2
110009,2022,2,0,1,3
110010,2015,3,0,0,3
110010,2016,0,0,1,1
110010,2017,4,0,0,4
110010,2018,1,1,0,2
110010,2019,1,2,0,3
110010,2020,1,0,0,1
110010,2022,0,0,1,1
110011,2015,3,1,1,5
110011,2016,2,1,4,7
110011,2017,1,0,4,5
110011,2018,2,0,1,3
110011,2019,1,0,0,1
110011,2020,2,1,0,3
110011,2021,2,0,1,3
110012,2015,5,0,5,10
110012,2016,1,0,1,2
110012,2017,4,0,3,7
110012,2018,7,0,0,7
110012,2019,10,4,1,15
110012,2020,3,0,8,11
110012,2021,6,2,5,13
110012,2022,4,2,4,10
110013,2019,0,0,3,3
110013,2021,1,0,0,1
110014,2015,2,0,0,2
110014,2016,1,0,0,1
110014,2018,1,0,0,1
110014,2021,1,0,1,2
110015,2015,1,1,4,6
110015,2016,3,0,0,3
110015,2017,2,0,0,2
110015,2018,1,0,2,3
110015,2019,3,1,0,4
110015,2020,1,0,0,1
110015,2021,0,1,0,1
110018,2015,2,0,0,2
110018,2016,2,0,4,6
110018,2017,4,0,2,6
110018,2018,0,1,5,6
110018,2019,5,0,0,5
110018,2020,3,0,1,4
110018,2021,2,0,1,3
110018,2022,3,0,1,4
110020,2015,53,7,45,105
110020,2016,76,2,38,116
110020,2017,64,8,33,105
110020,2018,71,11,37,119
110020,2019,62,8,37,107
110020,2020,81,7,27,115
110020,2021,65,7,24,96
110020,2022,71,28,27,126
110025,2015,1,0,0,1
110025,2016,0,1,0,1
110025,2017,1,0,0,1
110025,2020,1,0,0,1
110025,2021,0,0,1,1
110025,2022,1,0,1,2
110028,2015,3,1,1,5
110028,2016,2,0,2,4
110028,2017,2,0,0,2
110028,2019,1,0,0,1
110028,2020,2,0,2,4
110028,2022,1,1,0,2
110029,2018,1,0,1,2
110030,2015,5,0,0,5
110030,2016,3,1,7,11
110030,2017,5,0,0,5
110030,2018,2,0,6,8
110030,2019,0,0,2,2
110030,2020,2,0,7,9
110030,2021,1,0,4,5
110030,2022,8,1,4,13
110032,2019,1,0,1,2
110032,2020,0,0,1,1
110032,2022,0,0,1,1
110033,2019,1,0,1,2
110034,2021,1,0,0,1
110040,2015,1,0,0,1
110045,2017,0,0,1,1
110045,2018,1,0,0,1
110045,2020,1,0,0,1
110050,2015,0,0,1,1
