"causabas","capitulo_cid10","grupo_cid10","causabas_categoria"
"A00"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A00 Cólera"
"A01"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01 Febres tifóide e paratifóide"
"A02"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02 Outras infecções por Salmonella"
"A03"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03 Shiguelose"
"A04"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas"
"A05"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05 Outras intoxicações alimentares bacterianas, não classificadas em outra parte"
"A06"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase"
"A07"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07 Outras doenças intestinais por protozoários"
"A08"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08 Infecções intestinais virais, outras e as não especificadas"
"A09"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A09 Diarréia e gastroenterite de origem infecciosa presumível"
"A15"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica"
"A16"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica"
"A17"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A17 Tuberculose do sistema nervoso"
"A18"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos"
"A19"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19 Tuberculose miliar"
"A20"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20 Peste"
