"causabas","grupo_cid10"
"A01","Doenças infecciosas intestinais"
"A310","Outras doenças bacterianas"
"A311","Outras doenças bacterianas"
"A318","Outras doenças bacterianas"
"A319","Outras doenças bacterianas"
"A400","Outras doenças bacterianas"
"A401","Outras doenças bacterianas"
"A402","Outras doenças bacterianas"
"A403","Outras doenças bacterianas"
"A408","Outras doenças bacterianas"
"A409","Outras doenças bacterianas"
"A410","Outras doenças bacterianas"
"A411","Outras doenças bacterianas"
"A412","Outras doenças bacterianas"
"A413","Outras doenças bacterianas"
"A414","Outras doenças bacterianas"
"A415","Outras doenças bacterianas"
"A418","Outras doenças bacterianas"
"A419","Outras doenças bacterianas"
"A420","Outras doenças bacterianas"
"A421","Outras doenças bacterianas"
"A422","Outras doenças bacterianas"
"A427","Outras doenças bacterianas"
"A428","Outras doenças bacterianas"
"A429","Outras doenças bacterianas"
"A430","Outras doenças bacterianas"
"A431","Outras doenças bacterianas"
"A438","Outras doenças bacterianas"
"A439","Outras doenças bacterianas"
"A440","Outras doenças bacterianas"
"A441","Outras doenças bacterianas"
"A448","Outras doenças bacterianas"
"A449","Outras doenças bacterianas"
"A480","Outras doenças bacterianas"
"A483","Outras doenças bacterianas"
"A488","Outras doenças bacterianas"
"A490","Outras doenças bacterianas"
"A492","Outras doenças bacterianas"
"A493","Outras doenças bacterianas"
"A498","Outras doenças bacterianas"
"A499","Outras doenças bacterianas"
"A590","Infecções de transmissão predominantemente sexual"
"A598","Infecções de transmissão predominantemente sexual"
"A599","Infecções de transmissão predominantemente sexual"
"A64","Infecções de transmissão predominantemente sexual"
"A710","Outras doenças causadas por clamídias"
"A711","Outras doenças causadas por clamídias"
"A719","Outras doenças causadas por clamídias"
"A740","Outras doenças causadas por clamídias"
"A99","Febres por arbovírus e febres hemorrágicas virais"
"B07","Infecções virais caracterizadas por lesões de pele e mucosas"
"B080","Infecções virais caracterizadas por lesões de pele e mucosas"
"B081","Infecções virais caracterizadas por lesões de pele e mucosas"
"B082","Infecções virais caracterizadas por lesões de pele e mucosas"
"B083","Infecções virais caracterizadas por lesões de pele e mucosas"
"B084","Infecções virais caracterizadas por lesões de pele e mucosas"
"B085","Infecções virais caracterizadas por lesões de pele e mucosas"
"B088","Infecções virais caracterizadas por lesões de pele e mucosas"
"B09","Infecções virais caracterizadas por lesões de pele e mucosas"
"B300","Outras doenças por vírus"
"B301","Outras doenças por vírus"
"B302","Outras doenças por vírus"
"B303","Outras doenças por vírus"
"B308","Outras doenças por vírus"
"B309","Outras doenças por vírus"
"B340","Outras doenças por vírus"
"B341","Outras doenças por vírus"
"B342","Outras doenças por vírus"
"B343","Outras doenças por vírus"
"B344","Outras doenças por vírus"
"B348","Outras doenças por vírus"
"B349","Outras doenças por vírus"
"B350","Micoses"
"B351","Micoses"
"B352","Micoses"
"B353","Micoses"
"B354","Micoses"
"B355","Micoses"
"B356","Micoses"
"B358","Micoses"
"B359","Micoses"
"B360","Micoses"
"B361","Micoses"
"B362","Micoses"
"B363","Micoses"
"B368","Micoses"
"B369","Micoses"
"B370","Micoses"
"B371","Micoses"
"B372","Micoses"
"B373","Micoses"
"B374","Micoses"
"B375","Micoses"
"B376","Micoses"
"B377","Micoses"
"B378","Micoses"
"B379","Micoses"
"B380","Micoses"
"B381","Micoses"
"B382","Micoses"
"B383","Micoses"
"B384","Micoses"
"B387","Micoses"
"B388","Micoses"
"B389","Micoses"
"B390","Micoses"
"B391","Micoses"
"B392","Micoses"
"B393","Micoses"
"B394","Micoses"
"B395","Micoses"
"B399","Micoses"
"B400","Micoses"
"B401","Micoses"
"B402","Micoses"
"B403","Micoses"
"B407","Micoses"
"B408","Micoses"
"B409","Micoses"
"B410","Micoses"
"B417","Micoses"
"B418","Micoses"
"B419","Micoses"
"B420","Micoses"
"B421","Micoses"
"B427","Micoses"
"B428","Micoses"
"B429","Micoses"
"B430","Micoses"
"B431","Micoses"
"B432","Micoses"
"B438","Micoses"
"B439","Micoses"
"B440","Micoses"
"B441","Micoses"
"B442","Micoses"
"B447","Micoses"
"B448","Micoses"
"B449","Micoses"
"B450","Micoses"
"B451","Micoses"
"B452","Micoses"
"B453","Micoses"
"B457","Micoses"
"B458","Micoses"
"B459","Micoses"
"B460","Micoses"
"B461","Micoses"
"B462","Micoses"
"B463","Micoses"
"B464","Micoses"
"B465","Micoses"
"B468","Micoses"
"B469","Micoses"
"B49","Micoses"
"B54","Doenças devidas a protozoários"
"B551","Doenças devidas a protozoários"
"B552","Doenças devidas a protozoários"
"B559","Doenças devidas a protozoários"
"B580","Doenças devidas a protozoários"
"B581","Doenças devidas a protozoários"
"B582","Doenças devidas a protozoários"
"B583","Doenças devidas a protozoários"
"B588","Doenças devidas a protozoários"
"B589","Doenças devidas a protozoários"
"B59","Doenças devidas a protozoários"
"B64","Doenças devidas a protozoários"
"B680","Helmintíases"
"B681","Helmintíases"
"B689","Helmintíases"
"B73","Helmintíases"
"B740","Helmintíases"
"B741","Helmintíases"
"B742","Helmintíases"
"B760","Helmintíases"
"B761","Helmintíases"
"B768","Helmintíases"
"B769","Helmintíases"
"B780","Helmintíases"
"B781","Helmintíases"
"B787","Helmintíases"
"B789","Helmintíases"
"B79","Helmintíases"
"B80","Helmintíases"
"B810","Helmintíases"
"B811","Helmintíases"
"B812","Helmintíases"
"B813","Helmintíases"
"B814","Helmintíases"
"B818","Helmintíases"
"B820","Helmintíases"
"B829","Helmintíases"
"B839","Helmintíases"
"B851","Pediculose, acaríase e outras infestações"
"B852","Pediculose, acaríase e outras infestações"
"B853","Pediculose, acaríase e outras infestações"
"B854","Pediculose, acaríase e outras infestações"
"B870","Pediculose, acaríase e outras infestações"
"B871","Pediculose, acaríase e outras infestações"
"B872","Pediculose, acaríase e outras infestações"
"B873","Pediculose, acaríase e outras infestações"
"B874","Pediculose, acaríase e outras infestações"
"B878","Pediculose, acaríase e outras infestações"
"B879","Pediculose, acaríase e outras infestações"
"B880","Pediculose, acaríase e outras infestações"
"B881","Pediculose, acaríase e outras infestações"
"B882","Pediculose, acaríase e outras infestações"
"B883","Pediculose, acaríase e outras infestações"
"B888","Pediculose, acaríase e outras infestações"
"B889","Pediculose, acaríase e outras infestações"
"B89","Pediculose, acaríase e outras infestações"
"B940","Sequelas de doenças infecciosas e parasitárias"
"B948","Sequelas de doenças infecciosas e parasitárias"
"B949","Sequelas de doenças infecciosas e parasitárias"
"B956","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B957","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B958","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B960","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B961","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B962","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B963","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B964","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B965","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B966","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B967","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B968","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B970","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B971","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B972","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B973","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B974","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B975","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B976","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B977","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
