"causabas","capitulo_cid10","grupo_cid10","causabas_categoria"
"A000"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A00.0 Cólera devida a Vibrio cholerae 01, biótipo cholerae"
"A001"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A00.1 Cólera devida a Vibrio cholerae 01, biótipo El Tor"
"A009"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A00.9 Cólera não especificada"
"A010"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01.0 Febre tifóide"
"A011"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01.1 Febre paratifóide A"
"A012"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01.2 Febre paratifóide B"
"A013"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01.3 Febre paratifóide C"
"A014"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01.4 Febre paratifóide não especificada"
"A020"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02.0 Enterite por salmonela"
"A021"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02.1 Septicemia por salmonela"
"A022"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02.2 Infecções localizadas por salmonela"
"A028"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02.8 Outras infecções especificadas por salmonela"
"A029"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02.9 Infecção não especificada por salmonela"
"A030"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03.0 Shiguelose devida a Shigella dysenteriae"
"A031"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03.1 Shiguelose devida a Shigella flexneri"
"A032"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03.2 Shiguelose devida a Shigella boydii"
"A033"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03.3 Shiguelose devida a Shigella sonnei"
"A038"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03.8 Outras shigueloses"
"A039"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03.9 Shiguelose não especificada"
"A040"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.0 Infecção por Escherichia coli enteropatogênica"
"A041"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.1 Infecção por Escherichia coli enterotoxigênica"
"A042"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.2 Infecção por Escherichia coli enteroinvasiva"
"A043"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.3 Infecção por Escherichia coli enterohemorrágica"
"A044"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.4 Outras infecções intestinais por Escherichia coli"
"A045"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.5 Enterite por Campylobacter"
"A046"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.6 Enterite devida a Yersinia enterocolítica"
"A047"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.7 Enterocolite devida a Clostridium difficile"
"A048"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.8 Outras infecções bacterianas intestinais especificadas"
"A049"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04.9 Infecção intestinal bacteriana não especificada"
"A050"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05.0 Intoxicação alimentar estafilocócica"
"A051"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05.1 Botulismo"
"A052"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05.2 Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]"
"A053"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05.3 Intoxicação alimentar devida a Vibrio parahemolyticus"
"A054"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05.4 Intoxicação alimentar devida a Bacillus cereus"
"A058"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05.8 Outras intoxicações alimentares bacterianas especificadas"
"A059"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05.9 Intoxicação alimentar bacteriana não especificada"
"A060"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.0 Disenteria amebiana aguda"
