UF,ANO,NOME,local,não_local,dentro_regiao_saude,dentro_macrorregiao_saude,fora_macrorregiao_saude,outra_uf,destino_total,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,km_partos_na_região,km_partos_na_região_alta_complexidade,km_partos_na_região_baixa_complexidade,km_partos_na_macrorregião,km_partos_na_macrorregião_alta_complexidade,km_partos_na_macrorregião_baixa_complexidade,km_partos_fora_macrorregião,km_partos_fora_macrorregião_alta_complexidade,km_partos_fora_macrorregião_baixa_complexidade,km_partos_fora_UF,km_partos_fora_UF_alta_complexidade,km_partos_fora_UF_baixa_complexidade
11.0,2012, Rondônia,20413.0,6100.0,4243.0,1092.0,495.0,270.0,26513.0,64.4156,203.5818,59.2458,54.5688,52.2041684925728,66.3496651151563,179.7404,223.1,123.8126,480.0495,481.7105,360.72545,510.8572,510.8572,510.8572
11.0,2013, Rondônia,20730.0,6367.0,4380.0,1226.0,555.0,206.0,27097.0,64.99,131.01682968376,59.5028,57.0634,66.3496651151563,54.5688,179.7404,208.0819,114.0612,480.0495,483.308,334.3138,510.8572,510.8572,510.8572
11.0,2014, Rondônia,20512.0,7048.0,4816.0,1333.0,649.0,250.0,27560.0,77.3936,203.5818,61.6844,59.2458,94.9454278441452,57.0634,203.5818,223.1,123.8126,480.0495,483.308,302.1936,510.8572,510.8572,510.8572
11.0,2015, Rondônia,20170.0,7748.0,5146.0,1566.0,739.0,297.0,27918.0,85.8202380642772,203.5818,63.566,59.5028,94.9454278441452,58.2922,180.7941,223.1,122.2693,480.0495,483.308,353.1487,510.8572,510.8572,510.8572
11.0,2016, Rondônia,18951.0,7651.0,5165.0,1552.0,698.0,236.0,26602.0,85.8202380642772,203.5818,62.5769,61.2882,94.9454278441452,58.2922,186.1847,223.1,122.8315,457.4312,483.308,283.7651,510.8572,543.3227,510.8572
11.0,2017, Rondônia,20029.0,7474.0,5157.0,1454.0,581.0,282.0,27503.0,75.15,131.01682968376,61.2882,59.5028,94.9454278441452,57.0634,179.7404,223.1,123.8126,409.766,480.0495,302.1936,510.8572,757.296,510.8572
11.0,2018, Rondônia,20762.0,7329.0,5121.0,1325.0,577.0,306.0,28091.0,71.9963205214074,115.769463691576,61.6844,59.5028,94.9454278441452,57.0634,159.5067,231.375,110.5588,430.8257,483.308,334.3138,510.8572,510.8572,510.8572
11.0,2019, Rondônia,19998.0,7030.0,4829.0,1310.0,551.0,340.0,27028.0,70.7999,115.769463691576,61.6844,59.5028,94.9454278441452,65.0854470458303,170.61515,223.1,112.591,409.766,481.7105,261.9043,510.8572,757.296,510.8572
11.0,2020, Rondônia,19090.0,6708.0,4573.0,1323.0,443.0,369.0,25798.0,66.3496651151563,115.769463691576,61.6844,59.2458,94.9454278441452,57.0634,147.1197,223.1,126.7395,480.0495,483.308,293.9659,510.8572,510.8572,510.8572
12.0,2012, Acre,13096.0,3604.0,3148.0,429.0,0.0,27.0,16700.0,72.9459,84.7060513046505,60.4966,60.4966,60.4966,60.4966,234.3166,230.9522,234.3166,0,0,0,510.8572,2897.2904,223.1406
12.0,2013, Acre,13357.0,3718.0,3272.0,406.0,0.0,40.0,17075.0,72.9459,82.2347,60.4966,60.4966,60.4966,60.4966,234.3166,230.9522,234.3166,0,0,0,425.65695,1907.6322,392.3086
12.0,2014, Acre,13254.0,3885.0,3461.0,395.0,0.0,29.0,17139.0,60.4966,82.2347,60.4966,60.4966,60.4966,60.4966,230.9522,230.9522,230.9522,0,0,0,459.0053,3098.9591,392.3086
12.0,2015, Acre,12935.0,4045.0,3545.0,469.0,0.0,31.0,16980.0,72.9459,82.2347,72.9459,60.4966,60.4966,60.4966,234.3166,230.9522,234.3166,0,0,0,510.8572,3650.632,510.8572
12.0,2016, Acre,11950.0,3823.0,3318.0,463.0,0.0,42.0,15773.0,72.9459,84.7060513046505,72.9459,60.4966,60.4966,60.4966,230.9522,230.9522,230.9522,0,0,0,425.65695,3134.00705,392.3086
12.0,2017, Acre,12172.0,4186.0,3675.0,473.0,0.0,38.0,16358.0,72.9459,82.2347,72.9459,60.4966,60.4966,60.4966,230.9522,234.3166,230.9522,0,0,0,510.8572,3374.79555,392.3086
12.0,2018, Acre,12349.0,4194.0,3727.0,430.0,0.0,37.0,16543.0,72.9459,82.2347,72.9459,60.4966,60.4966,60.4966,226.9878,230.9522,226.9878,0,0,0,459.0053,3228.64875,392.3086
12.0,2019, Acre,12037.0,4243.0,3796.0,418.0,0.0,29.0,16280.0,72.9459,60.4966,72.9459,60.4966,60.4966,73.7368464423373,230.9522,234.3166,226.9878,0,0,0,701.964,2431.4478,392.3086
12.0,2020, Acre,11164.0,3978.0,3519.0,445.0,0.0,14.0,15142.0,72.9459,82.2347,71.7264,60.4966,60.4966,60.4966,226.9878,230.9522,226.9878,0,0,0,1983.1237,3650.632,510.8572
13.0,2012, Amazonas,72909.0,4525.0,2611.0,472.0,613.0,829.0,77434.0,105.0942,125.7539,101.5978,80.6207,80.6207,80.6207,101.5978,101.5978,101.5978,267.9083,267.9083,267.9083,223.1406,223.1406,223.1406
13.0,2013, Amazonas,74531.0,4510.0,2879.0,493.0,484.0,654.0,79041.0,101.5978,125.7539,94.6299,80.6207,80.6207,65.2453363226739,101.5978,101.5978,130.518510905557,267.9083,267.9083,267.9083,214.2295,223.1406,100.1685
13.0,2014, Amazonas,76032.0,5113.0,3268.0,555.0,587.0,703.0,81145.0,101.5978,125.9933,89.8638,80.6207,125.9933,67.7886,130.518510905557,101.5978,130.518510905557,267.9083,337.0199,267.9083,205.3184,223.1406,21.8444
13.0,2015, Amazonas,74965.0,5132.0,3386.0,497.0,581.0,668.0,80097.0,101.5978,125.9933,89.8638,80.6207,125.9933,65.2453363226739,101.5978,101.5978,101.5978,267.9083,322.9488,267.9083,205.3184,223.1406,56.06395
13.0,2016, Amazonas,71174.0,5529.0,3582.0,754.0,576.0,617.0,76703.0,101.5978,125.9933,80.6207,50.4066,125.7539,50.4066,101.5978,101.5978,101.5978,267.9083,337.0199,267.9083,205.3184,223.1406,21.8444
13.0,2017, Amazonas,72294.0,5772.0,3838.0,587.0,669.0,678.0,78066.0,101.5978,125.9933,89.8638,65.2453363226739,125.7539,50.4066,101.5978,101.5978,101.5978,267.9083,337.0199,267.9083,205.3184,223.1406,21.8444
13.0,2018, Amazonas,72212.0,5875.0,3798.0,684.0,696.0,697.0,78087.0,101.5978,125.9933,89.8638,65.2453363226739,125.7539,50.4066,101.5978,130.518510905557,101.5978,267.9083,322.9488,267.9083,223.1406,223.1406,223.1406
13.0,2019, Amazonas,72005.0,5617.0,3633.0,667.0,610.0,707.0,77622.0,100.1685,125.9933,89.8638,50.4066,125.7539,103.937030200965,101.5978,130.518510905557,101.5978,267.9083,332.0211,267.9083,223.1406,223.1406,223.1406
13.0,2020, Amazonas,70742.0,4893.0,3250.0,433.0,527.0,683.0,75635.0,89.8638,125.9933,80.6207,65.2453363226739,125.7539,50.4066,130.518510905557,116.058155452779,130.518510905557,267.9083,347.9434,267.9083,223.1406,271.9164,100.1685
14.0,2012, Roraima,7958.0,2643.0,1621.0,979.0,0.0,43.0,10601.0,138.9928,864.1031,138.9928,124.1228,124.1228,0.0,296.6059,0.0,296.6059,0,0,0,660.71089331999,864.1031,601.492293363698
14.0,2013, Roraima,7864.0,2950.0,1917.0,987.0,4.0,42.0,10814.0,138.9928,864.1031,138.9928,124.1228,0.0,124.1228,296.6059,0.0,296.6059,  NA,0,  NA,864.1031,864.1031,864.1031
14.0,2014, Roraima,8246.0,2874.0,1917.0,925.0,2.0,30.0,11120.0,138.9928,303.14055,138.9928,124.1228,71.91255,124.1228,296.6059,296.6059,296.6059,  NA,0,0,864.1031,4028.57663119218,631.101593341844
