CODMUNRES,ANO,TOTAL_DE_NASCIDOS_VIVOS,NASCIDOS_VIVOS_COM_BAIXO_PESO,NASCIDOS_VIVOS_PREMATUROS,NASCIDOS_VIVOS_TERMO_PRECOCE
110001,2012,386.0,11.0,29.0,106.0
110001,2013,382.0,15.0,23.0,106.0
110001,2014,341.0,28.0,28.0,89.0
110001,2015,373.0,22.0,36.0,105.0
110001,2016,326.0,22.0,35.0,96.0
110001,2017,354.0,23.0,17.0,120.0
110001,2018,408.0,24.0,40.0,129.0
110001,2019,367.0,26.0,33.0,126.0
110001,2020,333.0,14.0,21.0,128.0
110002,2012,1339.0,87.0,128.0,385.0
110002,2013,1654.0,129.0,149.0,513.0
110002,2014,1647.0,114.0,132.0,631.0
110002,2015,1783.0,109.0,130.0,495.0
110002,2016,1662.0,121.0,94.0,97.0
110002,2017,1724.0,122.0,76.0,74.0
110002,2018,1682.0,102.0,102.0,466.0
110002,2019,1729.0,93.0,119.0,582.0
110002,2020,1507.0,113.0,162.0,516.0
110003,2012,64.0,4.0,6.0,22.0
110003,2013,74.0,5.0,4.0,30.0
110003,2014,75.0,7.0,10.0,21.0
110003,2015,86.0,2.0,4.0,28.0
110003,2016,73.0,5.0,4.0,22.0
110003,2017,67.0,3.0,6.0,18.0
110003,2018,82.0,7.0,7.0,29.0
110003,2019,80.0,2.0,4.0,24.0
110003,2020,69.0,7.0,10.0,17.0
110004,2012,1201.0,78.0,126.0,454.0
110004,2013,1185.0,76.0,132.0,447.0
110004,2014,1307.0,109.0,181.0,451.0
110004,2015,1360.0,99.0,157.0,495.0
110004,2016,1338.0,76.0,139.0,513.0
110004,2017,1452.0,100.0,145.0,518.0
110004,2018,1446.0,81.0,139.0,527.0
110004,2019,1374.0,76.0,141.0,478.0
110004,2020,1325.0,102.0,173.0,495.0
110005,2012,245.0,13.0,21.0,71.0
110005,2013,271.0,10.0,14.0,79.0
110005,2014,250.0,16.0,16.0,103.0
110005,2015,277.0,17.0,14.0,87.0
110005,2016,263.0,18.0,25.0,71.0
110005,2017,277.0,24.0,21.0,91.0
110005,2018,264.0,20.0,24.0,87.0
110005,2019,237.0,25.0,26.0,70.0
110005,2020,269.0,9.0,9.0,91.0
110006,2012,214.0,15.0,19.0,39.0
110006,2013,256.0,18.0,23.0,78.0
110006,2014,273.0,16.0,14.0,122.0
110006,2015,251.0,20.0,19.0,97.0
110006,2016,223.0,12.0,11.0,87.0
110006,2017,243.0,12.0,10.0,78.0
110006,2018,235.0,19.0,20.0,78.0
110006,2019,214.0,22.0,12.0,71.0
110006,2020,203.0,14.0,18.0,71.0
110007,2012,116.0,9.0,12.0,20.0
110007,2013,116.0,9.0,9.0,37.0
110007,2014,125.0,5.0,5.0,59.0
110007,2015,111.0,5.0,1.0,33.0
110007,2016,139.0,9.0,8.0,37.0
110007,2017,87.0,8.0,4.0,31.0
110007,2018,129.0,6.0,6.0,30.0
110007,2019,127.0,4.0,7.0,29.0
110007,2020,107.0,6.0,5.0,37.0
110008,2012,234.0,6.0,19.0,56.0
110008,2013,234.0,14.0,16.0,55.0
110008,2014,267.0,21.0,39.0,74.0
110008,2015,245.0,16.0,29.0,58.0
110008,2016,213.0,16.0,23.0,68.0
110008,2017,216.0,12.0,18.0,58.0
110008,2018,246.0,15.0,18.0,64.0
110008,2019,233.0,14.0,23.0,62.0
110008,2020,190.0,13.0,26.0,54.0
110009,2012,476.0,27.0,35.0,107.0
110009,2013,463.0,27.0,45.0,113.0
110009,2014,496.0,29.0,41.0,131.0
110009,2015,548.0,27.0,47.0,127.0
110009,2016,486.0,45.0,50.0,132.0
110009,2017,533.0,22.0,30.0,125.0
110009,2018,476.0,20.0,30.0,106.0
110009,2019,450.0,30.0,36.0,97.0
110009,2020,471.0,30.0,55.0,109.0
110010,2012,940.0,64.0,124.0,248.0
110010,2013,879.0,61.0,134.0,179.0
110010,2014,923.0,54.0,129.0,211.0
110010,2015,831.0,52.0,129.0,168.0
110010,2016,884.0,62.0,138.0,196.0
110010,2017,842.0,54.0,124.0,178.0
110010,2018,926.0,52.0,114.0,184.0
110010,2019,781.0,45.0,120.0,182.0
110010,2020,858.0,59.0,137.0,218.0
110011,2012,808.0,55.0,89.0,246.0
110011,2013,914.0,66.0,89.0,289.0
110011,2014,867.0,43.0,38.0,259.0
110011,2015,788.0,48.0,40.0,245.0
110011,2016,807.0,48.0,47.0,265.0
110011,2017,846.0,66.0,50.0,273.0
110011,2018,911.0,60.0,55.0,320.0
110011,2019,881.0,50.0,72.0,286.0
110011,2020,892.0,70.0,101.0,330.0
110012,2012,2075.0,122.0,176.0,574.0
110012,2013,1971.0,118.0,173.0,603.0
110012,2014,1956.0,120.0,191.0,561.0
110012,2015,2094.0,141.0,201.0,669.0
110012,2016,1976.0,115.0,216.0,644.0
110012,2017,2050.0,126.0,171.0,465.0
110012,2018,2278.0,172.0,244.0,652.0
110012,2019,2182.0,141.0,193.0,604.0
110012,2020,2133.0,122.0,224.0,620.0
110013,2012,542.0,45.0,60.0,176.0
110013,2013,514.0,29.0,49.0,149.0
110013,2014,507.0,33.0,52.0,147.0
110013,2015,480.0,38.0,54.0,122.0
110013,2016,398.0,33.0,40.0,80.0
110013,2017,449.0,35.0,32.0,77.0
110013,2018,517.0,33.0,48.0,165.0
110013,2019,500.0,45.0,71.0,126.0
110013,2020,561.0,27.0,58.0,173.0
110014,2012,271.0,23.0,31.0,89.0
110014,2013,278.0,15.0,26.0,119.0
110014,2014,254.0,12.0,22.0,113.0
110014,2015,256.0,14.0,26.0,111.0
110014,2016,276.0,6.0,22.0,97.0
110014,2017,224.0,11.0,20.0,80.0
110014,2018,290.0,18.0,22.0,117.0
110014,2019,261.0,20.0,27.0,91.0
110014,2020,230.0,11.0,16.0,92.0
110015,2012,647.0,35.0,54.0,148.0
110015,2013,639.0,39.0,64.0,232.0
110015,2014,674.0,50.0,42.0,105.0
110015,2015,767.0,38.0,46.0,230.0
110015,2016,582.0,33.0,53.0,219.0
110015,2017,578.0,35.0,58.0,202.0
110015,2018,614.0,45.0,56.0,235.0
110015,2019,631.0,41.0,60.0,243.0
110015,2020,600.0,50.0,58.0,255.0
110018,2012,553.0,29.0,52.0,189.0
110018,2013,581.0,33.0,64.0,216.0
110018,2014,597.0,38.0,68.0,208.0
110018,2015,594.0,37.0,59.0,205.0
110018,2016,601.0,39.0,57.0,222.0
110018,2017,615.0,43.0,62.0,214.0
110018,2018,651.0,39.0,51.0,221.0
110018,2019,616.0,30.0,47.0,223.0
110018,2020,579.0,40.0,58.0,205.0
110020,2012,8941.0,637.0,938.0,1938.0
110020,2013,8927.0,611.0,868.0,1792.0
110020,2014,9130.0,645.0,795.0,1599.0
110020,2015,9093.0,687.0,919.0,2037.0
110020,2016,8611.0,663.0,851.0,2143.0
110020,2017,8800.0,614.0,794.0,2058.0
110020,2018,8752.0,657.0,907.0,2158.0
110020,2019,8437.0,687.0,813.0,2167.0
110020,2020,7893.0,611.0,783.0,2051.0
110025,2012,243.0,15.0,21.0,54.0
110025,2013,258.0,18.0,21.0,93.0
110025,2014,289.0,10.0,16.0,86.0
110025,2015,262.0,19.0,20.0,101.0
110025,2016,276.0,18.0,23.0,90.0
110025,2017,289.0,31.0,35.0,100.0
110025,2018,294.0,22.0,28.0,121.0
110025,2019,304.0,29.0,41.0,105.0
110025,2020,259.0,18.0,31.0,113.0
110026,2012,41.0,3.0,3.0,16.0
110026,2013,38.0,1.0,0.0,11.0
110026,2014,36.0,2.0,3.0,18.0
110026,2015,36.0,4.0,1.0,8.0
110026,2016,35.0,1.0,1.0,2.0
110026,2017,49.0,1.0,1.0,2.0
110026,2018,46.0,3.0,5.0,17.0
110026,2019,50.0,7.0,7.0,27.0
110026,2020,48.0,3.0,7.0,21.0
110028,2012,927.0,81.0,106.0,246.0
110028,2013,879.0,52.0,84.0,261.0
110028,2014,947.0,46.0,74.0,289.0
110028,2015,936.0,53.0,73.0,272.0
110028,2016,855.0,61.0,89.0,285.0
110028,2017,963.0,54.0,81.0,319.0
110028,2018,900.0,62.0,76.0,308.0
110028,2019,927.0,59.0,94.0,322.0
110028,2020,877.0,57.0,89.0,310.0
110029,2012,118.0,3.0,10.0,36.0
110029,2013,98.0,6.0,9.0,30.0
110029,2014,103.0,1.0,9.0,30.0
110029,2015,109.0,10.0,13.0,31.0
110029,2016,114.0,9.0,14.0,45.0
110029,2017,112.0,8.0,7.0,33.0
110029,2018,103.0,5.0,12.0,31.0
110029,2019,99.0,7.0,7.0,39.0
110029,2020,99.0,6.0,6.0,43.0
110030,2012,1269.0,108.0,133.0,336.0
110030,2013,1388.0,93.0,140.0,374.0
110030,2014,1418.0,95.0,103.0,537.0
110030,2015,1535.0,118.0,76.0,587.0
110030,2016,1427.0,117.0,83.0,515.0
110030,2017,1465.0,110.0,94.0,525.0
110030,2018,1557.0,100.0,113.0,515.0
110030,2019,1590.0,131.0,126.0,484.0
110030,2020,1553.0,123.0,145.0,465.0
110032,2012,313.0,16.0,27.0,73.0
110032,2013,355.0,20.0,28.0,111.0
110032,2014,364.0,19.0,34.0,95.0
110032,2015,311.0,18.0,27.0,91.0
110032,2016,337.0,20.0,18.0,88.0
110032,2017,372.0,23.0,29.0,130.0
110032,2018,391.0,30.0,33.0,125.0
110032,2019,353.0,17.0,26.0,139.0
110032,2020,363.0,33.0,24.0,142.0
110033,2012,383.0,26.0,61.0,101.0
110033,2013,416.0,20.0,36.0,121.0
110033,2014,425.0,27.0,40.0,119.0
110033,2015,404.0,24.0,49.0,97.0
110033,2016,411.0,22.0,34.0,127.0
110033,2017,487.0,33.0,45.0,143.0
110033,2018,482.0,32.0,35.0,115.0
110033,2019,432.0,32.0,39.0,125.0
110033,2020,423.0,21.0,43.0,145.0
110034,2012,189.0,11.0,15.0,33.0
110034,2013,220.0,19.0,18.0,53.0
110034,2014,184.0,13.0,19.0,35.0
110034,2015,200.0,12.0,22.0,62.0
110034,2016,166.0,8.0,11.0,51.0
110034,2017,178.0,17.0,13.0,52.0
110034,2018,162.0,9.0,14.0,49.0
110034,2019,205.0,14.0,12.0,72.0
110034,2020,210.0,27.0,33.0,95.0
110037,2012,189.0,8.0,14.0,42.0
110037,2013,163.0,10.0,15.0,49.0
110037,2014,172.0,7.0,10.0,45.0
110037,2015,149.0,6.0,9.0,44.0
110037,2016,168.0,11.0,9.0,53.0
110037,2017,172.0,13.0,17.0,54.0
110037,2018,160.0,7.0,14.0,47.0
