CODMUNRES;ANO;total_internacoes;casos_MMG;casos_MMG_hipertensao;casos_MMG_Hemorragia;casos_MMG_infeccoes;casos_MMG_UTI;casos_MMG_TMP;casos_MMG_Transfusao;casos_MMG_cirurgia
110001;2012;266;9;5;0;2;0;2;0;0
110001;2013;302;10;7;0;1;1;1;0;0
110001;2014;322;17;7;1;0;0;3;0;6
110001;2015;361;10;5;3;0;1;4;3;1
110001;2016;307;17;8;5;0;0;3;2;3
110001;2017;365;13;5;4;0;0;3;2;1
110001;2018;435;17;9;5;0;1;4;4;3
110001;2019;455;27;14;5;3;1;4;3;2
110001;2020;367;12;9;3;0;0;1;2;3
110002;2012;1102;42;9;20;3;0;9;16;4
110002;2013;1196;67;25;16;2;3;25;9;7
110002;2014;1069;59;15;18;3;2;26;14;2
110002;2015;1188;62;21;19;2;0;22;8;12
110002;2016;1265;80;19;20;6;1;27;12;21
110002;2017;1299;74;21;26;3;1;14;12;21
110002;2018;1344;100;40;30;3;2;14;11;27
110002;2019;1497;73;23;21;3;3;15;10;21
110002;2020;1154;65;21;27;1;0;6;12;16
110003;2012;43;0;0;0;0;0;0;0;0
110003;2013;37;2;0;2;0;0;0;0;1
110003;2014;49;2;1;1;0;0;0;1;0
110003;2015;70;2;0;1;0;0;1;1;0
110003;2016;59;1;0;0;0;0;1;0;0
110003;2017;50;2;0;0;0;0;2;0;0
110003;2018;67;7;4;0;0;1;1;0;2
110003;2019;67;6;1;2;0;2;3;2;0
110003;2020;72;2;0;1;0;0;1;0;1
110004;2012;1324;56;27;23;3;0;4;20;0
110004;2013;1467;122;50;62;1;0;14;21;2
110004;2014;1357;127;49;62;3;3;15;15;0
110004;2015;1413;115;38;58;1;2;24;13;2
110004;2016;1405;118;42;63;2;1;14;14;3
110004;2017;1432;102;52;42;2;0;7;9;0
110004;2018;1554;99;52;23;9;0;15;4;6
110004;2019;1525;103;66;22;5;1;9;6;5
110004;2020;1415;76;38;25;0;0;8;9;8
110005;2012;271;10;7;1;0;2;0;0;1
110005;2013;311;20;8;9;0;1;1;1;2
110005;2014;296;8;2;2;0;1;3;2;1
110005;2015;309;5;3;2;0;0;0;1;1
110005;2016;261;16;6;4;0;1;4;2;3
110005;2017;223;8;6;1;0;1;0;0;0
110005;2018;225;12;3;3;0;0;6;3;0
110005;2019;204;11;5;2;0;0;3;2;1
110005;2020;222;9;4;2;0;1;2;2;1
110006;2012;197;14;8;6;0;0;0;0;1
110006;2013;183;9;5;3;0;0;2;0;2
110006;2014;284;6;4;1;0;0;1;1;0
110006;2015;227;8;1;3;0;0;2;2;2
110006;2016;152;5;3;2;0;1;0;2;0
110006;2017;174;4;1;2;0;0;2;1;0
110006;2018;200;12;6;2;0;1;1;2;1
110006;2019;163;12;2;6;0;2;3;5;0
110006;2020;137;7;1;5;0;2;2;4;0
110007;2012;54;2;0;2;0;0;0;0;2
110007;2013;66;3;0;1;0;0;2;0;0
110007;2014;90;3;1;2;0;0;0;0;0
110007;2015;88;0;0;0;0;0;0;0;0
110007;2016;89;1;0;1;0;0;0;1;0
110007;2017;79;3;0;3;0;0;0;1;3
110007;2018;91;5;0;4;0;2;0;4;0
110007;2019;82;1;1;0;0;0;0;0;0
110007;2020;63;4;0;2;0;1;2;1;0
110008;2012;59;5;3;0;0;0;2;0;0
110008;2013;42;4;2;1;0;1;1;1;0
110008;2014;223;8;4;2;0;0;2;2;0
110008;2015;179;11;8;2;0;0;1;1;0
110008;2016;164;19;17;1;0;0;1;0;0
110008;2017;198;18;14;3;0;0;1;1;0
110008;2018;246;15;12;0;0;0;4;0;0
110008;2019;231;17;8;1;1;0;9;0;2
110008;2020;146;13;5;2;0;0;6;2;2
110009;2012;283;13;4;6;0;0;0;3;5
110009;2013;287;27;6;13;2;0;4;8;4
110009;2014;276;17;3;8;0;0;3;6;5
110009;2015;261;14;5;6;0;0;3;1;0
110009;2016;362;21;8;5;0;0;6;1;2
110009;2017;366;9;3;4;0;0;2;3;0
110009;2018;355;17;7;6;0;2;4;2;1
110009;2019;373;17;10;6;0;0;2;4;1
110009;2020;327;25;12;9;0;0;4;7;1
110010;2012;1030;50;24;15;5;0;3;1;9
110010;2013;985;37;11;9;8;0;8;1;4
110010;2014;993;45;13;12;9;1;7;1;11
110010;2015;926;46;14;7;11;1;9;1;10
110010;2016;897;44;24;11;4;2;6;4;3
110010;2017;1100;96;60;24;2;1;6;2;6
110010;2018;1137;83;47;11;7;0;13;3;12
110010;2019;1000;61;37;7;7;0;8;2;7
110010;2020;1020;68;25;15;9;2;8;3;21
110011;2012;638;12;4;0;0;0;8;0;1
110011;2013;798;17;9;6;0;0;3;4;0
110011;2014;626;18;11;2;0;0;7;2;1
110011;2015;739;31;10;5;3;1;9;3;4
110011;2016;772;28;11;13;0;0;5;11;0
110011;2017;807;39;14;16;1;2;7;12;2
110011;2018;848;40;15;18;0;0;3;8;5
110011;2019;847;37;9;19;0;0;6;14;4
110011;2020;871;50;18;19;1;2;6;14;5
110012;2012;1742;53;28;15;3;0;7;8;1
110012;2013;1805;56;18;26;2;1;12;19;2
110012;2014;2205;85;33;33;5;1;14;23;8
110012;2015;1997;96;66;29;0;1;4;18;1
110012;2016;1960;85;40;39;2;2;12;32;2
110012;2017;1964;87;35;38;4;3;13;26;3
110012;2018;2212;119;41;47;10;1;18;20;8
110012;2019;2151;152;80;44;8;1;20;32;14
110012;2020;1777;94;42;23;6;1;9;14;18
110013;2012;617;4;0;1;0;0;0;1;0
110013;2013;545;6;2;4;0;1;2;3;2
110013;2014;530;19;10;7;0;0;1;2;2
110013;2015;284;17;6;5;0;0;5;4;2
