"codmunres","ano","municipio","uf","regiao","nascidos","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal"
110001,2012,"Alta Floresta D'Oeste","RO","Norte",386,0,0,0,0,0,0
110001,2013,"Alta Floresta D'Oeste","RO","Norte",382,0,0,0,0,0,0
110001,2014,"Alta Floresta D'Oeste","RO","Norte",341,0,0,0,0,0,0
110001,2015,"Alta Floresta D'Oeste","RO","Norte",373,1,0,0,0,0,0
110001,2016,"Alta Floresta D'Oeste","RO","Norte",326,0,0,0,0,0,0
110001,2017,"Alta Floresta D'Oeste","RO","Norte",354,0,0,0,0,0,0
110001,2018,"Alta Floresta D'Oeste","RO","Norte",408,0,0,0,0,0,0
110001,2019,"Alta Floresta D'Oeste","RO","Norte",367,0,0,0,0,0,0
110001,2020,"Alta Floresta D'Oeste","RO","Norte",333,0,0,0,0,0,0
110002,2012,"Ariquemes","RO","Norte",1339,1,0,0,0,0,0
110002,2013,"Ariquemes","RO","Norte",1654,1,0,0,0,0,0
110002,2014,"Ariquemes","RO","Norte",1647,2,1,0,1,0,0
110002,2015,"Ariquemes","RO","Norte",1783,2,1,1,0,0,0
110002,2016,"Ariquemes","RO","Norte",1662,2,1,0,0,1,0
110002,2017,"Ariquemes","RO","Norte",1724,1,1,0,0,1,0
110002,2018,"Ariquemes","RO","Norte",1682,0,0,0,0,0,0
110002,2019,"Ariquemes","RO","Norte",1729,1,1,0,0,1,0
110002,2020,"Ariquemes","RO","Norte",1507,2,1,0,0,0,0
110003,2012,"Cabixi","RO","Norte",64,0,0,0,0,0,0
110003,2013,"Cabixi","RO","Norte",74,0,0,0,0,0,0
110003,2014,"Cabixi","RO","Norte",75,0,0,0,0,0,0
110003,2015,"Cabixi","RO","Norte",86,0,0,0,0,0,0
110003,2016,"Cabixi","RO","Norte",73,0,0,0,0,0,0
110003,2017,"Cabixi","RO","Norte",67,0,0,0,0,0,0
110003,2018,"Cabixi","RO","Norte",82,0,0,0,0,0,0
110003,2019,"Cabixi","RO","Norte",80,0,0,0,0,0,0
110003,2020,"Cabixi","RO","Norte",69,0,0,0,0,0,0
110004,2012,"Cacoal","RO","Norte",1201,0,0,0,0,0,0
110004,2013,"Cacoal","RO","Norte",1185,0,0,0,0,0,0
110004,2014,"Cacoal","RO","Norte",1307,1,1,0,1,0,0
110004,2015,"Cacoal","RO","Norte",1360,0,0,0,0,0,0
110004,2016,"Cacoal","RO","Norte",1338,1,1,0,0,1,0
110004,2017,"Cacoal","RO","Norte",1452,0,0,0,0,0,0
110004,2018,"Cacoal","RO","Norte",1446,0,0,0,0,0,0
110004,2019,"Cacoal","RO","Norte",1374,0,0,0,0,0,0
110004,2020,"Cacoal","RO","Norte",1325,3,1,1,0,0,0
110005,2012,"Cerejeiras","RO","Norte",245,0,0,0,0,0,0
110005,2013,"Cerejeiras","RO","Norte",271,0,0,0,0,0,0
110005,2014,"Cerejeiras","RO","Norte",250,0,0,0,0,0,0
110005,2015,"Cerejeiras","RO","Norte",277,0,0,0,0,0,0
110005,2016,"Cerejeiras","RO","Norte",263,1,1,0,0,0,0
110005,2017,"Cerejeiras","RO","Norte",277,0,0,0,0,0,0
110005,2018,"Cerejeiras","RO","Norte",264,0,0,0,0,0,0
110005,2019,"Cerejeiras","RO","Norte",237,0,0,0,0,0,0
110005,2020,"Cerejeiras","RO","Norte",269,0,0,0,0,0,0
110006,2012,"Colorado do Oeste","RO","Norte",214,0,0,0,0,0,0
110006,2013,"Colorado do Oeste","RO","Norte",256,0,0,0,0,0,0
110006,2014,"Colorado do Oeste","RO","Norte",273,0,0,0,0,0,0
110006,2015,"Colorado do Oeste","RO","Norte",251,0,0,0,0,0,0
110006,2016,"Colorado do Oeste","RO","Norte",223,1,1,0,0,0,0
110006,2017,"Colorado do Oeste","RO","Norte",243,1,1,0,0,0,1
110006,2018,"Colorado do Oeste","RO","Norte",235,0,0,0,0,0,0
110006,2019,"Colorado do Oeste","RO","Norte",214,1,0,0,0,0,0
110006,2020,"Colorado do Oeste","RO","Norte",203,0,0,0,0,0,0
110007,2012,"Corumbiara","RO","Norte",116,0,0,0,0,0,0
110007,2013,"Corumbiara","RO","Norte",116,0,0,0,0,0,0
110007,2014,"Corumbiara","RO","Norte",125,0,0,0,0,0,0
110007,2015,"Corumbiara","RO","Norte",111,0,0,0,0,0,0
110007,2016,"Corumbiara","RO","Norte",139,0,0,0,0,0,0
110007,2017,"Corumbiara","RO","Norte",87,0,0,0,0,0,0
110007,2018,"Corumbiara","RO","Norte",129,0,0,0,0,0,0
110007,2019,"Corumbiara","RO","Norte",127,0,0,0,0,0,0
110007,2020,"Corumbiara","RO","Norte",107,0,0,0,0,0,0
110008,2012,"Costa Marques","RO","Norte",234,0,0,0,0,0,0
110008,2013,"Costa Marques","RO","Norte",234,0,0,0,0,0,0
110008,2014,"Costa Marques","RO","Norte",267,0,0,0,0,0,0
110008,2015,"Costa Marques","RO","Norte",245,0,0,0,0,0,0
110008,2016,"Costa Marques","RO","Norte",213,0,0,0,0,0,0
110008,2017,"Costa Marques","RO","Norte",216,0,0,0,0,0,0
110008,2018,"Costa Marques","RO","Norte",246,0,0,0,0,0,0
110008,2019,"Costa Marques","RO","Norte",233,0,0,0,0,0,0
110008,2020,"Costa Marques","RO","Norte",190,0,0,0,0,0,0
110009,2012,"Espigão D'Oeste","RO","Norte",476,1,1,0,1,0,0
110009,2013,"Espigão D'Oeste","RO","Norte",463,0,0,0,0,0,0
110009,2014,"Espigão D'Oeste","RO","Norte",496,0,0,0,0,0,0
110009,2015,"Espigão D'Oeste","RO","Norte",548,0,0,0,0,0,0
110009,2016,"Espigão D'Oeste","RO","Norte",486,0,0,0,0,0,0
110009,2017,"Espigão D'Oeste","RO","Norte",533,0,0,0,0,0,0
110009,2018,"Espigão D'Oeste","RO","Norte",476,1,1,0,0,0,0
110009,2019,"Espigão D'Oeste","RO","Norte",450,0,0,0,0,0,0
110009,2020,"Espigão D'Oeste","RO","Norte",471,0,0,0,0,0,0
110010,2012,"Guajará-Mirim","RO","Norte",940,0,0,0,0,0,0
110010,2013,"Guajará-Mirim","RO","Norte",879,0,0,0,0,0,0
110010,2014,"Guajará-Mirim","RO","Norte",923,1,1,0,0,0,0
110010,2015,"Guajará-Mirim","RO","Norte",831,0,0,0,0,0,0
110010,2016,"Guajará-Mirim","RO","Norte",884,0,0,0,0,0,0
110010,2017,"Guajará-Mirim","RO","Norte",842,1,1,0,1,0,0
110010,2018,"Guajará-Mirim","RO","Norte",926,0,0,0,0,0,0
110010,2019,"Guajará-Mirim","RO","Norte",781,0,0,0,0,0,0
110010,2020,"Guajará-Mirim","RO","Norte",858,3,2,0,1,1,0
110011,2012,"Jaru","RO","Norte",808,0,0,0,0,0,0
110011,2013,"Jaru","RO","Norte",914,0,0,0,0,0,0
110011,2014,"Jaru","RO","Norte",867,0,0,0,0,0,0
110011,2015,"Jaru","RO","Norte",788,0,0,0,0,0,0
110011,2016,"Jaru","RO","Norte",807,0,0,0,0,0,0
110011,2017,"Jaru","RO","Norte",846,2,1,0,0,1,0
110011,2018,"Jaru","RO","Norte",911,1,1,0,0,1,0
110011,2019,"Jaru","RO","Norte",881,0,0,0,0,0,0
