"codmunres","municipio","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","uf","idhm"
"1",110001,"Alta Floresta D'Oeste","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)","Rondônia","0.641"
"2",110002,"Ariquemes","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho","Rondônia","0.702"
"3",110003,"Cabixi","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)","Rondônia","0.65"
"4",110004,"Cacoal","Norte",11002,"Café",1101,"Macrorregional II (Cacoal)","Rondônia","0.718"
"5",110005,"Cerejeiras","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)","Rondônia","0.692"
"6",110006,"Colorado do Oeste","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)","Rondônia","0.685"
"7",110007,"Corumbiara","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)","Rondônia","0.613"
"8",110008,"Costa Marques","Norte",11007,"Vale do Guaporé",1101,"Macrorregional II (Cacoal)","Rondônia","0.611"
"9",110009,"Espigão D'Oeste","Norte",11002,"Café",1101,"Macrorregional II (Cacoal)","Rondônia","0.672"
"10",110010,"Guajará-Mirim","Norte",11004,"Madeira-Mamoré",1102,"Macrorregiao I - Porto Velho","Rondônia","0.657"
"11",110011,"Jaru","Norte",11003,"Central",1102,"Macrorregiao I - Porto Velho","Rondônia","0.689"
"12",110012,"Ji-Paraná","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)","Rondônia","0.714"
"13",110013,"Machadinho D'Oeste","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho","Rondônia","0.596"
"14",110014,"Nova Brasilândia D'Oeste","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)","Rondônia","0.643"
"15",110015,"Ouro Preto do Oeste","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)","Rondônia","0.682"
"16",110018,"Pimenta Bueno","Norte",11002,"Café",1101,"Macrorregional II (Cacoal)","Rondônia","0.71"
"17",110020,"Porto Velho","Norte",11004,"Madeira-Mamoré",1102,"Macrorregiao I - Porto Velho","Rondônia","0.736"
"18",110025,"Presidente Médici","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)","Rondônia","0.664"
"19",110026,"Rio Crespo","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho","Rondônia","0.643"
"20",110028,"Rolim de Moura","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)","Rondônia","0.7"
"21",110029,"Santa Luzia D'Oeste","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)","Rondônia","0.67"
"22",110030,"Vilhena","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)","Rondônia","0.731"
"23",110032,"São Miguel do Guaporé","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)","Rondônia","0.646"
"24",110033,"Nova Mamoré","Norte",11004,"Madeira-Mamoré",1102,"Macrorregiao I - Porto Velho","Rondônia","0.587"
"25",110034,"Alvorada D'Oeste","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)","Rondônia","0.643"
"26",110037,"Alto Alegre dos Parecis","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)","Rondônia","0.592"
