"codmunres","ano","total_de_nascidos_vivos","nvm_menor_que_20","mulheres_com_mais_de_tres_partos_anteriores","pop_feminina_10_a_19","pop_fem_10_49","beneficiarias_10_a_49","abortos_ans_30_a_39","abortos_ans_menor_30","abortos_ans_40_a_49","abortos_sus_30_a_39","abortos_sus_menor_30","abortos_sus_40_a_49","pop_fem_ans_10_49","pop_fem_sus_10_49","total_de_nascidos_vivos_ans","total_de_nascidos_vivos_sus"
"110001",2012,386,76,20,2256,7810,3257,0,0,0,0,0,0,625,7185,31,355
"110001",2013,382,79,19,2162,7704,1018,0,0,0,0,0,0,616,7088,31,351
"110001",2014,341,69,19,2065,7591,621,0,0,0,0,0,0,622,6969,28,313
"110001",2015,373,74,15,1966,7466,646,4,1,0,5,3,0,650,6816,32,341
"110001",2016,326,58,19,1900,7352,671,2,1,0,3,8,2,669,6683,30,296
"110001",2017,354,62,13,1830,7227,589,5,4,2,1,4,0,585,6642,29,325
"110001",2018,408,61,14,1758,7096,557,4,0,2,4,8,1,553,6543,32,376
"110001",2019,367,55,10,1687,6961,498,3,2,0,8,7,0,501,6460,26,341
"110001",2020,333,59,9,1615,6820,470,4,0,3,1,6,0,471,6349,23,310
"110001",2021,357,60,11,1545,6690,414,2,0,2,8,3,1,415,6275,22,335
"110001",2022,368,64,8,NA,NA,NA,5,0,0,0,1,1,NA,NA,NA,NA
"110002",2012,1339,301,35,9407,32588,2770,0,0,0,0,0,0,2770,29818,114,1225
"110002",2013,1654,365,75,9448,33143,2930,0,0,0,0,0,0,2917,30226,146,1508
"110002",2014,1647,387,50,9481,33684,2983,0,0,0,0,0,0,2998,30686,147,1500
"110002",2015,1783,385,45,9510,34218,3072,2,0,2,16,50,3,3080,31138,160,1623
"110002",2016,1662,344,12,9450,34619,2995,5,4,0,18,54,0,3012,31607,145,1517
"110002",2017,1724,340,8,9373,34984,2892,6,5,0,34,53,3,2904,32080,143,1581
"110002",2018,1682,304,47,9298,35361,2798,3,2,1,20,45,3,2794,32567,133,1549
"110002",2019,1729,334,58,9211,35679,2968,5,0,5,17,55,2,2961,32718,144,1585
"110002",2020,1507,266,44,9135,35954,2970,6,3,2,17,45,6,2984,32970,125,1382
"110002",2021,1545,265,52,8927,36223,2900,3,0,0,20,43,4,2898,33325,124,1421
"110002",2022,1505,210,37,NA,NA,NA,3,3,0,11,35,2,NA,NA,NA,NA
"110003",2012,64,17,0,523,1873,68,0,0,0,0,0,0,67,1806,2,62
"110003",2013,74,11,2,494,1835,102,0,0,0,0,0,0,103,1732,4,70
"110003",2014,75,12,0,460,1789,100,0,0,0,0,0,0,100,1689,4,71
"110003",2015,86,15,1,428,1733,104,0,0,0,0,4,0,104,1629,5,81
"110003",2016,73,12,1,409,1690,74,0,1,0,0,2,0,74,1616,3,70
"110003",2017,67,8,1,388,1649,66,0,0,0,0,0,1,66,1583,3,64
"110003",2018,82,7,1,369,1598,60,0,0,0,0,0,0,61,1537,3,79
"110003",2019,80,14,2,348,1549,56,0,0,0,0,1,0,56,1493,3,77
"110003",2020,69,8,4,328,1502,58,0,0,0,0,0,0,59,1443,3,66
"110003",2021,68,15,1,312,1460,53,0,0,0,0,2,0,53,1407,2,66
"110003",2022,64,10,1,NA,NA,NA,0,0,0,0,1,1,NA,NA,NA,NA
"110004",2012,1201,227,56,7515,27621,2594,0,0,0,0,0,0,2983,24638,130,1071
"110004",2013,1185,225,43,7379,27704,2820,0,0,0,0,0,0,2826,24878,121,1064
"110004",2014,1307,222,35,7211,27761,2973,0,0,0,0,0,0,2970,24791,140,1167
"110004",2015,1360,215,38,7045,27787,3151,13,6,3,31,54,3,3140,24647,154,1206
"110004",2016,1338,213,43,6920,27824,3151,6,6,2,30,74,3,3144,24680,151,1187
"110004",2017,1452,199,37,6778,27824,3100,9,7,2,19,64,5,3088,24736,161,1291
"110004",2018,1446,200,38,6628,27800,3042,11,10,2,37,68,6,3030,24770,158,1288
"110004",2019,1374,174,32,6479,27748,2928,10,5,0,27,54,2,2941,24807,146,1228
"110004",2020,1325,161,34,6332,27681,2910,9,2,1,28,57,5,2907,24774,139,1186
"110004",2021,1366,148,31,6188,27605,2930,10,2,0,9,18,3,2926,24679,145,1221
"110004",2022,1353,157,23,NA,NA,NA,10,1,2,19,24,5,NA,NA,NA,NA
"110005",2012,245,49,5,1564,5676,258,0,0,0,0,0,0,255,5421,11,234
"110005",2013,271,61,6,1491,5602,252,0,0,0,0,0,0,252,5350,12,259
"110005",2014,250,53,8,1422,5526,284,0,0,0,0,0,0,282,5244,13,237
"110005",2015,277,41,8,1354,5451,320,1,2,0,5,10,2,322,5129,16,261
"110005",2016,263,43,3,1309,5387,317,0,0,0,4,9,1,318,5069,16,247
"110005",2017,277,46,7,1261,5309,294,1,0,0,1,4,0,292,5017,15,262
"110005",2018,264,39,7,1212,5221,286,0,0,0,4,5,0,287,4934,15,249
