"MUNIC_RES","ano","sih_30_a_39","sih_40_a_49","sih_menor_30","sih_total"
110001,"2015",5,0,3,8
110001,"2016",3,2,8,13
110001,"2017",1,0,4,5
110001,"2018",4,1,8,13
110001,"2019",8,0,7,15
110001,"2020",1,0,6,7
110001,"2021",8,1,3,12
110001,"2022",0,1,1,2
110001,"2023",3,1,3,7
110002,"2015",16,3,50,69
110002,"2016",18,0,54,72
110002,"2017",34,3,53,90
110002,"2018",20,3,45,68
110002,"2019",17,2,55,74
110002,"2020",17,6,45,68
110002,"2021",20,4,43,67
110002,"2022",11,2,35,48
110002,"2023",15,3,25,43
110003,"2015",0,0,4,4
110003,"2016",0,0,2,2
110003,"2017",0,1,0,1
110003,"2018",0,0,1,1
110003,"2021",0,1,2,3
110003,"2022",0,0,1,1
110003,"2023",1,0,2,3
110004,"2015",32,3,53,88
110004,"2016",29,3,73,105
110004,"2017",19,5,64,88
110004,"2018",38,6,70,114
110004,"2019",26,2,55,83
110004,"2020",28,5,54,87
110004,"2021",9,3,18,30
110004,"2022",19,5,24,48
110004,"2023",15,2,23,40
110005,"2015",5,2,10,17
110005,"2016",4,1,10,15
110005,"2017",1,0,3,4
110005,"2018",4,0,5,9
110005,"2019",3,1,3,7
110005,"2020",3,1,4,8
110005,"2021",5,1,6,12
110005,"2022",0,0,4,4
110005,"2023",1,0,4,5
110006,"2015",4,0,5,9
110006,"2016",3,0,7,10
110006,"2017",2,0,3,5
110006,"2018",8,1,5,14
110006,"2019",1,0,5,6
110006,"2020",2,1,6,9
110006,"2021",2,1,2,5
110006,"2022",3,0,2,5
110006,"2023",3,0,7,10
110007,"2015",2,0,8,10
110007,"2016",1,0,6,7
110007,"2017",0,0,3,3
110007,"2018",0,0,1,1
110007,"2019",0,0,1,1
110007,"2020",0,0,3,3
110007,"2021",2,0,3,5
110007,"2022",0,0,1,1
110007,"2023",0,0,2,2
110008,"2015",0,0,4,4
110008,"2016",0,1,2,3
110008,"2017",0,0,3,3
110008,"2018",3,1,4,8
110008,"2019",1,0,4,5
110008,"2020",3,0,2,5
110008,"2021",0,0,1,1
110008,"2022",0,0,1,1
110008,"2023",2,0,1,3
110009,"2015",2,0,6,8
110009,"2016",2,1,4,7
110009,"2017",2,0,6,8
110009,"2018",0,1,4,5
110009,"2019",5,0,12,17
110009,"2020",6,1,9,16
