"causabas","capitulo_cid10","grupo_cid10","causabas_categoria","causabas_subcategoria"
"A000"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A00 Cólera","A000 Cólera devida a Vibrio cholerae 01, biótipo cholerae"
"A001"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A00 Cólera","A001 Cólera devida a Vibrio cholerae 01, biótipo El Tor"
"A009"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A00 Cólera","A009 Cólera não especificada"
"A010"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01 Febres tifóide e paratifóide","A010 Febre tifóide"
"A011"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01 Febres tifóide e paratifóide","A011 Febre paratifóide A"
"A012"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01 Febres tifóide e paratifóide","A012 Febre paratifóide B"
"A013"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01 Febres tifóide e paratifóide","A013 Febre paratifóide C"
"A014"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A01 Febres tifóide e paratifóide","A014 Febre paratifóide não especificada"
"A020"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02 Outras infecções por Salmonella","A020 Enterite por salmonela"
"A021"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02 Outras infecções por Salmonella","A021 Septicemia por salmonela"
"A022"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02 Outras infecções por Salmonella","A022 Infecções localizadas por salmonela"
"A028"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02 Outras infecções por Salmonella","A028 Outras infecções especificadas por salmonela"
"A029"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A02 Outras infecções por Salmonella","A029 Infecção não especificada por salmonela"
"A030"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03 Shiguelose","A030 Shiguelose devida a Shigella dysenteriae"
"A031"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03 Shiguelose","A031 Shiguelose devida a Shigella flexneri"
"A032"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03 Shiguelose","A032 Shiguelose devida a Shigella boydii"
"A033"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03 Shiguelose","A033 Shiguelose devida a Shigella sonnei"
"A038"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03 Shiguelose","A038 Outras shigueloses"
"A039"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A03 Shiguelose","A039 Shiguelose não especificada"
"A040"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A040 Infecção por Escherichia coli enteropatogênica"
"A041"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A041 Infecção por Escherichia coli enterotoxigênica"
"A042"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A042 Infecção por Escherichia coli enteroinvasiva"
"A043"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A043 Infecção por Escherichia coli enterohemorrágica"
"A044"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A044 Outras infecções intestinais por Escherichia coli"
"A045"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A045 Enterite por Campylobacter"
"A046"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A046 Enterite devida a Yersinia enterocolítica"
"A047"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A047 Enterocolite devida a Clostridium difficile"
"A048"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A048 Outras infecções bacterianas intestinais especificadas"
"A049"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A04 Outras infecções intestinais bacterianas","A049 Infecção intestinal bacteriana não especificada"
"A050"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05 Outras intoxicações alimentares bacterianas, não classificadas em outra parte","A050 Intoxicação alimentar estafilocócica"
"A051"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05 Outras intoxicações alimentares bacterianas, não classificadas em outra parte","A051 Botulismo"
"A052"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05 Outras intoxicações alimentares bacterianas, não classificadas em outra parte","A052 Intoxicação alimentar devida a Clostridium perfringens (Clostridium welchii)"
"A053"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05 Outras intoxicações alimentares bacterianas, não classificadas em outra parte","A053 Intoxicação alimentar devida a Vibrio parahemolyticus"
"A054"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05 Outras intoxicações alimentares bacterianas, não classificadas em outra parte","A054 Intoxicação alimentar devida a Bacillus cereus"
"A058"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05 Outras intoxicações alimentares bacterianas, não classificadas em outra parte","A058 Outras intoxicações alimentares bacterianas especificadas"
"A059"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A05 Outras intoxicações alimentares bacterianas, não classificadas em outra parte","A059 Intoxicação alimentar bacteriana não especificada"
"A060"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A060 Disenteria amebiana aguda"
"A061"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A061 Amebíase intestinal crônica"
"A062"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A062 Colite amebiana não-disentérica"
"A063"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A063 Ameboma intestinal"
"A064"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A064 Abscesso amebiano do fígado"
"A065"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A065 Abscesso amebiano do pulmão"
"A066"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A066 Abscesso amebiano do cérebro"
"A067"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A067 Amebíase cutânea"
"A068"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A068 Infecção amebiana de outras localizações"
"A069"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06 Amebíase","A069 Amebíase não especificada"
"A070"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07 Outras doenças intestinais por protozoários","A070 Balantidíase"
"A071"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07 Outras doenças intestinais por protozoários","A071 Giardíase (lamblíase)"
"A072"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07 Outras doenças intestinais por protozoários","A072 Criptosporidiose"
"A073"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07 Outras doenças intestinais por protozoários","A073 Isosporíase"
"A078"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07 Outras doenças intestinais por protozoários","A078 Outras doenças intestinais especificadas por protozoários"
"A079"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07 Outras doenças intestinais por protozoários","A079 Doença intestinal não especificada por protozoários"
"A080"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08 Infecções intestinais virais, outras e as não especificadas","A080 Enterite por rotavírus"
"A081"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08 Infecções intestinais virais, outras e as não especificadas","A081 Gastroenteropatia aguda pelo agente de Norwalk"
"A082"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08 Infecções intestinais virais, outras e as não especificadas","A082 Enterite por adenovírus"
"A083"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08 Infecções intestinais virais, outras e as não especificadas","A083 Outras enterites virais"
"A084"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08 Infecções intestinais virais, outras e as não especificadas","A084 Infecção intestinal devida a vírus não especificado"
"A085"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08 Infecções intestinais virais, outras e as não especificadas","A085 Outras infecções intestinais especificadas"
"A09"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A09 Diarréia e gastroenterite de origem infecciosa presumível","A09 Diarréia e gastroenterite de origem infecciosa presumível"
"A150"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A150 Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura"
"A151"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A151 Tuberculose pulmonar, com confirmação somente por cultura"
"A152"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A152 Tuberculose pulmonar, com confirmação histológica"
"A153"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A153 Tuberculose pulmonar, com confirmação por meio não especificado"
"A154"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A154 Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica"
"A155"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A155 Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica"
"A156"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A156 Pleuris tuberculoso, com confirmação bacteriológica e histológica"
"A157"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A157 Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica"
"A158"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A158 Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica"
