"","CODMUNRES","ANO","INCOMPLETUDE","TOTAIS","UF"
"1","110001",2021,5,357,"RO"
"2","110001",2022,20,368,"RO"
"3","110001",2023,17,383,"RO"
"4","110002",2021,1,1545,"RO"
"5","110002",2022,6,1505,"RO"
"6","110002",2023,2,1515,"RO"
"7","110004",2021,2,1366,"RO"
"8","110004",2022,2,1353,"RO"
"9","110005",2022,1,272,"RO"
"10","110006",2021,1,231,"RO"
"11","110006",2022,1,205,"RO"
"12","110008",2021,17,195,"RO"
"13","110008",2022,8,218,"RO"
"14","110008",2023,3,219,"RO"
"15","110009",2022,1,462,"RO"
"16","110009",2023,2,479,"RO"
"17","110010",2021,12,834,"RO"
"18","110010",2022,20,748,"RO"
"19","110010",2023,47,730,"RO"
"20","110011",2021,7,920,"RO"
"21","110011",2022,5,890,"RO"
"22","110011",2023,8,895,"RO"
"23","110012",2021,96,1972,"RO"
"24","110012",2022,69,2010,"RO"
"25","110012",2023,65,1915,"RO"
"26","110013",2021,21,468,"RO"
"27","110013",2022,8,498,"RO"
"28","110013",2023,3,507,"RO"
"29","110014",2021,12,233,"RO"
"30","110014",2022,3,236,"RO"
"31","110014",2023,3,228,"RO"
"32","110015",2021,14,538,"RO"
"33","110015",2022,1,532,"RO"
"34","110015",2023,3,534,"RO"
"35","110018",2021,4,573,"RO"
"36","110018",2022,2,587,"RO"
"37","110018",2023,1,615,"RO"
"38","110020",2021,774,7703,"RO"
"39","110020",2022,584,7354,"RO"
"40","110020",2023,407,6643,"RO"
"41","110025",2021,1,254,"RO"
"42","110025",2022,2,294,"RO"
"43","110025",2023,7,247,"RO"
"44","110026",2021,1,48,"RO"
"45","110026",2022,1,35,"RO"
"46","110028",2021,30,816,"RO"
"47","110028",2022,60,835,"RO"
"48","110028",2023,45,824,"RO"
"49","110029",2021,2,78,"RO"
"50","110029",2022,6,73,"RO"
"51","110029",2023,6,72,"RO"
"52","110030",2021,3,1623,"RO"
"53","110030",2022,2,1527,"RO"
"54","110030",2023,2,1486,"RO"
"55","110032",2021,9,344,"RO"
"56","110032",2022,16,388,"RO"
"57","110032",2023,6,344,"RO"
"58","110033",2021,5,469,"RO"
"59","110033",2022,6,464,"RO"
"60","110033",2023,14,463,"RO"
"61","110034",2021,17,200,"RO"
"62","110034",2022,5,183,"RO"
"63","110034",2023,6,199,"RO"
"64","110037",2021,3,143,"RO"
"65","110037",2022,7,150,"RO"
"66","110037",2023,7,170,"RO"
"67","110040",2023,1,216,"RO"
"68","110045",2021,2,542,"RO"
"69","110045",2022,2,517,"RO"
"70","110045",2023,3,497,"RO"
"71","110050",2021,4,84,"RO"
"72","110050",2022,5,102,"RO"
"73","110050",2023,1,70,"RO"
"74","110060",2022,1,64,"RO"
"75","110080",2021,25,353,"RO"
"76","110080",2022,22,334,"RO"
"77","110080",2023,15,339,"RO"
"78","110090",2021,2,37,"RO"
"79","110090",2022,1,29,"RO"
"80","110090",2023,1,47,"RO"
"81","110092",2021,8,152,"RO"
"82","110092",2022,5,162,"RO"
"83","110092",2023,1,168,"RO"
"84","110094",2021,9,243,"RO"
"85","110094",2022,1,208,"RO"
"86","110094",2023,1,208,"RO"
"87","110100",2021,2,105,"RO"
"88","110110",2021,4,120,"RO"
"89","110110",2022,8,107,"RO"
"90","110110",2023,3,96,"RO"
"91","110120",2023,1,68,"RO"
"92","110130",2021,6,153,"RO"
"93","110130",2022,2,130,"RO"
