"CODMUNRES","ANO","total_internacoes","casos_MMG","casos_MMG_hipertensao","casos_MMG_hemorragia","casos_MMG_infeccoes","casos_MMG_UTI","casos_MMG_TMP","casos_MMG_Transfusao","casos_MMG_cirurgia"
110001,2022,399,14,5,2,0,0,2,4,5
110001,2023,452,19,4,3,0,0,2,1,11
110001,2024,176,7,1,1,0,0,0,2,3
110002,2022,1261,77,38,11,0,0,8,8,24
110002,2023,1305,83,37,11,4,0,11,6,30
110002,2024,542,23,9,3,0,0,2,2,10
110003,2022,45,4,0,0,0,0,0,0,4
110003,2023,40,5,0,0,0,0,1,0,4
110003,2024,9,1,0,0,0,0,0,0,1
110004,2022,1346,115,46,6,0,0,3,7,54
110004,2023,1714,235,60,7,0,2,5,7,161
110004,2024,912,95,37,2,0,1,1,4,52
110005,2022,248,8,0,2,0,0,0,1,5
110005,2023,232,24,1,0,0,1,2,2,19
110005,2024,15,4,0,1,0,0,0,0,3
110006,2022,141,14,2,1,0,0,1,1,9
110006,2023,129,19,2,1,0,0,0,2,15
110006,2024,40,11,3,1,0,1,1,1,7
110007,2022,71,4,0,0,0,1,1,3,1
110007,2023,55,8,0,0,0,0,0,0,7
110007,2024,17,3,0,0,0,0,0,0,3
110008,2022,157,10,6,0,1,0,2,0,1
110008,2023,200,17,3,1,0,1,1,4,11
110008,2024,66,3,1,0,0,0,0,2,1
110009,2022,281,20,6,1,0,0,0,0,12
110009,2023,316,41,8,1,0,0,3,4,29
110009,2024,103,9,3,1,0,0,0,1,5
110010,2022,957,83,57,6,0,1,5,1,20
110010,2023,940,56,25,11,0,1,5,5,21
110010,2024,297,12,5,2,0,0,3,0,4
110011,2022,903,47,17,10,0,0,8,8,9
110011,2023,864,42,12,11,0,0,7,7,8
110011,2024,287,20,9,3,2,0,3,4,2
110012,2022,2265,157,25,32,3,0,18,37,79
110012,2023,2262,260,25,13,5,6,14,27,194
110012,2024,638,75,8,8,0,4,4,12,52
110013,2022,509,21,9,4,1,0,3,1,5
